assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,2,0,0.0,74,8,0,0,0.0,0.0,2018-08-12T12:30:00Z,3,16,0,0,0,0,1,0,11525,0,0,0.0,1,0,0,0,45,False,0,Burnley,Southampton,2,2,1,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,4,0,0.6,74,12,0,0,0.2,1.2,2018-08-19T12:30:00Z,16,18,0,0,0,0,2,0,13632,3,1,0.0,1,-401,980,1381,45,True,0,Burnley,Watford,3,3,1,7.0,0,0.0,-2,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,12,0,47.4,74,23,3,0,7.6,18.8,2018-08-26T15:00:00Z,71,9,0,0,0,0,3,0,13163,2,4,10.0,1,-1075,536,1611,45,False,0,Burnley,Fulham,2,2,1,7.104166666666668,0,0.2,-2,0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,15,0,8.8,74,32,2,0,3.2,23.2,2018-09-02T15:00:00Z,90,14,0,0,0,0,4,0,12496,2,0,0.0,1,-1024,297,1321,45,True,0,Burnley,Man Utd,3,4,1,6.0,0,7.6,-2,1,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,1,0,0
0,0,9,0,5.5,74,50,1,0,2.6,20.0,2018-09-16T12:30:00Z,90,20,0,0,0,0,5,0,12122,0,1,0.0,1,-678,379,1057,44,False,1,Burnley,Wolves,2,3,1,5.0,0,3.2,-1,0,0.0,0.0,1.25,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0
0,0,20,1,2.1,74,53,0,0,1.3,10.0,2018-09-22T14:00:00Z,90,2,0,0,0,0,6,0,12234,0,4,1.0,6,-35,672,707,44,True,0,Burnley,Bournemouth,3,2,1,6.0625,0,2.6,4,1,0.0,0.0,1.2,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,1,0,0
0,0,9,0,5.1,74,63,1,0,3.1,25.4,2018-09-30T15:00:00Z,90,5,0,0,0,0,7,0,16142,2,1,0.0,2,3270,4024,754,44,False,0,Burnley,Cardiff,2,2,1,8.041666666666666,0,1.3,1,0,0.0,0.2,1.2,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,11,0,1.3,74,72,1,0,2.1,19.2,2018-10-06T14:00:00Z,90,10,0,0,0,0,8,0,19315,1,1,0.0,2,2554,3430,876,44,True,0,Burnley,Huddersfield,3,2,1,5.958333333333332,0,3.1,0,1,0.0,0.2,1.4,0.0,86.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,14,0,1.8,74,87,5,0,2.0,18.2,2018-10-20T14:00:00Z,90,13,0,0,0,0,9,0,16900,0,5,0.0,0,-1760,606,2366,44,False,0,Burnley,Man City,2,5,1,5.0,0,2.1,-5,0,0.0,0.2,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,6,0,1.5,74,92,4,0,1.3,11.4,2018-10-28T13:30:00Z,90,6,0,0,0,0,10,0,15899,4,0,0.0,0,-1086,182,1268,44,True,0,Burnley,Chelsea,3,4,1,7.979166666666668,0,2.0,-4,1,0.0,0.2,1.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,24,0,10.8,74,109,4,0,3.4,21.2,2018-11-03T15:00:00Z,90,19,0,0,0,0,11,0,15179,2,4,2.0,0,-818,314,1132,44,False,0,Burnley,West Ham,2,3,1,5.0625,0,1.3,-2,0,0.0,0.2,2.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,1,25,1,4.8,74,116,0,0,3.4,29.6,2018-11-10T15:00:00Z,90,11,0,0,0,0,12,0,14495,0,0,0.0,7,-741,142,883,44,False,0,Burnley,Leicester,2,3,1,7.0,0,3.4,0,0,0.0,0.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,19,0,17.2,74,123,2,0,4.0,22.6,2018-11-26T20:30:00Z,90,15,0,0,0,0,13,0,18482,2,1,0.0,1,3318,3885,567,44,True,0,Burnley,Newcastle,3,2,1,5.0,1,3.4,-1,1,0.0,0.2,2.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,1,0,0
0,0,13,0,3.4,74,134,2,0,2.9,25.8,2018-12-01T15:00:00Z,90,7,0,0,0,0,14,0,17295,0,2,0.0,1,-801,228,1029,44,False,0,Burnley,Crystal Palace,2,2,1,4.770833333333333,0,4.0,-2,0,0.0,0.2,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,1,0,0
0,0,10,0,4.7,74,143,3,0,1.3,6.4,2018-12-05T19:45:00Z,90,12,0,0,0,0,15,0,16360,3,1,2.0,1,-935,132,1067,44,True,0,Burnley,Liverpool,3,4,1,4.197916666666667,0,2.9,-2,1,0.0,0.2,2.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1,0,0
0,0,22,1,14.6,74,153,0,0,2.8,13.2,2018-12-08T15:00:00Z,90,3,0,0,0,0,16,0,17008,0,1,0.0,6,272,863,591,44,True,0,Burnley,Brighton,3,2,1,2.802083333333333,0,1.3,1,1,0.0,0.2,2.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0,0
0,0,11,0,0.7,74,168,1,0,1.8,13.2,2018-12-15T15:00:00Z,90,17,0,0,0,0,17,0,17368,0,1,4.0,2,351,1262,911,44,False,0,Burnley,Spurs,2,4,1,7.0,0,2.8,-1,0,0.0,0.4,1.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,13,0,6.5,74,171,3,0,2.3,12.6,2018-12-22T12:30:00Z,90,1,0,0,0,0,18,0,17229,1,3,4.0,1,-216,549,765,44,False,0,Burnley,Arsenal,2,4,1,6.895833333333332,0,1.8,-2,0,0.0,0.2,1.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,11,0,16.2,74,182,5,0,3.5,18.8,2018-12-26T15:00:00Z,90,8,0,0,0,0,19,0,17781,5,1,0.0,0,431,1090,659,44,True,0,Burnley,Everton,3,2,1,4.104166666666667,0,2.3,-4,1,0.0,0.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0,0
0,0,23,1,6.5,74,192,0,0,2.7,19.4,2018-12-30T14:15:00Z,90,19,0,0,0,0,20,0,17312,0,2,1.0,6,-512,483,995,44,True,0,Burnley,West Ham,3,3,1,3.96875,0,3.5,2,1,0.0,0.2,2.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0,0
0,0,11,0,17.6,74,206,1,0,3.5,16.2,2019-01-02T19:45:00Z,90,10,0,0,0,0,21,0,20597,2,1,1.0,2,2975,4158,1183,44,False,0,Burnley,Huddersfield,2,2,1,7.229166666666668,0,2.7,1,0,0.0,0.4,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,13,0,2.8,74,212,1,0,1.3,10.6,2019-01-12T15:00:00Z,90,9,0,0,0,0,22,0,22700,1,2,0.0,2,1902,3858,1956,44,True,0,Burnley,Fulham,3,2,1,9.802083333333334,0,3.5,1,1,0.0,0.2,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,22,1,1.3,74,229,0,0,1.7,15.2,2019-01-19T15:00:00Z,90,18,0,0,0,0,23,0,20656,0,0,0.0,6,-1950,498,2448,44,False,0,Burnley,Watford,2,3,1,7.0,0,1.3,0,0,0.0,0.2,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
0,0,9,0,0.6,74,235,2,0,2.0,19.8,2019-01-29T20:00:00Z,90,14,0,0,0,0,24,0,21421,2,2,0.0,0,439,1662,1223,44,False,1,Burnley,Man Utd,2,4,1,5.0,0,1.7,0,0,0.0,0.4,1.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,12,0,4.0,74,242,1,0,2.1,17.0,2019-02-02T15:00:00Z,90,16,0,0,0,0,25,0,23084,1,1,0.0,2,1257,1994,737,44,True,0,Burnley,Southampton,3,2,1,2.7916666666666665,0,2.0,0,1,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,6,0,0.8,74,251,1,0,1.8,17.6,2019-02-09T17:30:00Z,90,3,0,0,0,0,26,0,22414,3,1,0.0,2,-391,507,898,44,False,0,Burnley,Brighton,2,2,1,7.104166666666668,0,2.1,2,0,0.0,0.2,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,9,0,0.9,74,263,1,0,1.5,14.2,2019-02-23T12:30:00Z,90,17,0,0,0,0,27,0,21704,1,2,0.0,2,-452,498,950,44,True,0,Burnley,Spurs,3,4,1,5.0,0,1.8,1,1,0.0,0.2,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0,0
