assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,14,0,0.5,430,10,2,0,1.5,14.6,2018-08-11T16:30:00Z,90,8,0,0,0,0,1,0,30913,2,2,0.0,1,0,0,0,45,True,0,Wolves,Everton,3,2,1,7.0,0,1.5,0,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,16,0,0.4,430,17,2,0,1.9,18.4,2018-08-18T14:00:00Z,90,11,0,0,0,0,2,0,30949,0,2,0.0,1,-1743,600,2343,45,False,0,Wolves,Leicester,3,3,1,6.895833333333332,0,1.5,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,6,0,0.0,430,30,1,0,1.0,10.0,2018-08-25T11:30:00Z,90,13,0,0,0,0,3,0,27727,1,1,0.0,1,-3592,408,4000,45,True,1,Wolves,Man City,3,4,1,6.895833333333332,0,1.9,0,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,2,28,1,0.2,430,40,0,0,2.1,21.2,2018-09-01T14:00:00Z,90,19,0,0,0,0,4,0,26936,1,0,0.0,8,-1364,726,2090,45,False,0,Wolves,West Ham,3,3,1,6.104166666666668,0,1.0,1,0,0.0,0.0,1.6666666666666667,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.6666666666666666,1,0,0
0,0,26,1,3.3,430,50,0,0,1.6,12.6,2018-09-16T12:30:00Z,90,4,0,0,0,0,5,0,27868,0,1,0.0,6,208,1637,1429,45,True,0,Wolves,Burnley,3,2,1,5.0,2,2.1,1,1,0.0,0.25,1.25,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,1,0,0
0,0,12,0,0.0,430,59,1,0,2.2,22.2,2018-09-22T14:00:00Z,90,14,0,0,0,0,6,0,28220,1,1,0.0,2,29,1325,1296,45,False,0,Wolves,Man Utd,3,4,1,6.0625,0,1.6,0,0,0.0,0.4,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,28,1,0.3,430,70,0,0,3.3,33.0,2018-09-29T14:00:00Z,90,16,0,0,0,0,7,0,29899,0,2,0.0,6,1081,1986,905,45,True,0,Wolves,Southampton,3,2,1,7.0,0,2.2,2,1,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,20,1,0.2,430,73,0,0,0.8,8.0,2018-10-06T14:00:00Z,90,7,0,0,0,0,8,0,31131,1,0,0.0,5,997,1832,835,45,False,1,Wolves,Crystal Palace,3,2,1,7.0,0,3.3,1,0,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,14,0,0.6,430,90,2,0,1.4,13.8,2018-10-20T14:00:00Z,90,18,0,0,0,0,9,0,33648,2,0,0.0,1,1876,3266,1390,45,True,0,Wolves,Watford,3,3,1,5.0,0,0.8,-2,1,0.0,0.8,0.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1,0,0
0,0,16,0,0.4,430,91,1,0,1.2,12.0,2018-10-27T14:00:00Z,90,3,0,0,0,0,10,0,33417,0,1,0.0,2,-283,997,1280,45,False,0,Wolves,Brighton,3,2,1,7.0,0,1.4,-1,0,0.0,0.6,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
