assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,29,1,9.9,113,4,0,0,3.3,22.6,2018-08-11T14:00:00Z,90,10,0,0,0,0,1,0,745918,3,0,0.0,6,0,0,0,65,False,0,Chelsea,Huddersfield,4,2,1,7.0,0,3.3,3,0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
1,0,27,0,38.1,113,14,2,0,8.0,41.6,2018-08-18T16:30:00Z,90,1,0,0,0,0,2,0,779796,2,3,0.0,4,-31118,9674,40792,65,True,0,Chelsea,Arsenal,4,4,1,7.104166666666668,0,3.3,1,1,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,15,0,11.0,113,27,1,0,6.8,22.4,2018-08-26T15:00:00Z,90,15,0,0,0,0,3,0,737759,2,1,35.0,2,-62271,15168,77439,65,False,0,Chelsea,Newcastle,4,3,1,7.9375,0,8.0,1,0,0.5,0.5,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,27,1,20.8,113,34,0,0,3.9,18.4,2018-09-01T14:00:00Z,90,2,0,0,0,0,4,0,692596,0,2,0.0,6,-59200,8927,68127,65,True,0,Chelsea,Bournemouth,4,2,1,4.958333333333333,0,6.8,2,1,0.3333333333333333,0.3333333333333333,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,0,0
0,0,24,0,46.6,113,42,1,0,6.8,21.4,2018-09-15T14:00:00Z,90,5,0,0,0,0,5,0,669734,1,4,0.0,2,-36334,13044,49378,64,True,0,Chelsea,Cardiff,4,2,1,5.0,0,3.9,3,1,0.25,0.5,0.75,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1,0,0
0,0,25,1,20.6,113,60,0,0,3.7,16.8,2018-09-23T12:30:00Z,90,19,0,0,0,0,6,0,641881,0,0,0.0,6,-30071,7825,37896,64,False,0,Chelsea,West Ham,4,3,1,7.9375,0,6.8,0,0,0.2,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,13,0,2.3,113,64,1,0,1.2,9.4,2018-09-29T16:30:00Z,90,12,0,0,0,0,7,0,625849,1,1,0.0,2,-18986,7903,26889,64,True,0,Chelsea,Liverpool,4,4,1,6.166666666666668,0,3.7,0,1,0.2,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
0,0,19,1,7.9,113,78,0,0,4.0,10.2,2018-10-07T13:15:00Z,90,16,0,0,0,0,8,0,615060,3,0,22.0,6,-15935,7158,23093,64,False,0,Chelsea,Southampton,4,2,1,7.864583333333332,0,1.2,3,0,0.0,0.4,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,17,0,16.7,113,84,2,0,3.4,11.2,2018-10-20T11:30:00Z,90,14,0,0,0,0,9,0,597444,2,2,6.0,1,-20121,5231,25352,64,True,0,Chelsea,Man Utd,4,4,1,5.0,0,4.0,0,1,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,1,32,1,18.3,113,92,0,0,4.4,23.4,2018-10-28T13:30:00Z,90,4,0,0,0,0,10,0,585616,4,0,2.0,7,-14954,5224,20178,64,False,0,Chelsea,Burnley,4,3,1,8.083333333333334,0,3.4,4,0,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
