assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,14,0,11.8,56,9,2,0,3.8,21.8,2018-08-11T14:00:00Z,90,18,0,0,0,0,1,0,549320,0,2,4.0,1,0,0,0,45,False,1,Brighton,Watford,2,3,2,7.0,0,3.8,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1,0,0
0,0,12,0,12.3,56,11,2,0,3.0,15.8,2018-08-19T15:00:00Z,90,14,0,0,0,0,2,0,515574,2,3,2.0,2,-43451,6575,50026,45,True,0,Brighton,Man Utd,2,4,2,8.041666666666666,0,3.8,1,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1,0,0
0,0,12,0,1.3,56,25,1,0,3.6,35.0,2018-08-25T16:30:00Z,90,12,0,0,0,0,3,0,470773,0,1,0.0,2,-48646,12625,61271,45,False,0,Brighton,Liverpool,2,5,2,6.0625,0,3.0,-1,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1,0,0
0,0,11,0,2.5,56,31,2,0,1.1,5.0,2018-09-01T14:00:00Z,90,9,0,0,0,0,4,0,450526,2,2,3.0,1,-23994,14801,38795,45,True,1,Brighton,Fulham,2,2,2,5.895833333333332,0,3.6,0,1,0.0,0.0,1.6666666666666667,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.6666666666666666,1,0,0
0,0,11,0,2.0,56,47,2,0,1.4,12.4,2018-09-17T19:00:00Z,90,16,0,0,0,0,5,0,412904,2,2,0.0,1,-39193,7335,46528,45,False,1,Brighton,Southampton,2,2,2,5.0,0,1.1,0,0,0.0,0.0,1.75,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1,0,0
0,0,4,0,0.3,56,52,0,0,0.3,2.2,2018-09-22T16:30:00Z,20,17,0,0,0,0,6,0,383685,2,1,0.0,1,-30420,4511,34931,44,True,0,Brighton,Spurs,2,4,2,4.895833333333333,0,1.4,-1,1,0.0,0.0,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.4,1,0,0
0,0,0,0,0.0,56,67,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,13,0,0,0,0,7,0,340687,0,2,0.0,0,-42251,800,43051,44,False,0,Brighton,Man City,2,5,2,6.895833333333332,0,0.3,-2,0,0.0,0.0,1.4,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,1,0,0
0,0,0,0,0.0,56,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,0,19,0,0,0,0,8,0,317137,0,1,0.0,0,-24261,538,24799,44,True,0,Brighton,West Ham,2,3,2,6.208333333333332,0,0.0,1,1,0.0,0.0,1.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1,0,0
0,0,10,1,1.7,56,88,0,0,2.0,16.2,2018-10-20T14:00:00Z,90,15,0,0,0,0,9,0,290411,1,0,2.0,3,-27010,580,27590,44,False,0,Brighton,Newcastle,2,3,2,5.0,0,0.0,1,0,0.0,0.0,0.8,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.4,1,0,0
0,0,15,1,1.0,56,91,0,0,1.1,9.8,2018-10-27T14:00:00Z,90,20,0,0,0,0,10,0,284015,0,1,0.0,3,-7401,1820,9221,44,True,0,Brighton,Wolves,2,3,2,7.0,0,2.0,1,1,0.0,0.2,0.4,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
