assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,5.3,303,2,1,0,1.5,2.0,2019-08-10T14:00:00Z,62,3,0,0,0,0,1,0,12742,1,1,8.0,2,0,0,0,55,False,0,Sheffield Utd,Bournemouth,3,2,3,7.0,0,1.5,0,0,0.0,0.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,4,1,2.5,303,18,0,0,6.5,9.6,2019-08-18T13:00:00Z,88,7,0,0,0,0,2,0,15106,0,1,53.0,2,656,2924,2268,55,True,0,Sheffield Utd,Crystal Palace,3,3,3,7.958333333333332,0,1.5,1,1,0.0,0.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,8,0,3.0,303,27,1,0,0.8,4.8,2019-08-24T14:00:00Z,53,9,0,0,0,0,3,0,21755,2,1,0.0,1,5225,10359,5134,55,True,0,Sheffield Utd,Leicester,3,3,3,6.041666666666668,0,6.5,-1,1,0.0,0.5,0.5,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0
0,0,2,0,2.7,303,33,0,0,0.2,0.0,2019-08-31T14:00:00Z,27,6,0,0,0,0,4,0,19611,2,2,0.0,1,-2388,3109,5497,55,False,0,Sheffield Utd,Chelsea,3,4,3,7.0,0,0.8,0,0,0.0,0.3333333333333333,0.6666666666666666,0.0,67.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,-7,0,4.1,303,47,1,0,7.4,16.4,2019-09-14T14:00:00Z,90,16,0,0,0,0,5,0,16879,1,0,53.0,2,-3166,1843,5009,55,True,0,Sheffield Utd,Southampton,3,3,3,5.0,0,0.2,-1,1,0.0,0.25,0.5,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0,0.0,303,55,0,0,0.0,0.0,2019-09-21T14:00:00Z,0,8,0,0,0,0,6,0,16200,2,0,0.0,0,-1027,1639,2666,55,False,0,Sheffield Utd,Everton,3,4,3,7.0,0,7.4,2,0,0.0,0.2,0.6,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,0,0,0.0,303,68,0,0,0.0,0.0,2019-09-28T11:30:00Z,0,10,0,0,0,0,7,0,13580,1,0,0.0,0,-2693,621,3314,55,True,0,Sheffield Utd,Liverpool,3,4,3,6.895833333333332,0,0.0,-1,1,0.0,0.2,0.4,0.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
0,0,0,0,0.0,303,79,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,18,0,0,0,0,8,0,11266,0,0,0.0,0,-2341,42,2383,54,False,0,Sheffield Utd,Watford,3,3,3,7.104166666666668,0,0.0,0,0,0.0,0.0,0.4,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,-4,1,2.3,303,88,0,0,0.7,0.8,2019-10-21T19:00:00Z,77,1,0,0,0,0,9,0,9920,0,1,4.0,1,-1390,29,1419,54,True,1,Sheffield Utd,Arsenal,3,3,3,5.0,0,0.0,1,1,0.0,0.0,0.2,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,7,0,13.9,303,100,1,0,9.7,19.4,2019-10-26T14:00:00Z,80,19,0,0,0,0,10,0,9799,1,1,64.0,2,-191,198,389,54,False,0,Sheffield Utd,West Ham,3,2,3,4.791666666666667,0,0.7,0,0,0.0,0.2,0.2,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0
0,0,13,1,18.3,303,108,0,0,5.4,12.8,2019-11-02T15:00:00Z,74,5,0,0,0,0,11,0,9918,0,3,23.0,2,66,510,444,54,True,0,Sheffield Utd,Burnley,3,3,3,6.041666666666668,0,9.7,3,1,0.0,0.2,0.2,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0
1,3,28,0,44.8,303,119,1,0,9.2,38.0,2019-11-09T15:00:00Z,90,17,0,0,0,0,12,0,9749,1,1,9.0,8,-202,297,499,54,False,0,Sheffield Utd,Spurs,3,4,3,7.0,0,5.4,0,0,0.0,0.4,0.2,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0
