assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,9,0,1.5,60,9,2,0,2.3,12.0,2018-08-11T14:00:00Z,90,18,0,0,0,0,1,0,8887,0,2,9.0,2,0,0,0,50,False,0,Brighton,Watford,2,3,2,7.0,0,2.3,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,11,0,1.9,60,11,2,0,1.9,17.2,2018-08-19T15:00:00Z,90,14,0,0,0,0,2,0,8494,2,3,0.0,2,-896,145,1041,50,True,0,Brighton,Man Utd,2,4,2,8.041666666666666,0,2.3,1,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,7,0,1.9,60,25,1,0,1.8,11.6,2018-08-25T16:30:00Z,90,12,0,0,0,0,3,0,8007,0,1,4.0,2,-695,315,1010,50,False,0,Brighton,Liverpool,2,5,2,6.0625,0,1.9,-1,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,9,0,14.1,60,31,2,0,2.0,5.4,2018-09-01T14:00:00Z,73,9,0,0,0,0,4,0,7993,2,2,0.0,1,-219,512,731,50,True,1,Brighton,Fulham,2,2,2,5.895833333333332,0,1.8,0,1,0.0,0.0,1.6666666666666667,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,12,0,2.3,60,47,2,0,1.3,6.8,2018-09-17T19:00:00Z,90,16,0,0,0,0,5,0,7593,2,2,4.0,2,-438,322,760,49,False,0,Brighton,Southampton,2,2,2,5.0,0,2.0,0,0,0.0,0.0,1.75,0.0,85.75,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,1,0,0
0,0,8,0,0.3,60,52,2,0,0.5,4.8,2018-09-22T16:30:00Z,90,17,0,0,0,0,6,0,7322,2,1,0.0,2,-346,252,598,49,True,0,Brighton,Spurs,2,4,2,4.895833333333333,0,1.3,-1,1,0.0,0.0,1.8,0.0,86.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0,0
0,0,7,0,0.3,60,67,2,0,0.9,9.0,2018-09-29T14:00:00Z,90,13,0,0,0,0,7,0,7008,0,2,0.0,2,-366,157,523,49,False,0,Brighton,Man City,2,5,2,6.895833333333332,0,0.5,-2,0,0.0,0.0,1.8,0.0,86.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,8,1,5.5,60,71,0,0,1.6,10.4,2018-10-05T19:00:00Z,79,19,0,0,0,0,8,0,7035,0,1,0.0,3,-24,307,331,49,True,0,Brighton,West Ham,2,3,2,6.208333333333332,0,0.9,1,1,0.0,0.0,1.8,0.0,86.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,0,0,0.0,60,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,15,0,0,0,0,9,0,6020,1,0,0.0,0,-982,59,1041,49,False,0,Brighton,Newcastle,2,3,2,5.0,0,1.6,1,0,0.0,0.2,1.6,0.0,84.4,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0,0
0,0,0,0,0.0,60,91,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,20,0,0,0,0,10,0,5412,0,1,0.0,0,-641,26,667,49,True,0,Brighton,Wolves,2,3,2,7.0,0,0.0,1,1,0.0,0.2,1.2,0.0,69.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,0,0,0.0,60,105,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,8,0,0,0,0,11,0,4965,1,3,0.0,0,-469,19,488,48,False,0,Brighton,Everton,2,3,2,6.041666666666668,0,0.0,-2,0,0.0,0.2,0.8,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,60,112,0,0,0.0,0.0,2018-11-10T12:30:00Z,0,5,0,0,0,0,12,0,4724,1,2,0.0,0,-252,20,272,48,False,0,Brighton,Cardiff,2,2,2,6.895833333333332,0,0.0,-1,0,0.0,0.2,0.4,0.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,13,0,23.1,60,122,1,0,4.5,19.6,2018-11-24T15:00:00Z,90,11,0,0,0,0,13,0,4614,1,1,2.0,2,-135,46,181,48,True,0,Brighton,Leicester,2,3,2,5.0,0,0.0,0,1,0.0,0.2,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,15,0,4.8,60,135,1,0,1.6,11.4,2018-12-01T15:00:00Z,90,10,0,0,0,0,14,0,4667,2,1,0.0,2,46,109,63,48,False,0,Brighton,Huddersfield,2,2,2,7.0,0,4.5,1,0,0.0,0.0,0.2,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,15,0,12.0,60,142,1,0,4.2,25.8,2018-12-04T19:45:00Z,90,7,0,0,0,0,15,0,4715,1,3,4.0,2,40,114,74,48,True,0,Brighton,Crystal Palace,2,2,2,3.1979166666666665,0,1.6,2,1,0.0,0.0,0.4,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
