assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,6,0,1.2,310,7,2,0,0.8,6.0,2018-08-11T11:30:00Z,90,17,0,0,0,0,1,0,81314,2,1,1.0,1,0,0,0,45,True,0,Newcastle,Spurs,3,4,1,7.0,0,0.8,-1,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,310,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,67349,0,0,0.0,0,-15760,929,16689,45,False,0,Newcastle,Cardiff,2,2,1,7.0,0,0.8,0,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
1,0,11,0,15.3,310,27,2,0,4.6,28.4,2018-08-26T15:00:00Z,90,6,1,0,0,0,3,0,53395,2,1,2.0,2,-14423,187,14610,45,True,0,Newcastle,Chelsea,3,4,1,8.145833333333334,0,0.0,-1,1,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,19,0,0.6,310,38,2,1,5.9,41.8,2018-09-01T16:30:00Z,90,13,0,0,0,0,4,0,52246,1,2,17.0,7,-2356,1319,3675,45,False,0,Newcastle,Man City,2,5,1,5.0625,0,4.6,-1,0,0.3333333333333333,0.0,1.3333333333333333,0.0,60.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,8,0,1.8,310,46,2,0,1.2,10.4,2018-09-15T14:00:00Z,90,1,0,0,0,0,5,0,57824,2,1,0.0,1,3395,6956,3561,45,True,0,Newcastle,Arsenal,3,4,1,5.0,0,5.9,-1,1,0.25,0.0,1.5,0.25,67.5,0.0,0.0,0.25,0.0,0.0,0.0,-0.75,1,0,0
0,0,20,1,29.0,310,55,0,0,5.3,23.6,2018-09-22T14:00:00Z,90,7,0,0,0,0,6,0,59378,0,0,0.0,5,1010,3812,2802,45,False,1,Newcastle,Crystal Palace,2,2,1,7.0,0,1.2,0,0,0.2,0.0,1.6,0.2,72.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.8,1,0,0
0,0,8,0,12.7,310,68,2,0,1.6,1.0,2018-09-29T14:00:00Z,79,11,0,0,0,0,7,0,61881,2,0,2.0,1,1901,5006,3105,45,True,0,Newcastle,Leicester,3,3,1,7.0,0,5.3,-2,1,0.2,0.2,1.2,0.2,72.0,0.0,0.0,0.2,0.0,0.0,0.2,-0.6,1,0,0
0,0,11,0,10.7,310,77,3,0,2.3,12.0,2018-10-06T16:30:00Z,90,14,0,0,0,0,8,0,60614,2,3,0.0,1,-1228,1685,2913,45,False,0,Newcastle,Man Utd,2,4,1,7.104166666666668,0,1.6,-1,0,0.2,0.2,1.6,0.2,87.8,0.0,0.0,0.2,0.0,0.0,0.2,-1.0,1,0,0
0,0,13,0,17.9,310,88,1,0,2.9,10.8,2018-10-20T14:00:00Z,90,3,0,0,0,0,9,0,68544,1,0,0.0,2,6968,10832,3864,45,True,0,Newcastle,Brighton,3,2,1,5.0,0,2.3,-1,1,0.0,0.2,1.8,0.2,87.8,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1,0,0
0,0,21,1,1.7,310,98,0,0,1.7,14.4,2018-10-27T14:00:00Z,90,16,0,0,0,0,10,0,66942,0,0,1.0,6,-1413,1891,3304,45,False,0,Newcastle,Southampton,2,2,1,7.0,0,2.9,0,0,0.0,0.2,1.6,0.0,87.8,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1,0,0
0,1,26,1,5.2,310,108,0,0,2.9,23.8,2018-11-03T15:00:00Z,90,18,0,0,0,0,11,0,69063,0,1,0.0,7,1634,3889,2255,45,True,0,Newcastle,Watford,3,3,1,6.041666666666668,0,1.7,1,1,0.0,0.4,1.2,0.0,87.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,8,0,11.9,310,119,1,0,2.7,10.0,2018-11-10T15:00:00Z,90,2,0,0,0,0,12,0,78892,1,2,5.0,2,8671,10574,1903,45,True,0,Newcastle,Bournemouth,3,2,1,7.0,1,2.9,1,1,0.0,0.4,1.2,0.0,87.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
