assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,15,0,8.2,225,6,2,0,6.1,14.4,2018-08-10T19:00:00Z,90,14,0,0,0,0,1,0,44794,1,2,38.0,2,0,0,0,55,False,0,Leicester,Man Utd,3,4,2,7.0,0,6.1,-1,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,8,1,5.0,225,17,0,0,1.7,7.0,2018-08-18T14:00:00Z,81,20,0,0,0,0,2,0,65393,0,2,5.0,3,7774,14112,6338,55,True,0,Leicester,Wolves,3,3,2,7.791666666666668,0,6.1,2,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,2,23,0,13.1,225,28,1,1,7.2,33.8,2018-08-25T14:00:00Z,87,16,0,0,0,0,3,0,62730,2,1,25.0,9,-4283,6045,10328,55,False,0,Leicester,Southampton,3,2,2,7.0,0,1.7,1,0,0.0,0.5,1.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0
0,0,6,0,13.8,225,37,2,0,4.0,4.4,2018-09-01T11:30:00Z,75,12,0,0,0,0,4,0,100021,2,1,22.0,2,27940,40637,12697,55,True,0,Leicester,Liverpool,3,4,2,5.895833333333332,2,7.2,-1,1,0.0,0.3333333333333333,1.0,0.3333333333333333,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,0,0
0,0,3,0,3.8,225,41,3,0,0.9,0.0,2018-09-15T14:00:00Z,60,2,0,0,0,0,5,0,134277,2,4,6.0,2,28482,48222,19740,55,False,0,Leicester,Bournemouth,3,3,2,5.0,0,4.0,-2,0,0.0,0.25,1.25,0.25,83.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,0,0
0,0,4,0,11.3,225,57,0,0,3.7,7.2,2018-09-22T14:00:00Z,45,10,0,0,0,0,6,0,129795,1,3,18.0,1,-4784,13194,17978,55,True,0,Leicester,Huddersfield,3,2,2,7.0,0,0.9,2,1,0.0,0.2,1.6,0.2,78.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,0,0,0.0,225,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,15,0,0,0,0,7,0,86267,2,0,0.0,0,-42719,1276,43995,55,False,0,Leicester,Newcastle,3,3,2,7.0,0,3.7,2,0,0.0,0.2,1.2,0.2,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,0.0,225,75,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,8,0,0,0,0,8,0,66697,2,1,0.0,0,-20370,85,20455,55,True,0,Leicester,Everton,3,2,2,7.0,0,0.0,-1,1,0.0,0.0,1.2,0.2,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,0.0,225,81,0,0,0.0,0.0,2018-10-22T19:00:00Z,0,1,0,0,0,0,9,0,54341,1,3,0.0,0,-12893,115,13008,54,False,0,Leicester,Arsenal,3,4,2,5.0,0,0.0,-2,0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1,0,12,0,12.8,225,95,0,0,4.2,21.4,2018-10-27T16:30:00Z,29,19,0,0,0,0,10,0,49873,1,1,8.0,4,-4823,132,4955,54,True,0,Leicester,West Ham,3,3,2,4.895833333333333,0,0.0,0,1,0.0,0.0,0.6,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,23,1,3.3,225,103,0,1,5.8,33.0,2018-11-03T15:00:00Z,69,5,0,0,0,0,11,0,49935,1,0,22.0,7,-317,1741,2058,54,False,1,Leicester,Cardiff,3,2,2,5.9375,0,4.2,1,0,0.2,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,6,1,14.2,225,116,0,0,5.7,11.8,2018-11-10T15:00:00Z,83,4,0,0,0,0,12,0,78751,0,0,31.0,3,26738,28602,1864,54,True,0,Leicester,Burnley,3,2,2,7.0,0,5.8,0,1,0.2,0.2,0.0,0.2,19.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,4,0,1.4,225,122,1,0,0.9,8.0,2018-11-24T15:00:00Z,55,3,0,0,0,0,13,0,79462,1,1,0.0,1,1378,8055,6677,54,False,0,Leicester,Brighton,3,2,2,5.0,0,5.7,0,0,0.2,0.4,0.0,0.2,36.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0,0
0,0,4,1,0.9,225,136,0,0,2.2,7.0,2018-12-01T15:00:00Z,68,18,0,0,0,0,14,0,77266,0,2,14.0,3,-2228,3114,5342,54,True,0,Leicester,Watford,3,3,2,7.0,0,0.9,2,1,0.2,0.4,0.2,0.2,47.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,1,0,12.3,225,144,0,0,4.3,5.2,2018-12-05T19:45:00Z,35,9,0,0,0,0,15,0,74346,1,1,25.0,1,-2894,2944,5838,54,False,0,Leicester,Fulham,3,2,2,4.197916666666667,0,2.2,0,0,0.2,0.6,0.2,0.2,60.8,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0,0
0,0,5,0,20.8,225,157,2,0,5.3,13.6,2018-12-08T19:45:00Z,90,17,0,0,0,0,16,0,68329,2,0,19.0,1,-5768,632,6400,54,True,1,Leicester,Spurs,3,4,2,3.0,0,4.3,-2,1,0.0,0.6,0.2,0.2,62.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0,0
0,0,-1,0,12.5,225,162,1,0,2.6,2.2,2018-12-15T15:00:00Z,72,7,0,0,0,0,17,0,63838,0,1,11.0,2,-4943,649,5592,54,False,0,Leicester,Crystal Palace,3,2,2,6.802083333333332,0,5.3,-1,0,0.0,0.4,0.6,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,2,0,0.1,225,174,0,0,0.2,2.0,2018-12-22T15:00:00Z,8,6,0,0,0,0,18,0,59131,1,0,0.0,1,-4892,403,5295,54,False,0,Leicester,Chelsea,3,4,2,7.0,0,2.6,1,0,0.0,0.2,0.8,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,1,0,2.1,225,185,0,0,0.3,0.0,2018-12-26T15:00:00Z,27,13,0,0,0,0,19,0,55264,1,2,3.0,1,-4013,273,4286,54,True,0,Leicester,Man City,3,4,2,4.0,0,0.2,1,1,0.0,0.2,0.6,0.0,54.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
