assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,543,86,0,0,0.0,0.0,2018-10-20T16:30:00Z,0,10,0,0,0,0,9,0,0,1,0,0.0,0,0,0,0,50,False,0,Liverpool,Huddersfield,4,2,3,7.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,543,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,5,0,0,0,0,10,0,140,1,4,0.0,0,65,91,26,50,True,0,Liverpool,Cardiff,5,2,3,6.895833333333332,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,543,101,0,0,0.0,0.0,2018-11-03T17:30:00Z,0,1,0,0,0,0,11,0,328,1,1,0.0,0,86,160,74,50,False,0,Liverpool,Arsenal,4,4,3,6.145833333333332,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,543,117,0,0,0.0,0.0,2018-11-11T12:00:00Z,0,9,0,0,0,0,12,0,484,0,2,0.0,0,51,133,82,50,True,0,Liverpool,Fulham,5,2,3,7.770833333333332,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1,0,0
0,0,0,0,0.0,543,128,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,18,0,0,0,0,13,0,659,3,0,0.0,0,46,144,98,50,False,0,Liverpool,Watford,4,3,3,5.0,0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,0,0
0,1,27,0,0.0,543,137,0,1,7.2,32.0,2018-12-02T16:15:00Z,6,8,0,0,0,0,14,0,686,0,1,40.0,6,-11,56,67,50,True,0,Liverpool,Everton,5,2,3,8.052083333333334,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
1,0,13,0,23.3,543,143,1,0,4.3,18.0,2018-12-05T19:45:00Z,65,4,0,0,0,0,15,0,2307,3,1,2.0,5,1340,1544,204,50,False,0,Liverpool,Burnley,4,3,3,3.145833333333333,1,7.2,2,0,0.0,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,0,0,0.0,543,152,0,0,0.0,0.0,2018-12-08T12:30:00Z,0,2,0,0,0,0,16,0,3834,4,0,0.0,0,1381,1925,544,50,False,0,Liverpool,Bournemouth,4,3,3,2.6979166666666665,0,4.3,4,0,0.2,0.0,0.2,0.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,0,0,0.0,543,165,0,0,0.0,0.0,2018-12-16T16:00:00Z,0,14,0,0,0,0,17,0,4109,1,3,0.0,0,122,1200,1078,50,True,0,Liverpool,Man Utd,5,4,3,8.145833333333334,0,0.0,2,1,0.2,0.0,0.2,0.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0,0
0,0,0,0,0.0,543,180,0,0,0.0,0.0,2018-12-21T20:00:00Z,0,20,0,0,0,0,18,0,3647,2,0,0.0,0,-590,397,987,50,False,0,Liverpool,Wolves,4,3,3,5.166666666666667,0,0.0,2,0,0.2,0.0,0.2,0.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0,0
0,0,0,0,0.0,543,186,0,0,0.0,0.0,2018-12-26T15:00:00Z,0,15,0,0,0,0,19,0,3402,0,4,0.0,0,-346,417,763,50,True,0,Liverpool,Newcastle,5,2,3,4.791666666666667,0,0.0,4,1,0.2,0.0,0.2,0.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,0,0,0,0.0,543,196,0,0,0.0,0.0,2018-12-29T17:30:00Z,0,1,0,0,0,0,20,0,3330,1,5,0.0,0,-185,386,571,50,True,0,Liverpool,Arsenal,5,4,3,3.1041666666666665,0,0.0,4,1,0.2,0.0,0.2,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1,0,0
0,0,0,0,0.0,543,207,0,0,0.0,0.0,2019-01-03T20:00:00Z,0,13,0,0,0,0,21,0,3262,1,2,0.0,0,-161,310,471,50,False,0,Liverpool,Man City,4,5,3,9.104166666666666,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1,0,0
0,0,2,0,0.0,543,211,0,0,0.2,0.0,2019-01-12T15:00:00Z,1,3,0,0,0,0,22,0,3284,1,0,2.0,1,-144,517,661,50,False,0,Liverpool,Brighton,4,2,3,8.791666666666666,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,0,0,0,0.0,543,225,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,7,0,0,0,0,23,0,3351,3,4,0.0,0,-63,475,538,50,True,0,Liverpool,Crystal Palace,5,2,3,7.0,0,0.2,1,1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,543,237,0,0,0.0,0.0,2019-01-30T20:00:00Z,0,11,0,0,0,0,24,0,3421,1,1,0.0,0,-83,342,425,50,True,0,Liverpool,Leicester,5,3,3,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,2,0,0.7,543,250,0,0,2.3,5.0,2019-02-04T20:00:00Z,15,19,0,0,0,0,25,0,3392,1,1,17.0,1,-86,151,237,50,False,0,Liverpool,West Ham,4,3,3,4.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,3,0,0.0,543,255,0,0,0.2,0.2,2019-02-09T15:00:00Z,3,2,0,0,0,0,26,0,3543,0,3,2.0,1,29,316,287,50,True,0,Liverpool,Bournemouth,5,2,3,4.791666666666667,0,2.3,3,1,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,3,0,0.5,543,268,0,0,0.3,0.4,2019-02-24T14:05:00Z,11,14,0,0,0,0,27,0,3818,0,0,2.0,1,96,416,320,50,False,0,Liverpool,Man Utd,4,4,3,5.0,0,0.2,0,0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,32,1,13.3,543,277,0,1,10.7,45.8,2019-02-27T20:00:00Z,90,18,0,0,0,0,28,0,4529,0,5,48.0,6,613,811,198,50,True,0,Liverpool,Watford,5,3,3,3.2465277777777777,0,0.3,5,1,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,1,1,2.5,543,284,0,0,0.8,0.0,2019-03-03T16:15:00Z,62,8,0,0,0,0,29,0,10115,0,0,6.0,2,5333,5993,660,50,False,0,Liverpool,Everton,4,3,3,5.84375,0,10.7,0,0,0.0,0.2,0.0,0.2,23.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,0,0,0.0,543,297,0,0,0.0,0.0,2019-03-10T12:00:00Z,0,4,0,0,0,0,30,0,10127,2,4,0.0,0,-68,2019,2087,50,True,0,Liverpool,Burnley,5,2,3,6.822916666666668,0,0.8,2,1,0.0,0.4,0.0,0.2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,3,0,1.3,543,305,1,0,1.2,1.0,2019-03-17T14:15:00Z,18,9,0,0,0,0,31,0,8405,2,1,10.0,1,-1192,710,1902,50,False,0,Liverpool,Fulham,4,2,3,7.09375,0,0.0,1,0,0.0,0.4,0.0,0.2,33.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
