assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2021
0,0,3,0,8.8,489,1,0,0,1.7,4.4,2020-09-12T14:00:00Z,9,16,0,0,0,0,1,0,33257,0,1,4.0,1,0,0,0,60,True,0,Crystal Palace,Southampton,3,2,2,7.0,0,1.7,1,1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,4,0,0.8,489,15,1,0,1.2,9.4,2020-09-19T16:30:00Z,15,13,0,0,0,0,2,0,38313,3,1,2.0,1,-781,5582,6363,60,False,0,Crystal Palace,Man Utd,2,4,2,7.104166666666668,0,1.7,2,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,12,0,14.5,489,21,2,0,5.2,8.2,2020-09-26T14:00:00Z,74,7,0,0,0,0,3,0,32133,2,1,29.0,2,-7613,2956,10569,60,True,0,Crystal Palace,Everton,3,4,2,6.895833333333332,0,1.2,-1,1,0.0,0.0,0.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1
0,0,4,0,3.9,489,31,4,0,0.4,0.0,2020-10-03T11:30:00Z,90,5,0,0,0,0,4,0,31637,0,4,0.0,2,-2055,3313,5368,59,False,0,Crystal Palace,Chelsea,2,4,2,6.895833333333332,0,5.2,-4,0,0.0,0.0,1.0,0.0,32.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1
0,0,0,0,0.0,489,40,0,0,0.0,0.0,2020-10-18T13:00:00Z,0,3,0,0,0,0,5,0,30130,1,1,0.0,0,-2589,3099,5688,59,True,0,Crystal Palace,Brighton,3,3,2,5.0,0,0.4,0,1,0.0,0.0,1.75,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1
0,0,2,0,11.3,489,53,1,0,6.1,5.4,2020-10-24T14:00:00Z,14,8,0,0,0,0,6,0,26920,2,1,44.0,1,-3501,827,4328,59,False,0,Crystal Palace,Fulham,2,2,2,6.041666666666668,0,0.0,1,0,0.0,0.0,1.4,0.0,37.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,2,0,1.6,489,68,0,0,0.7,3.2,2020-10-30T20:00:00Z,25,20,0,0,0,0,7,0,24633,0,2,2.0,1,-2654,607,3261,58,False,0,Crystal Palace,Wolves,2,3,2,6.25,0,6.1,-2,0,0.0,0.0,1.6,0.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
1,3,46,0,28.2,489,72,1,1,10.5,67.0,2020-11-07T15:00:00Z,90,10,0,0,0,0,8,0,22523,1,4,10.0,13,-2269,379,2648,58,True,0,Crystal Palace,Leeds,3,3,2,6.791666666666668,0,0.7,3,1,0.0,0.0,1.4,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1
0,0,12,0,15.3,489,80,1,0,3.1,13.2,2020-11-23T17:30:00Z,90,4,0,0,0,0,9,0,39069,0,1,2.0,2,14602,20431,5829,58,False,0,Crystal Palace,Burnley,2,2,2,5.0,3,10.5,-1,0,0.2,0.0,1.2,0.2,43.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,5,0,5.5,489,92,2,0,3.2,10.2,2020-11-27T20:00:00Z,90,14,0,0,0,0,10,0,54472,2,0,16.0,2,13516,17934,4418,58,True,0,Crystal Palace,Newcastle,3,2,2,4.104166666666667,0,3.1,-2,1,0.2,0.0,0.6,0.2,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
