assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,552,111,0,0,0.0,0.0,2018-11-11T16:30:00Z,0,20,0,0,0,0,12,0,0,1,1,0.0,0,0,0,0,50,True,0,Arsenal,Wolves,4,3,3,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,3,0,0.0,552,121,0,0,0.0,0.0,2018-11-25T13:30:00Z,1,2,0,0,0,0,13,0,248,2,1,0.0,1,146,194,48,50,False,0,Arsenal,Bournemouth,4,3,3,5.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,552,131,0,0,0.0,0.0,2018-12-02T14:05:00Z,0,17,0,0,0,0,14,0,377,2,4,0.0,0,79,157,78,50,True,0,Arsenal,Spurs,4,4,3,7.0243055555555545,0,0.0,2,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0
0,0,0,0,0.0,552,145,0,0,0.0,0.0,2018-12-05T20:00:00Z,0,14,0,0,0,0,15,0,452,2,2,0.0,0,27,111,84,50,False,0,Arsenal,Man Utd,4,4,3,3.2465277777777777,0,0.0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,552,151,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,10,0,0,0,0,16,0,495,0,1,0.0,0,5,106,101,50,True,0,Arsenal,Huddersfield,4,2,3,2.7916666666666665,0,0.0,1,1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1,0,0
0,0,0,0,0.0,552,167,0,0,0.0,0.0,2018-12-16T13:30:00Z,0,16,0,0,0,0,17,0,702,2,3,0.0,0,81,212,131,50,False,0,Arsenal,Southampton,4,2,3,7.9375,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,0,0,0.0,552,171,0,0,0.0,0.0,2018-12-22T12:30:00Z,0,4,0,0,0,0,18,0,810,1,3,0.0,0,30,126,96,50,True,0,Arsenal,Burnley,4,2,3,5.958333333333332,0,0.0,2,1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,0,0,0.0,552,181,0,0,0.0,0.0,2018-12-26T17:15:00Z,0,3,0,0,0,0,19,0,925,1,1,0.0,0,30,154,124,50,False,0,Arsenal,Brighton,4,2,3,4.197916666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,0,0,0.0,552,196,0,0,0.0,0.0,2018-12-29T17:30:00Z,0,12,0,0,0,0,20,0,1009,1,5,0.0,0,15,132,117,50,False,0,Arsenal,Liverpool,4,5,3,3.0104166666666665,0,0.0,-4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,0.0,552,201,0,0,0.0,0.0,2019-01-01T15:00:00Z,0,9,0,0,0,0,21,0,1120,1,4,0.0,0,22,175,153,50,True,0,Arsenal,Fulham,4,2,3,6.895833333333332,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
