assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,482,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,17090,2,1,0.0,0,0,0,0,50,True,0,Newcastle,Spurs,3,4,1,7.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,482,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,15454,0,0,0.0,0,-2624,211,2835,50,False,0,Newcastle,Cardiff,2,2,1,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,3,0,0.1,482,27,1,0,2.6,25.4,2018-08-26T15:00:00Z,78,6,0,0,0,0,3,0,11932,2,1,0.0,1,-3723,79,3802,49,True,1,Newcastle,Chelsea,3,4,1,8.145833333333334,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,0,0,0.0,482,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,10944,1,2,0.0,0,-1278,135,1413,49,False,0,Newcastle,Man City,2,5,1,5.0625,0,2.6,-1,0,0.0,0.0,0.3333333333333333,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.6666666666666666,1,0,0
0,0,0,0,0.0,482,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,1,0,0,0,0,5,0,9887,2,1,0.0,0,-1251,68,1319,48,True,0,Newcastle,Arsenal,3,4,1,5.0,0,0.0,-1,1,0.0,0.0,0.25,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.75,1,0,0
0,0,0,0,0.0,482,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,9189,0,0,0.0,0,-805,43,848,48,False,0,Newcastle,Crystal Palace,2,2,1,7.0,0,0.0,0,0,0.0,0.0,0.2,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,0,0,0.0,482,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,8632,2,0,0.0,0,-634,62,696,48,True,0,Newcastle,Leicester,3,3,1,7.0,0,0.0,-2,1,0.0,0.0,0.2,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,0,0,0.0,482,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,8236,2,3,0.0,0,-439,27,466,47,False,0,Newcastle,Man Utd,2,4,1,7.104166666666668,0,0.0,-1,0,0.0,0.0,0.2,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1,0,0
0,0,0,0,0.0,482,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,7906,1,0,0.0,0,-399,101,500,47,True,0,Newcastle,Brighton,3,2,1,5.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,482,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,16,0,0,0,0,10,0,7734,0,0,0.0,0,-241,48,289,47,False,0,Newcastle,Southampton,2,2,1,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
