assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,516,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,10427,2,1,0.0,0,0,0,0,45,True,0,Newcastle,Spurs,3,4,1,7.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,516,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,5,0,0,0,0,2,0,11094,0,0,0.0,0,-1109,344,1453,45,False,0,Newcastle,Cardiff,2,2,1,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,8,0,14.0,516,27,2,0,4.2,16.2,2018-08-26T15:00:00Z,90,6,0,0,0,0,3,0,9618,2,1,12.0,0,-1755,120,1875,45,True,1,Newcastle,Chelsea,3,4,1,8.145833333333334,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,11,0,0.1,516,38,2,0,2.3,22.8,2018-09-01T16:30:00Z,90,13,0,0,0,0,4,0,9030,1,2,0.0,1,-896,138,1034,45,False,0,Newcastle,Man City,2,5,1,5.0625,0,4.2,-1,0,0.0,0.0,0.6666666666666666,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.6666666666666666,1,0,0
1,1,27,0,14.5,516,46,2,0,7.9,42.0,2018-09-15T14:00:00Z,90,1,0,0,0,0,5,0,8725,2,1,22.0,5,-523,115,638,45,True,0,Newcastle,Arsenal,3,4,1,5.0,0,2.3,-1,1,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.75,1,0,0
0,0,27,1,0.2,516,55,0,0,2.7,26.6,2018-09-22T14:00:00Z,90,7,0,0,0,0,6,0,9345,0,0,0.0,6,341,789,448,44,False,0,Newcastle,Crystal Palace,2,2,1,7.0,1,7.9,0,0,0.2,0.0,1.2,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,0,0,0.0,516,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,10153,2,0,0.0,0,577,1302,725,44,True,0,Newcastle,Leicester,3,3,1,7.0,0,2.7,-2,1,0.2,0.2,1.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,11,0,0.0,516,77,3,0,1.5,14.6,2018-10-06T16:30:00Z,90,14,0,0,0,0,8,0,9094,2,3,0.0,1,-1005,56,1061,44,False,0,Newcastle,Man Utd,2,4,1,7.104166666666668,0,0.0,-1,0,0.2,0.2,1.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1,0,0
0,0,16,0,1.8,516,88,1,0,2.0,12.6,2018-10-20T14:00:00Z,90,3,0,0,0,0,9,0,9604,1,0,6.0,2,295,888,593,44,True,0,Newcastle,Brighton,3,2,1,5.0,0,1.5,-1,1,0.2,0.2,1.4,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,26,1,10.3,516,98,0,0,4.7,32.8,2018-10-27T14:00:00Z,90,16,0,0,0,0,10,0,9405,0,0,4.0,6,-201,173,374,44,False,0,Newcastle,Southampton,2,2,1,7.0,0,2.0,0,0,0.2,0.2,1.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
