assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,10,0,26.8,465,5,3,0,4.4,15.2,2018-08-12T12:30:00Z,61,12,0,0,0,0,1,0,183158,0,4,2.0,2,0,0,0,70,False,0,West Ham,Liverpool,3,5,2,7.0,0,4.4,-4,0,0.0,0.0,3.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1,0,0
0,0,9,0,25.2,465,20,2,0,4.5,15.4,2018-08-18T14:00:00Z,90,2,0,0,0,0,2,0,178346,2,1,4.0,1,-14846,6497,21343,70,True,1,West Ham,Bournemouth,3,2,2,6.0625,0,4.4,-1,1,0.0,0.0,3.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1,0,0
1,0,21,0,38.6,465,21,3,0,10.5,33.4,2018-08-25T14:00:00Z,90,1,0,0,0,0,3,0,131561,1,3,33.0,5,-47094,856,47950,69,False,0,West Ham,Arsenal,3,4,2,7.0,0,4.5,-2,0,0.0,0.0,2.5,0.0,75.5,0.0,0.0,0.0,0.0,0.0,0.5,-2.5,1,0,0
0,0,9,0,28.8,465,40,1,0,5.2,14.2,2018-09-01T14:00:00Z,90,20,0,0,0,0,4,0,140038,1,0,9.0,2,3534,14707,11173,69,True,0,West Ham,Wolves,3,3,2,6.0,0,10.5,-1,1,0.3333333333333333,0.0,2.6666666666666665,0.0,80.33333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-2.333333333333333,1,0,0
0,0,17,0,43.2,465,43,1,0,7.2,22.2,2018-09-16T15:00:00Z,90,8,0,0,0,0,5,0,127016,3,1,7.0,2,-13533,3810,17343,69,False,0,West Ham,Everton,3,3,2,5.0,0,5.2,2,0,0.25,0.0,2.25,0.0,82.75,0.0,0.0,0.0,0.0,0.0,0.25,-2.0,1,0,0
0,0,5,1,11.8,465,60,0,0,3.3,10.8,2018-09-23T12:30:00Z,73,6,0,0,0,0,6,0,117018,0,0,10.0,2,-10643,1862,12505,69,True,1,West Ham,Chelsea,3,4,2,6.895833333333332,0,7.2,0,1,0.2,0.0,2.0,0.0,84.2,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1,0,0
0,3,32,0,54.1,465,69,1,1,14.4,57.2,2018-09-29T11:30:00Z,90,14,0,0,0,0,7,0,111187,1,3,33.0,10,-6518,1644,8162,68,True,0,West Ham,Man Utd,3,4,2,5.958333333333332,0,3.3,2,1,0.2,0.2,1.4,0.0,86.6,0.0,0.0,0.0,0.0,0.0,0.4,-0.4,1,0,0
0,0,22,0,87.8,465,71,1,0,11.4,19.6,2018-10-05T19:00:00Z,90,3,0,0,0,0,8,0,151222,0,1,7.0,2,34783,37993,3210,68,False,0,West Ham,Brighton,3,2,2,6.3125,3,14.4,-1,0,0.2,0.2,1.2,0.2,86.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,0
0,0,3,0,3.0,465,89,1,0,1.9,4.2,2018-10-20T14:00:00Z,56,17,0,0,0,0,9,0,148514,1,0,12.0,1,-1143,11837,12980,68,True,0,West Ham,Spurs,3,4,2,5.0,0,11.4,-1,1,0.0,0.2,0.8,0.2,86.6,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,9,1,16.5,465,95,0,0,5.1,15.4,2018-10-27T16:30:00Z,80,11,0,0,0,0,10,0,142348,1,1,19.0,3,-6656,6385,13041,68,False,0,West Ham,Leicester,3,3,2,7.104166666666668,0,1.9,0,0,0.0,0.2,0.8,0.2,79.8,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
