assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,7,1,5.4,252,5,0,0,2.2,3.8,2018-08-12T12:30:00Z,90,19,0,0,0,0,1,0,32164,0,4,13.0,3,0,0,0,55,True,0,Liverpool,West Ham,5,3,2,7.0,0,2.2,4,1,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,16,1,14.8,252,15,0,0,3.3,16.0,2018-08-20T19:00:00Z,90,7,0,0,0,0,2,0,37360,2,0,2.0,3,-1534,3097,4631,55,False,0,Liverpool,Crystal Palace,4,2,2,8.270833333333334,0,2.2,2,0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,13,1,17.0,252,25,0,0,11.0,22.2,2018-08-25T16:30:00Z,90,3,0,0,0,0,3,0,36427,0,1,71.0,3,-2847,2526,5373,55,True,0,Liverpool,Brighton,5,2,2,4.895833333333333,0,3.3,1,1,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,6,0,1.2,252,37,1,0,2.6,4.4,2018-09-01T11:30:00Z,90,11,0,0,0,0,4,0,37067,2,1,20.0,2,-1128,2883,4011,55,False,0,Liverpool,Leicester,4,3,2,5.791666666666668,0,11.0,1,0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1,0,0
0,2,30,0,14.2,252,48,1,1,8.3,43.4,2018-09-15T11:30:00Z,90,17,0,0,0,0,5,0,36679,2,1,25.0,9,-1954,2216,4170,55,False,0,Liverpool,Spurs,4,4,2,5.0,0,2.6,1,0,0.0,0.75,0.25,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,12,1,3.9,252,58,0,0,1.2,5.2,2018-09-22T14:00:00Z,69,16,0,0,0,0,6,0,55271,0,3,3.0,3,14249,17740,3491,55,True,0,Liverpool,Southampton,5,2,2,7.104166666666668,2,8.3,3,1,0.0,0.6,0.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,10,0,4.4,252,64,1,0,0.7,2.2,2018-09-29T16:30:00Z,90,6,0,0,0,0,7,0,57499,1,1,0.0,2,1460,6695,5235,55,False,0,Liverpool,Chelsea,4,4,2,7.104166666666668,0,1.2,0,0,0.0,0.6,0.4,0.2,85.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,7,1,2.9,252,76,0,0,0.8,2.6,2018-10-07T15:30:00Z,90,13,0,0,0,0,8,0,62305,0,0,2.0,2,3190,7930,4740,55,True,1,Liverpool,Man City,5,4,2,7.958333333333332,0,0.7,0,1,0.0,0.4,0.6,0.2,85.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,5,0,12.3,252,86,0,0,2.5,13.0,2018-10-20T16:30:00Z,45,10,0,0,0,0,9,0,92486,1,0,0.0,1,25261,31973,6712,55,False,0,Liverpool,Huddersfield,4,2,2,5.0,0,0.8,1,0,0.0,0.4,0.6,0.2,85.8,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1,0,0
1,1,25,0,16.8,252,96,1,0,5.1,16.0,2018-10-27T14:00:00Z,90,5,0,0,0,0,10,0,85104,1,4,18.0,6,-5713,5452,11165,55,True,0,Liverpool,Cardiff,5,2,2,6.895833333333332,0,2.5,3,1,0.0,0.4,0.4,0.2,76.8,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1,0,0
0,0,7,0,2.8,252,101,1,0,0.8,1.2,2018-11-03T17:30:00Z,90,1,0,0,0,0,11,0,84762,1,1,4.0,2,-1724,7183,8907,55,False,0,Liverpool,Arsenal,4,4,2,6.145833333333332,1,5.1,0,0,0.2,0.4,0.4,0.0,76.8,0.0,0.0,0.0,0.0,0.0,0.2,1.4,1,0,0
0,0,12,1,5.2,252,117,0,0,1.4,9.0,2018-11-11T12:00:00Z,68,9,0,0,0,0,12,0,83265,0,2,0.0,3,-2128,5329,7457,55,True,0,Liverpool,Fulham,5,2,2,7.770833333333332,0,0.8,2,1,0.2,0.2,0.6,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,13,1,4.0,252,128,0,0,1.5,10.8,2018-11-24T15:00:00Z,90,18,0,0,0,0,13,0,82270,3,0,0.0,3,-1821,4917,6738,55,False,0,Liverpool,Watford,4,3,2,5.0,0,1.4,3,0,0.2,0.4,0.4,0.0,76.6,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1,0,0
0,0,16,1,13.6,252,137,0,0,2.9,15.6,2018-12-02T16:15:00Z,90,8,0,0,0,0,14,0,83746,0,1,0.0,3,726,5341,4615,55,True,0,Liverpool,Everton,5,2,2,8.052083333333334,0,1.5,1,1,0.2,0.4,0.4,0.0,76.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,0,0,0.0,252,143,0,0,0.0,0.0,2018-12-05T19:45:00Z,0,4,0,0,0,0,15,0,84434,3,1,0.0,0,331,5141,4810,55,False,0,Liverpool,Burnley,4,3,2,3.145833333333333,0,2.9,2,0,0.2,0.6,0.4,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,9,1,15.6,252,152,0,0,3.2,12.2,2018-12-08T12:30:00Z,90,2,0,0,0,0,16,0,79978,4,0,4.0,3,-4379,1900,6279,55,False,0,Liverpool,Bournemouth,4,3,2,2.6979166666666665,0,0.0,4,0,0.0,0.6,0.2,0.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,14,0,55.1,252,165,1,0,9.2,21.8,2018-12-16T16:00:00Z,90,14,0,0,0,0,17,0,75521,1,3,15.0,2,-4970,1392,6362,55,True,0,Liverpool,Man Utd,5,4,2,8.145833333333334,0,3.2,2,1,0.0,0.8,0.0,0.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0,0
0,0,2,0,0.7,252,180,0,0,0.6,1.0,2018-12-21T20:00:00Z,14,20,0,0,0,0,18,0,74989,2,0,4.0,1,-1184,3361,4545,55,False,0,Liverpool,Wolves,4,3,2,5.166666666666667,0,9.2,2,0,0.0,0.6,0.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0,0
0,0,14,1,3.6,252,186,0,0,0.8,4.0,2018-12-26T15:00:00Z,61,15,0,0,0,0,19,0,70153,0,4,0.0,3,-4931,1485,6416,55,True,0,Liverpool,Newcastle,5,2,2,4.791666666666667,0,0.6,4,1,0.0,0.4,0.2,0.0,56.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,0,17,0,15.4,252,196,1,0,3.0,13.0,2018-12-29T17:30:00Z,77,1,0,0,0,0,20,0,67441,1,5,2.0,2,-3038,2030,5068,55,True,0,Liverpool,Arsenal,5,4,2,3.1041666666666665,0,0.8,4,1,0.0,0.4,0.2,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1,0,0
0,0,5,0,5.5,252,207,2,0,4.5,5.8,2019-01-03T20:00:00Z,85,13,0,0,0,0,21,0,66050,1,2,34.0,1,-1837,2120,3957,55,False,1,Liverpool,Man City,4,5,2,9.104166666666666,0,3.0,-1,0,0.0,0.4,0.4,0.0,66.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1,0,0
0,0,15,1,6.2,252,211,0,0,2.1,11.8,2019-01-12T15:00:00Z,90,3,0,0,0,0,22,0,64586,1,0,3.0,3,-2163,2688,4851,55,False,0,Liverpool,Brighton,4,2,2,8.791666666666666,0,4.5,1,0,0.0,0.2,0.8,0.0,65.4,0.0,0.0,0.0,0.0,0.0,0.2,2.2,1,0,0
0,0,0,0,0.0,252,225,0,0,0.0,0.0,2019-01-19T15:00:00Z,0,7,0,0,0,0,23,0,56837,3,4,0.0,0,-7713,939,8652,55,True,0,Liverpool,Crystal Palace,5,2,2,7.0,0,2.1,1,1,0.0,0.4,0.6,0.0,65.4,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1,0,0
0,0,18,0,10.2,252,237,1,0,2.6,15.6,2019-01-30T20:00:00Z,90,11,0,0,0,0,24,0,51866,1,1,0.0,2,-5190,130,5320,55,True,0,Liverpool,Leicester,5,3,2,5.0,0,0.0,0,1,0.0,0.4,0.6,0.0,62.6,0.0,0.0,0.0,0.0,0.0,0.2,1.8,1,0,0
0,0,0,0,0.0,252,250,0,0,0.0,0.0,2019-02-04T20:00:00Z,0,19,0,0,0,0,25,0,51735,1,1,0.0,0,-330,713,1043,55,False,0,Liverpool,West Ham,4,3,2,4.0,0,2.6,0,0,0.0,0.2,0.8,0.0,68.4,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1,0,0
0,3,37,1,35.5,252,255,0,1,11.4,46.4,2019-02-09T15:00:00Z,76,2,0,0,0,0,26,0,49896,0,3,32.0,11,-1952,491,2443,55,True,0,Liverpool,Bournemouth,5,2,2,4.791666666666667,0,0.0,3,1,0.0,0.2,0.6,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,0
0,0,8,1,4.8,252,268,0,0,2.9,5.0,2019-02-24T14:05:00Z,90,14,0,0,0,0,27,0,61782,0,0,19.0,2,9548,11363,1815,55,False,1,Liverpool,Man Utd,4,4,2,5.0,3,11.4,0,0,0.0,0.4,0.2,0.2,51.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,9,1,4.0,252,277,0,0,1.8,7.4,2019-02-27T20:00:00Z,83,18,0,0,0,0,28,0,65035,0,5,7.0,3,3705,5038,1333,55,True,0,Liverpool,Watford,5,3,2,3.2465277777777777,0,2.9,5,1,0.0,0.4,0.2,0.2,51.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,7,1,12.4,252,284,0,0,2.3,4.4,2019-03-03T16:15:00Z,62,8,0,0,0,0,29,0,66737,0,0,6.0,3,1523,4137,2614,55,False,0,Liverpool,Everton,4,3,2,5.84375,0,1.8,0,0,0.0,0.6,0.2,0.2,67.8,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1,0,0
0,0,10,0,23.5,252,297,1,0,3.6,6.2,2019-03-10T12:00:00Z,67,4,0,0,0,0,30,0,70990,2,4,6.0,2,3634,6057,2423,55,True,0,Liverpool,Burnley,5,2,2,6.822916666666668,0,2.3,2,1,0.0,0.8,0.0,0.2,62.2,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1,0,0
0,0,9,0,19.3,252,305,1,0,4.0,6.2,2019-03-17T14:15:00Z,90,9,0,0,0,0,31,0,70946,2,1,14.0,2,699,3386,2687,55,False,0,Liverpool,Fulham,4,2,2,7.09375,0,3.6,1,0,0.0,0.8,0.2,0.2,75.6,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1,0,0
0,0,11,0,23.4,252,318,1,0,3.9,11.2,2019-03-31T15:30:00Z,90,17,0,0,0,0,32,0,69780,1,2,4.0,2,-2280,1625,3905,55,True,0,Liverpool,Spurs,5,4,2,5.0,0,4.0,1,1,0.0,0.6,0.4,0.0,78.4,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1,0,0
0,0,8,0,1.8,252,327,1,0,1.0,7.8,2019-04-05T19:00:00Z,58,16,0,0,0,0,33,0,71082,3,1,0.0,1,686,2283,1597,55,False,0,Liverpool,Southampton,4,2,2,4.145833333333333,0,3.9,2,0,0.0,0.4,0.6,0.0,78.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,3,0,0.6,252,336,0,0,0.4,1.4,2019-04-14T15:30:00Z,24,6,0,0,0,0,34,0,68964,0,2,2.0,1,-2249,592,2841,55,True,0,Liverpool,Chelsea,5,4,2,8.854166666666666,0,1.0,2,1,0.0,0.2,0.8,0.0,73.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,3,40,1,12.7,252,343,0,1,8.3,53.0,2019-04-21T15:00:00Z,90,5,0,0,0,0,35,0,66190,2,0,17.0,11,-2778,532,3310,55,False,0,Liverpool,Cardiff,4,2,2,6.979166666666668,0,0.4,2,0,0.0,0.0,0.8,0.0,65.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,24,1,15.2,252,356,0,0,3.6,21.2,2019-04-26T19:00:00Z,72,10,0,0,0,0,36,0,72059,0,5,0.0,3,5302,6260,958,55,True,0,Liverpool,Huddersfield,5,2,2,5.166666666666667,3,8.3,5,1,0.0,0.2,0.6,0.2,70.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,17,0,15.2,252,368,2,0,2.9,9.4,2019-05-04T18:45:00Z,65,15,0,0,0,0,37,0,72202,3,2,4.0,2,135,2172,2037,55,False,0,Liverpool,Newcastle,4,3,2,7.989583333333332,0,3.6,1,0,0.0,0.4,0.4,0.2,66.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0,0
0,0,14,1,6.0,252,376,0,0,2.0,7.4,2019-05-12T14:00:00Z,87,20,0,0,0,0,38,0,90657,0,2,7.0,3,16235,18176,1941,55,True,0,Liverpool,Wolves,5,3,2,7.802083333333332,0,2.9,2,1,0.0,0.4,0.6,0.2,61.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1,0,0
0,0,11,0,5.2,199,1,1,0,1.1,3.8,2019-08-09T19:00:00Z,90,14,0,0,0,0,1,0,145844,1,4,2.0,2,0,0,0,55,True,0,Liverpool,Norwich,5,2,2,7.0,0,2.0,3,1,0.0,0.6,0.4,0.2,67.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0,1,0
0,0,12,0,2.4,199,19,1,0,1.7,11.0,2019-08-17T14:00:00Z,90,16,0,0,0,0,2,0,165162,2,1,4.0,2,-3552,16339,19891,55,False,0,Liverpool,Southampton,4,2,2,7.791666666666668,0,1.1,1,0,0.0,0.6,0.6,0.2,80.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0,1,0
0,0,13,1,8.3,199,24,0,0,2.7,6.6,2019-08-24T16:30:00Z,68,1,0,0,0,0,3,0,151399,1,3,12.0,3,-18073,7020,25093,55,True,0,Liverpool,Arsenal,5,3,2,7.104166666666668,0,1.7,2,1,0.0,0.4,0.8,0.0,80.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0,1,0
0,0,10,1,13.2,199,32,0,0,3.3,11.0,2019-08-31T16:30:00Z,90,5,0,0,0,0,4,0,147049,3,0,9.0,3,-8919,9815,18734,55,False,0,Liverpool,Burnley,4,3,2,7.0,0,2.7,3,0,0.0,0.4,0.8,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,1,0
0,0,15,0,10.3,199,44,1,0,3.5,11.6,2019-09-14T11:30:00Z,83,13,0,0,0,0,5,0,148323,1,3,13.0,2,-2929,13112,16041,55,True,0,Liverpool,Newcastle,5,2,2,5.0,0,3.3,2,1,0.0,0.6,0.4,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0,1,0
0,0,4,0,2.9,199,53,1,0,1.2,1.6,2019-09-22T15:30:00Z,90,6,0,0,0,0,6,0,144920,2,1,7.0,2,-5350,7413,12763,55,False,0,Liverpool,Chelsea,4,4,2,8.166666666666666,0,3.5,1,0,0.0,0.4,0.6,0.0,84.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0,1,0
0,2,29,1,6.5,199,68,0,1,5.7,33.6,2019-09-28T11:30:00Z,90,15,0,0,0,0,7,0,141360,1,0,17.0,10,-5153,7994,13147,54,False,0,Liverpool,Sheffield Utd,4,3,2,5.833333333333332,0,1.2,1,0,0.0,0.4,0.6,0.0,84.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,1,0
0,0,5,1,2.1,199,74,0,0,2.4,5.0,2019-10-05T14:00:00Z,77,9,0,0,0,0,8,0,167380,1,2,17.0,3,21453,27485,6032,54,True,0,Liverpool,Leicester,5,3,2,7.104166666666668,2,5.7,1,1,0.0,0.6,0.4,0.2,84.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,1,0
0,0,10,0,2.8,199,87,1,0,2.4,14.6,2019-10-20T15:30:00Z,81,12,0,0,0,0,9,0,175466,1,1,7.0,2,6580,17549,10969,54,False,0,Liverpool,Man Utd,4,4,2,5.0,0,2.4,0,0,0.0,0.6,0.4,0.2,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,1,0
0,0,14,0,4.0,199,94,1,0,3.0,6.8,2019-10-27T16:30:00Z,76,17,0,0,0,0,10,0,183421,1,2,19.0,2,6569,14488,7919,54,True,0,Liverpool,Spurs,5,3,2,7.041666666666668,0,2.4,1,1,0.0,0.4,0.6,0.2,84.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
0,0,15,0,14.2,199,102,1,0,3.9,11.6,2019-11-02T15:00:00Z,64,2,0,0,0,0,11,0,189922,2,1,13.0,2,4255,18065,13810,54,False,0,Liverpool,Aston Villa,4,2,2,4.9375,0,3.0,1,0,0.0,0.4,0.6,0.2,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,1,0
0,0,16,0,3.1,199,114,1,0,1.8,7.2,2019-11-10T16:30:00Z,90,11,0,0,0,0,12,0,187726,1,3,8.0,2,-2263,10257,12520,54,True,0,Liverpool,Man City,5,4,2,8.0625,0,3.9,2,1,0.0,0.4,0.6,0.2,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,1,0
0,0,9,0,13.3,199,125,1,0,4.6,16.0,2019-11-23T15:00:00Z,90,7,0,0,0,0,13,0,201443,2,1,17.0,2,10021,22550,12529,54,False,0,Liverpool,Crystal Palace,4,3,2,5.0,0,1.8,1,0,0.0,0.2,0.8,0.0,77.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
0,0,13,0,13.3,199,134,1,0,3.7,17.8,2019-11-30T15:00:00Z,90,4,0,0,0,0,14,0,200947,1,2,6.0,2,-533,12341,12874,54,True,0,Liverpool,Brighton,5,2,2,7.0,0,4.6,1,1,0.0,0.0,1.0,0.0,80.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
0,1,35,0,15.1,199,149,2,1,8.2,46.0,2019-12-04T20:15:00Z,90,8,0,0,0,0,15,0,196798,2,5,21.0,8,-4676,6234,10910,54,True,0,Liverpool,Everton,5,2,2,4.21875,0,3.7,3,1,0.0,0.0,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0,1,0
0,0,0,0,0.0,199,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,3,0,0,0,0,16,0,205785,3,0,0.0,0,7521,15228,7707,54,False,0,Liverpool,Bournemouth,4,2,2,2.78125,1,8.2,3,0,0.0,0.0,1.2,0.2,84.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,1,0
0,0,5,0,1.8,199,166,0,0,0.9,7.6,2019-12-14T12:30:00Z,58,18,0,0,0,0,17,0,198242,0,2,0.0,1,-8200,9988,18188,54,True,0,Liverpool,Watford,5,2,2,6.895833333333332,0,0.0,2,1,0.0,0.0,1.0,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0
0,0,18,1,9.3,199,186,0,0,2.5,11.2,2019-12-26T20:00:00Z,90,9,0,0,0,0,19,0,163398,4,0,4.0,3,-2523,4614,7137,54,False,0,Liverpool,Leicester,4,3,2,5.0,0,0.9,4,0,0.0,0.0,0.8,0.2,65.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0
0,0,6,1,2.8,199,194,0,0,2.9,1.8,2019-12-29T16:30:00Z,85,20,0,0,0,0,20,0,168427,0,1,24.0,3,4260,9261,5001,54,True,0,Liverpool,Wolves,5,4,2,2.8541666666666665,0,2.5,1,1,0.0,0.2,0.6,0.2,65.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0,1,0
0,0,9,1,6.3,199,204,0,0,1.6,3.6,2020-01-02T20:00:00Z,90,15,0,0,0,0,21,0,167460,0,2,6.0,3,-1384,6880,8264,54,True,0,Liverpool,Sheffield Utd,5,3,2,8.145833333333334,0,2.9,2,1,0.0,0.4,0.4,0.2,64.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0,1,0
0,0,18,1,6.9,199,219,0,0,4.5,12.6,2020-01-11T17:30:00Z,90,17,0,0,0,0,22,0,163002,1,0,25.0,3,-5194,5090,10284,54,False,0,Liverpool,Spurs,4,4,2,8.895833333333334,0,1.6,1,0,0.0,0.6,0.0,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0,1,0
0,0,16,1,13.6,199,224,0,0,2.7,11.8,2020-01-19T16:30:00Z,90,12,0,0,0,0,23,0,163405,0,2,2.0,3,-336,7901,8237,54,True,0,Liverpool,Man Utd,5,4,2,7.958333333333332,0,4.5,2,1,0.0,0.8,0.0,0.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0
0,0,10,0,4.8,199,237,1,0,0.9,4.4,2020-01-23T20:00:00Z,90,20,0,0,0,0,24,0,181930,2,1,0.0,2,18044,25317,7273,54,False,0,Liverpool,Wolves,4,3,2,4.145833333333333,0,2.7,1,0,0.0,1.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0
0,0,14,1,15.4,199,180,0,0,3.6,8.4,2020-01-29T19:45:00Z,90,19,0,0,0,0,24,0,181930,2,0,12.0,3,18044,25317,7273,54,False,0,Liverpool,West Ham,4,2,2,5.989583333333332,0,0.9,2,0,0.0,0.8,0.2,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0,1,0
0,0,11,1,11.8,199,245,0,0,4.5,14.0,2020-02-01T15:00:00Z,80,16,0,0,0,0,25,0,174898,0,4,19.0,3,-7286,4811,12097,54,True,0,Liverpool,Southampton,5,3,2,1.8020833333333333,0,3.6,4,1,0.0,0.8,0.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,1,0
0,0,7,0,5.3,199,257,0,0,1.5,3.2,2020-02-15T17:30:00Z,59,14,0,0,0,0,26,0,166928,1,0,6.0,1,-8443,1931,10374,54,False,0,Liverpool,Norwich,4,2,2,5.0,0,4.5,1,0,0.0,0.8,0.2,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0
0,2,34,0,17.2,199,266,2,1,9.6,51.4,2020-02-24T20:00:00Z,90,19,0,0,0,0,27,0,162735,2,3,27.0,9,-4751,4848,9599,54,True,0,Liverpool,West Ham,5,2,2,9.104166666666666,0,1.5,1,1,0.0,0.6,0.2,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0
0,0,14,0,2.3,199,279,2,0,0.8,6.0,2020-02-29T17:30:00Z,60,18,0,0,0,0,28,0,170614,0,3,0.0,2,7675,11809,4134,54,False,0,Liverpool,Watford,4,3,2,4.895833333333333,2,9.6,-3,0,0.0,0.4,0.6,0.2,81.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,1,0
0,0,15,0,25.6,199,286,1,0,3.6,8.2,2020-03-07T12:30:00Z,90,3,0,0,0,0,29,0,174064,1,2,2.0,2,1667,8537,6870,54,True,0,Liverpool,Bournemouth,5,2,2,7.791666666666668,0,0.8,1,1,0.0,0.4,0.8,0.2,75.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
0,0,2,0,2.8,199,294,0,0,0.5,2.6,2020-06-21T18:00:00Z,25,8,0,0,0,0,39,0,170088,0,0,0.0,1,-3830,13028,16858,54,False,0,Liverpool,Everton,4,4,2,7.0,0,3.6,0,0,0.0,0.2,1.0,0.2,75.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,1,0
0,0,6,1,17.5,199,304,0,0,5.5,8.4,2020-06-24T19:15:00Z,90,7,0,0,0,0,40,0,168313,0,4,29.0,3,-2548,2207,4755,54,True,0,Liverpool,Crystal Palace,5,3,2,3.052083333333333,0,0.5,4,1,0.0,0.0,1.0,0.2,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
0,0,11,0,1.0,199,317,3,0,0.8,7.2,2020-07-02T19:15:00Z,61,11,0,0,0,0,41,0,166025,0,4,0.0,2,-2569,1762,4331,54,False,0,Liverpool,Man City,4,4,2,8.0,0,5.5,-4,0,0.0,0.2,1.0,0.2,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,1,0
0,0,8,0,11.9,199,324,0,0,2.5,9.2,2020-07-05T15:30:00Z,29,2,0,0,0,0,42,0,163421,0,2,4.0,1,-2968,2079,5047,54,True,0,Liverpool,Aston Villa,5,2,2,2.84375,0,0.8,2,1,0.0,0.2,1.2,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0,1,0
0,0,11,0,2.8,199,334,1,0,1.6,4.6,2020-07-08T19:15:00Z,90,4,0,0,0,0,43,0,160847,3,1,9.0,2,-2825,1126,3951,54,False,0,Liverpool,Brighton,4,2,2,3.15625,0,2.5,2,0,0.0,0.2,0.8,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,1,0
0,0,13,0,5.1,199,344,1,0,3.2,4.6,2020-07-11T14:00:00Z,80,5,0,0,0,0,44,0,161125,1,1,22.0,2,-79,3585,3664,54,True,0,Liverpool,Burnley,5,3,2,2.78125,0,1.6,0,1,0.0,0.2,0.8,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,1,0
0,0,18,0,44.8,199,351,2,0,7.6,11.6,2020-07-15T19:15:00Z,82,1,0,0,0,0,45,0,159463,1,2,20.0,2,-1694,1713,3407,54,False,0,Liverpool,Arsenal,4,4,2,4.21875,0,3.2,-1,0,0.0,0.2,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,1,0
0,0,32,0,2.8,199,364,2,1,8.1,40.0,2020-07-22T19:15:00Z,65,6,0,0,0,0,46,0,159056,3,5,38.0,7,-779,1622,2401,54,True,0,Liverpool,Chelsea,5,4,2,7.0,0,7.6,2,1,0.0,0.0,1.4,0.0,68.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1,0
