assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,0.0,523,6,0,0,0.0,0.0,2019-08-10T16:30:00Z,0,2,0,0,0,0,1,0,30815,1,3,0.0,0,0,0,0,75,True,0,Spurs,Aston Villa,4,2,2,7.0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0
0,0,3,0,0.3,523,16,0,0,0.0,0.0,2019-08-17T16:30:00Z,5,11,0,0,0,0,2,0,34541,2,2,0.0,1,-6157,3713,9870,75,False,0,Spurs,Man City,3,4,2,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0
0,0,4,0,23.6,523,28,0,0,2.7,2.4,2019-08-25T15:30:00Z,28,13,0,0,0,0,3,0,29202,1,0,1.0,1,-7140,1318,8458,75,True,0,Spurs,Newcastle,4,2,2,7.958333333333332,0,0.0,-1,1,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,2,0,0.5,523,31,0,0,0.7,6.4,2019-09-01T15:30:00Z,11,1,0,0,0,0,4,0,26004,2,2,0.0,1,-4940,1011,5951,74,False,0,Spurs,Arsenal,3,4,2,6.0,0,2.7,0,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1,0
0,0,0,0,0.0,523,48,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,7,0,0,0,0,5,0,21038,0,4,0.0,0,-5851,536,6387,74,True,0,Spurs,Crystal Palace,4,3,2,5.0,0,0.7,4,1,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,0
0,0,0,0,0.0,523,56,0,0,0.0,0.0,2019-09-21T11:30:00Z,0,9,0,0,0,0,6,0,18064,1,2,0.0,0,-3164,42,3206,73,False,0,Spurs,Leicester,3,3,2,6.895833333333332,0,0.0,-1,0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,0,0,0.0,523,69,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,16,0,0,0,0,7,0,16500,1,2,0.0,0,-1630,38,1668,73,True,0,Spurs,Southampton,4,3,2,7.104166666666668,0,0.0,1,1,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0
0,0,0,0,0.0,523,72,0,0,0.0,0.0,2019-10-05T11:30:00Z,0,4,0,0,0,0,8,0,15867,0,3,0.0,0,-686,38,724,73,False,0,Spurs,Brighton,3,2,2,6.895833333333332,0,0.0,-3,0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,0,0,0.0,523,89,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,18,0,0,0,0,9,0,15483,1,1,0.0,0,-413,57,470,73,True,0,Spurs,Watford,4,2,2,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
0,0,3,0,0.0,523,94,0,0,0.3,0.6,2019-10-27T16:30:00Z,2,10,0,0,0,0,10,0,15523,1,2,2.0,1,-48,93,141,73,False,0,Spurs,Liverpool,3,5,2,8.104166666666666,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
