assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,3,0,0.0,539,69,0,0,0.0,0.0,2018-09-29T11:30:00Z,1,14,0,0,0,0,7,0,0,1,3,0.0,1,0,0,0,45,True,0,West Ham,Man Utd,3,4,2,7.0,0,0.0,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,539,71,0,0,0.0,0.0,2018-10-05T19:00:00Z,0,3,0,0,0,0,8,0,89,0,1,0.0,0,66,94,28,45,False,0,West Ham,Brighton,3,2,2,6.3125,0,0.0,-1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,4,0,3.8,539,89,1,0,2.4,10.4,2018-10-20T14:00:00Z,50,17,0,0,0,0,9,0,111,1,0,10.0,1,9,47,38,45,True,0,West Ham,Spurs,3,4,2,5.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0
0,0,5,1,3.6,539,95,0,0,1.0,3.4,2018-10-27T16:30:00Z,74,11,0,0,0,0,10,0,457,1,1,3.0,3,321,352,31,45,False,0,West Ham,Leicester,3,3,2,7.104166666666668,0,2.4,0,0,0.0,0.0,0.3333333333333333,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1,0,23,0,59.2,539,109,2,0,12.4,34.6,2018-11-03T15:00:00Z,85,4,0,0,0,0,11,0,1647,2,4,30.0,5,1127,1245,118,45,True,0,West Ham,Burnley,3,2,2,5.9375,0,1.0,2,1,0.0,0.25,0.25,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,9,0,12.9,539,115,1,0,2.0,6.8,2018-11-10T15:00:00Z,45,10,0,0,0,0,12,0,19775,1,1,0.0,1,17516,18143,627,45,False,0,West Ham,Huddersfield,3,2,2,7.0,0,12.4,0,0,0.2,0.2,0.6,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,-1,0,2.8,539,129,3,0,0.5,2.6,2018-11-24T15:00:00Z,54,13,0,0,0,0,13,0,18548,4,0,0.0,1,-684,1899,2583,45,True,0,West Ham,Man City,3,4,2,5.0,0,2.0,-4,1,0.2,0.2,0.8,0.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,539,139,0,0,0.0,0.0,2018-12-01T15:00:00Z,0,15,0,0,0,0,14,0,18707,3,0,0.0,0,10,1233,1223,45,False,0,West Ham,Newcastle,3,3,2,7.0,0,0.5,3,0,0.2,0.2,1.4,0.0,61.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,4,0,24.9,539,147,1,0,8.4,14.6,2018-12-04T19:45:00Z,14,5,0,0,0,0,15,0,15665,1,3,44.0,1,-2941,318,3259,45,True,0,West Ham,Cardiff,3,2,2,3.1979166666666665,0,0.0,2,1,0.2,0.2,1.2,0.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,5,0,0.3,539,160,1,0,3.8,5.0,2018-12-08T15:00:00Z,15,7,0,0,0,0,16,0,13846,2,3,33.0,1,-1825,229,2054,45,True,0,West Ham,Crystal Palace,3,2,2,3.8020833333333335,0,8.4,1,1,0.2,0.0,1.4,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,6,0,10.2,539,163,0,0,1.4,4.2,2018-12-15T17:30:00Z,5,9,0,0,0,0,17,0,11525,2,0,0.0,1,-2415,116,2531,45,False,0,West Ham,Fulham,3,2,2,7.104166666666668,0,3.8,2,0,0.0,0.0,1.2,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,2,0,15.4,539,179,1,0,2.5,6.0,2018-12-22T15:00:00Z,15,18,0,0,0,0,18,0,9422,2,0,4.0,1,-2123,54,2177,45,True,0,West Ham,Watford,3,3,2,6.895833333333332,0,1.4,-2,1,0.0,0.0,1.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,0,0,4.7,539,188,1,0,2.3,6.4,2018-12-27T19:45:00Z,54,16,0,0,0,0,19,0,8118,2,1,12.0,1,-1324,80,1404,45,False,0,West Ham,Southampton,3,2,2,5.197916666666667,0,2.5,1,0,0.0,0.0,0.6,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,3,0,15.5,539,192,0,0,2.7,7.8,2018-12-30T14:15:00Z,45,4,0,0,0,0,20,0,7083,0,2,4.0,1,-1035,109,1144,45,False,0,West Ham,Burnley,3,3,2,2.770833333333333,0,2.3,-2,0,0.0,0.0,0.8,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,0,0,0.0,539,209,0,0,0.0,0.0,2019-01-02T19:45:00Z,0,3,0,0,0,0,21,0,6382,2,2,0.0,0,-741,105,846,45,True,0,West Ham,Brighton,3,2,2,7.229166666666668,0,2.7,0,1,0.0,0.0,0.6,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,539,220,0,0,0.0,0.0,2019-01-12T12:30:00Z,0,1,0,0,0,0,22,0,5372,0,1,0.0,0,-1025,78,1103,45,True,0,West Ham,Arsenal,3,4,2,9.697916666666666,0,0.0,1,1,0.0,0.0,0.4,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
