assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,5,0,24.3,372,7,1,0,5.7,6.6,2018-08-11T11:30:00Z,90,15,0,0,0,0,1,0,1430959,2,1,26.0,1,0,0,0,125,False,1,Spurs,Newcastle,4,3,3,7.0,0,5.7,1,0,0.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0
0,1,24,0,31.0,372,19,1,1,12.7,40.0,2018-08-18T14:00:00Z,88,9,0,0,0,0,2,0,1568866,1,3,56.0,7,-30221,47942,78163,125,True,0,Spurs,Fulham,4,2,3,7.104166666666668,0,5.7,2,1,0.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0
1,2,35,1,13.7,372,26,0,1,9.0,48.6,2018-08-27T19:00:00Z,88,14,0,0,0,0,3,0,1469034,3,0,28.0,10,-144813,59230,204043,125,False,1,Spurs,Man Utd,4,4,3,9.208333333333334,1,12.7,3,0,0.0,0.0,1.0,0.5,89.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1,0,0
0,0,1,0,2.6,372,39,2,0,3.2,0.0,2018-09-02T15:00:00Z,90,18,0,0,0,0,4,0,1569681,1,2,30.0,2,47135,95841,48706,125,False,0,Spurs,Watford,4,3,3,4.833333333333333,2,9.0,-1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,88.66666666666669,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,1,0,0
0,0,2,0,1.3,372,48,2,0,5.0,0.2,2018-09-15T11:30:00Z,90,12,0,0,0,0,5,0,1500027,2,1,48.0,2,-85075,41068,126143,125,True,0,Spurs,Liverpool,4,4,3,5.0,0,3.2,-1,1,0.25,0.25,1.0,0.5,89.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,1,0,0
0,3,35,0,37.8,372,52,1,1,17.2,54.2,2018-09-22T16:30:00Z,90,3,0,0,0,0,6,0,1407972,2,1,80.0,9,-106057,36232,142289,124,False,0,Spurs,Brighton,4,2,3,7.208333333333332,0,5.0,1,0,0.2,0.2,1.2,0.4,89.2,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1,0,0
0,3,59,1,12.2,372,66,0,2,15.7,84.2,2018-09-29T14:00:00Z,90,10,0,0,0,0,7,0,1482350,2,0,61.0,13,47893,86719,38826,124,False,0,Spurs,Huddersfield,4,2,3,6.895833333333332,3,17.2,2,0,0.2,0.2,1.2,0.6,89.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,5,1,16.9,372,79,0,0,10.5,14.6,2018-10-06T14:00:00Z,90,5,0,0,0,0,8,0,1888132,0,1,73.0,1,373120,380715,7595,125,True,1,Spurs,Cardiff,4,2,3,7.0,3,15.7,1,1,0.2,0.4,1.0,0.8,89.6,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,3,1,13.8,372,89,0,0,4.8,4.4,2018-10-20T14:00:00Z,85,19,0,0,0,0,9,0,1702564,1,0,30.0,2,-157160,38240,195400,125,False,0,Spurs,West Ham,4,3,3,5.0,0,10.5,1,0,0.0,0.4,1.0,0.6,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,-4,0,3.4,372,99,1,0,0.8,2.0,2018-10-29T20:00:00Z,90,13,0,0,0,0,10,0,1447624,1,0,3.0,2,-252111,6977,259088,124,True,0,Spurs,Man City,4,4,3,9.25,0,4.8,-1,1,0.0,0.6,0.6,0.6,89.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,1,30,0,1.8,372,110,2,1,17.6,60.2,2018-11-03T19:45:00Z,90,20,0,0,0,0,11,0,1401313,3,2,114.0,7,-65677,27900,93577,124,False,0,Spurs,Wolves,4,3,3,3.9895833333333335,0,0.8,1,0,0.0,0.6,0.4,0.6,89.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
1,0,7,1,7.0,372,114,0,0,4.2,4.4,2018-11-10T17:30:00Z,90,7,0,0,0,0,12,0,1360259,1,0,31.0,5,-44844,17191,62035,124,False,0,Spurs,Crystal Palace,4,2,3,6.90625,1,17.6,1,0,0.0,0.6,0.6,0.6,89.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,30,0,12.2,372,127,1,1,10.2,42.6,2018-11-24T17:30:00Z,90,6,0,0,0,0,13,0,1291886,1,3,47.0,6,-69669,13027,82696,123,True,0,Spurs,Chelsea,4,4,3,5.0,0,4.2,2,1,0.2,0.6,0.6,0.2,89.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0,0
0,0,25,0,0.4,372,131,4,1,6.0,32.6,2018-12-02T14:05:00Z,90,1,0,0,0,0,14,0,1308614,2,4,27.0,6,8801,31909,23108,123,False,0,Spurs,Arsenal,4,4,3,7.8576388888888875,0,10.2,-2,0,0.2,0.4,0.8,0.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
1,3,40,0,19.8,372,150,1,1,14.9,57.0,2018-12-05T20:00:00Z,90,16,0,0,0,0,15,0,1616861,1,3,72.0,12,290072,304796,14724,124,True,0,Spurs,Southampton,4,2,3,3.2465277777777777,0,6.0,2,1,0.2,0.2,1.6,0.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,5,0,0.7,372,157,0,0,0.8,3.2,2018-12-08T19:45:00Z,16,11,0,0,0,0,16,0,1784937,2,0,4.0,1,159506,183434,23928,125,False,0,Spurs,Leicester,4,3,3,2.989583333333333,3,14.9,2,0,0.4,0.2,1.6,0.8,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
1,0,16,1,15.6,372,168,0,0,7.6,24.0,2018-12-15T15:00:00Z,90,4,0,0,0,0,17,0,1867945,0,1,36.0,5,81473,109302,27829,126,True,0,Spurs,Burnley,4,2,3,6.802083333333332,0,0.8,1,1,0.4,0.2,1.2,0.6,75.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
1,2,55,0,6.8,372,175,2,2,13.0,58.8,2018-12-23T16:00:00Z,90,8,0,0,0,0,18,0,1766366,6,2,64.0,15,-91023,21272,112295,126,False,0,Spurs,Everton,4,3,3,8.041666666666666,0,7.6,4,0,0.4,0.2,1.2,0.6,75.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,37,1,37.4,372,189,0,1,11.5,47.6,2018-12-26T15:00:00Z,76,2,0,0,0,0,19,0,1849697,0,5,30.0,6,63512,86836,23324,125,True,0,Spurs,Bournemouth,4,2,3,2.958333333333333,2,13.0,5,1,0.6,0.2,1.4,0.8,75.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
