assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,323,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,17,0,0,0,0,1,0,11288,2,1,0.0,0,0,0,0,45,True,0,Newcastle,Spurs,3,4,2,7.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,-8,0,0.0,323,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,20,5,0,0,0,1,2,0,11116,0,0,0.0,-2,-1023,298,1321,45,False,0,Newcastle,Cardiff,2,2,2,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,323,27,0,0,0.0,0.0,2018-08-26T15:00:00Z,0,6,0,0,0,0,3,0,8517,2,1,0.0,0,-2683,232,2915,45,True,0,Newcastle,Chelsea,3,4,2,8.145833333333334,0,0.0,-1,1,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,1,0,0
0,0,0,0,0.0,323,38,0,0,0.0,0.0,2018-09-01T16:30:00Z,0,13,0,0,0,0,4,0,7529,1,2,0.0,0,-1156,140,1296,45,False,0,Newcastle,Man City,2,5,2,5.0625,0,0.0,-1,0,0.0,0.0,0.0,0.0,6.666666666666668,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.6666666666666666,1,0,0
0,0,15,0,2.1,323,46,2,0,2.2,19.4,2018-09-15T14:00:00Z,90,1,0,0,0,0,5,0,9068,2,1,0.0,2,650,1817,1167,44,True,0,Newcastle,Arsenal,3,4,2,5.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.75,1,0,0
0,0,0,0,0.0,323,55,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,7,0,0,0,0,6,0,9126,0,0,0.0,0,106,731,625,44,False,0,Newcastle,Crystal Palace,2,2,2,7.0,0,2.2,0,0,0.0,0.0,0.4,0.0,22.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.8,1,0,0
0,0,0,0,0.0,323,68,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,11,0,0,0,0,7,0,8937,2,0,0.0,0,-220,268,488,44,True,0,Newcastle,Leicester,3,3,2,7.0,0,0.0,-2,1,0.0,0.0,0.4,0.0,22.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.6,1,0,0
0,0,0,0,0.0,323,77,0,0,0.0,0.0,2018-10-06T16:30:00Z,0,14,0,0,0,0,8,0,8886,2,3,0.0,0,-125,232,357,44,False,0,Newcastle,Man Utd,2,4,2,7.104166666666668,0,0.0,-1,0,0.0,0.0,0.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,323,88,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,3,0,0,0,0,9,0,8743,1,0,0.0,0,-165,255,420,44,True,0,Newcastle,Brighton,3,2,2,5.0,0,0.0,-1,1,0.0,0.0,0.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,323,98,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,16,0,0,0,0,10,0,8533,0,0,0.0,0,-213,113,326,44,False,0,Newcastle,Southampton,2,2,2,7.0,0,0.0,0,0,0.0,0.0,0.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
