assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,2,0,0.0,451,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,6,16,0,0,0,0,1,0,25916,0,3,0.0,1,0,0,0,60,True,0,Burnley,Southampton,3,3,3,7.0,0,0.0,3,1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0
0,0,1,0,0.0,451,11,1,0,1.0,0.0,2019-08-17T11:30:00Z,29,1,0,0,0,0,2,0,23227,1,2,10.0,1,-5492,931,6423,59,False,0,Burnley,Arsenal,3,4,3,6.895833333333332,0,0.0,-1,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0
0,0,4,0,0.1,451,30,1,0,0.2,2.2,2019-08-25T15:30:00Z,12,20,0,0,0,0,3,0,19393,1,1,0.0,1,-4713,1097,5810,59,False,0,Burnley,Wolves,3,3,3,8.166666666666666,0,1.0,0,0,0.0,0.0,0.5,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,0,0,0.5,451,32,1,0,2.2,4.0,2019-08-31T16:30:00Z,17,10,0,0,0,0,4,0,17038,3,0,17.0,1,-3158,994,4152,58,True,0,Burnley,Liverpool,3,4,3,6.041666666666668,0,0.2,-3,1,0.0,0.0,0.6666666666666666,0.0,15.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,0
0,0,1,0,0.0,451,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,24,4,0,0,0,0,5,0,15906,1,1,0.0,1,-1729,820,2549,58,False,0,Burnley,Brighton,3,2,3,5.0,0,2.2,0,0,0.0,0.0,0.75,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1,0
0,0,2,0,0.8,451,52,0,0,0.2,1.0,2019-09-21T14:00:00Z,11,14,0,0,0,0,6,0,14988,0,2,0.0,1,-1129,443,1572,57,True,0,Burnley,Norwich,3,2,3,7.0,0,0.0,2,1,0.0,0.0,0.6,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,24,0,10.3,451,61,1,1,6.4,35.0,2019-09-28T14:00:00Z,45,2,0,0,0,0,7,0,14386,2,2,19.0,4,-891,476,1367,57,False,1,Burnley,Aston Villa,3,2,3,7.0,0,0.2,0,0,0.0,0.0,0.6,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,7,0,0.6,451,73,0,0,2.5,7.0,2019-10-05T14:00:00Z,17,8,0,0,0,0,8,0,15104,0,1,17.0,1,367,1073,706,57,True,0,Burnley,Everton,3,2,3,7.0,0,6.4,1,1,0.0,0.0,0.6,0.2,21.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0
0,0,3,0,1.8,451,86,2,0,0.7,0.2,2019-10-19T14:00:00Z,82,9,0,0,0,0,9,0,14740,1,2,5.0,2,-502,500,1002,57,False,0,Burnley,Leicester,3,3,3,5.0,0,2.5,-1,0,0.0,0.0,0.4,0.2,22.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0
0,0,26,0,5.3,451,93,4,1,8.7,39.4,2019-10-26T16:30:00Z,90,6,0,0,0,0,10,0,14946,4,2,42.0,6,73,588,515,57,True,0,Burnley,Chelsea,3,4,3,7.104166666666668,0,0.7,-2,1,0.0,0.0,0.6,0.2,35.8,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0
0,0,-1,0,1.6,451,108,3,0,0.7,0.0,2019-11-02T15:00:00Z,77,15,0,0,0,0,11,0,18713,0,3,10.0,2,3153,4012,859,57,False,0,Burnley,Sheffield Utd,3,3,3,5.9375,0,8.7,-3,0,0.0,0.0,1.4,0.4,49.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0
0,0,0,0,0.3,451,111,0,0,0.0,0.0,2019-11-09T15:00:00Z,9,19,0,0,0,0,12,0,18366,0,3,0.0,1,-323,1016,1339,57,True,0,Burnley,West Ham,3,2,3,7.0,0,0.7,3,1,0.0,0.0,2.0,0.4,62.2,0.0,0.0,0.0,0.0,0.0,0.2,-1.0,1,0
0,0,-2,0,0.3,451,129,0,0,0.1,0.0,2019-11-23T15:00:00Z,15,18,0,0,0,0,13,0,17696,3,0,1.0,1,-963,883,1846,57,False,0,Burnley,Watford,3,3,3,5.0,0,0.0,3,0,0.0,0.0,1.8,0.2,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,3,0,11.6,451,131,1,0,2.2,1.4,2019-11-30T15:00:00Z,28,7,0,0,0,0,14,0,17204,2,0,9.0,1,-617,636,1253,57,True,0,Burnley,Crystal Palace,3,3,3,7.0,0,0.1,-2,1,0.0,0.0,1.8,0.2,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,3,0,1.1,451,142,2,0,0.4,1.0,2019-12-03T20:15:00Z,31,11,0,0,0,0,15,0,16633,4,1,2.0,1,-645,223,868,57,True,0,Burnley,Man City,3,4,3,3.21875,0,2.2,-3,1,0.0,0.0,1.6,0.2,43.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,-4,0,1.2,451,158,5,0,3.4,3.0,2019-12-07T15:00:00Z,90,17,0,0,0,0,16,0,16049,0,5,30.0,2,-677,171,848,57,False,0,Burnley,Spurs,3,4,3,3.78125,0,0.4,-5,0,0.0,0.0,1.2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,3,0,1.5,451,162,0,0,0.4,2.0,2019-12-14T15:00:00Z,5,13,0,0,0,0,17,0,15412,0,1,0.0,1,-761,255,1016,57,True,0,Burnley,Newcastle,3,2,3,7.0,0,3.4,1,1,0.0,0.0,1.6,0.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,3,32,0,0.0,451,172,0,1,5.2,35.0,2019-12-21T15:00:00Z,15,3,0,0,0,0,18,0,15205,1,0,17.0,8,-331,183,514,57,False,0,Burnley,Bournemouth,3,2,3,7.0,0,0.4,1,0,0.0,0.0,1.6,0.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,6,0,1.4,451,185,1,0,0.8,3.0,2019-12-26T15:00:00Z,90,8,0,0,0,0,19,0,15688,0,1,4.0,2,272,586,314,57,False,0,Burnley,Everton,3,4,3,5.0,3,5.2,-1,0,0.0,0.0,1.6,0.2,33.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,0,7,0,0.3,451,193,1,0,3.3,14.4,2019-12-28T19:45:00Z,31,12,0,0,0,0,20,0,15532,2,0,18.0,1,-189,180,369,57,True,0,Burnley,Man Utd,3,4,3,2.1979166666666665,0,0.8,-2,1,0.0,0.0,1.6,0.2,46.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,-3,0,0.9,451,203,0,0,2.1,0.0,2020-01-01T12:30:00Z,45,2,0,0,0,0,21,0,15522,2,1,26.0,1,-127,427,554,57,True,0,Burnley,Aston Villa,3,2,3,7.697916666666668,0,3.3,-1,1,0.0,0.0,1.4,0.2,46.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,0,0,0.0,451,213,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,6,0,0,0,0,22,0,15274,0,3,0.0,0,-384,489,873,57,False,0,Burnley,Chelsea,3,4,3,5.0,0,2.1,-3,0,0.0,0.0,0.4,0.2,37.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,3,0,5.3,451,223,1,0,3.1,12.8,2020-01-19T14:00:00Z,90,9,0,0,0,0,23,0,14625,1,2,13.0,2,-711,129,840,57,True,0,Burnley,Leicester,3,3,3,7.958333333333332,0,0.0,1,1,0.0,0.0,0.4,0.2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,24,1,3.3,451,235,0,1,5.9,38.6,2020-01-22T20:15:00Z,90,12,0,0,0,0,24,0,14874,2,0,17.0,6,142,378,236,57,False,0,Burnley,Man Utd,3,4,3,3.2604166666666665,0,3.1,2,0,0.0,0.0,0.6,0.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,0,1,3.6,451,242,0,0,5.1,9.2,2020-02-02T14:00:00Z,90,1,0,0,0,0,25,0,16749,0,0,38.0,2,1552,2076,524,57,True,0,Burnley,Arsenal,3,3,3,9.739583333333334,0,5.9,0,1,0.0,0.2,0.4,0.2,51.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,1,0,1.8,451,259,1,0,4.6,5.8,2020-02-15T12:30:00Z,90,16,0,0,0,0,26,0,18609,2,1,38.0,2,1694,2399,705,57,False,0,Burnley,Southampton,3,2,3,5.0,0,5.1,1,0,0.0,0.4,0.2,0.2,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,28,1,18.0,451,262,0,1,12.1,42.2,2020-02-22T15:00:00Z,90,3,0,0,0,0,27,0,25297,0,3,61.0,6,6362,7848,1486,57,True,0,Burnley,Bournemouth,3,2,3,7.104166666666668,0,4.6,3,1,0.0,0.4,0.4,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
0,0,0,1,2.0,451,276,0,0,6.1,12.8,2020-02-29T15:00:00Z,90,13,0,0,0,0,28,0,29705,0,0,46.0,2,3353,5392,2039,57,False,0,Burnley,Newcastle,3,2,3,7.0,0,12.1,0,0,0.0,0.6,0.4,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0
1,0,9,0,6.1,451,282,1,0,9.9,7.8,2020-03-07T17:30:00Z,67,17,0,0,0,0,29,0,25935,1,1,85.0,5,-2492,1628,4120,57,True,0,Burnley,Spurs,3,3,3,8.104166666666666,0,6.1,0,1,0.0,0.8,0.2,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0
0,0,2,0,1.6,451,295,4,0,0.1,0.0,2020-06-22T19:00:00Z,59,11,0,0,0,0,39,0,23526,0,5,0.0,1,-2203,4001,6204,57,False,0,Burnley,Man City,3,4,3,7.0,0,9.9,-5,0,0.2,0.6,0.4,0.2,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0
0,0,23,1,5.6,451,301,0,1,11.7,40.4,2020-06-25T17:00:00Z,80,18,0,0,0,0,40,0,24335,0,1,71.0,6,579,1836,1257,57,True,0,Burnley,Watford,3,2,3,2.9166666666666665,0,0.1,1,1,0.2,0.4,1.2,0.2,79.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,0,0,0.0,451,315,0,0,0.0,0.0,2020-06-29T19:00:00Z,0,7,0,0,0,0,41,0,24295,1,0,0.0,0,27,1531,1504,57,False,0,Burnley,Crystal Palace,3,3,3,4.083333333333333,0,11.7,1,0,0.2,0.6,1.0,0.4,77.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
1,0,15,0,13.0,451,321,1,0,4.6,21.0,2020-07-05T11:00:00Z,90,15,0,0,0,0,42,0,22355,1,1,12.0,5,-1943,336,2279,57,True,0,Burnley,Sheffield Utd,3,3,3,5.666666666666668,0,0.0,0,1,0.2,0.4,1.0,0.2,59.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,3,37,1,14.3,451,340,0,1,8.3,47.4,2020-07-08T17:00:00Z,90,19,0,0,0,0,43,0,23946,1,0,21.0,9,1088,2187,1099,57,False,0,Burnley,West Ham,3,2,3,3.25,0,4.6,1,0,0.4,0.2,1.2,0.2,59.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,3,26,0,3.6,451,344,1,1,6.7,35.0,2020-07-11T14:00:00Z,90,10,0,0,0,0,44,0,29705,1,1,28.0,9,5522,7172,1650,57,False,0,Burnley,Liverpool,3,5,3,2.875,3,8.3,0,0,0.2,0.4,1.0,0.4,63.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,0,0,11.3,451,352,0,0,3.8,0.4,2020-07-15T17:00:00Z,50,20,0,0,0,0,45,0,56608,1,1,26.0,1,23730,25786,2056,57,True,0,Burnley,Wolves,3,4,3,4.125,3,6.7,0,1,0.2,0.4,0.4,0.6,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,4,1,5.3,451,366,0,0,10.5,9.4,2020-07-18T16:30:00Z,90,14,0,0,0,0,46,0,74923,2,0,90.0,2,19326,27383,8057,57,False,0,Burnley,Norwich,3,2,3,2.9791666666666665,0,3.8,2,0,0.2,0.2,0.4,0.4,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0
0,0,-4,0,0.6,451,372,2,0,4.8,0.0,2020-07-26T15:00:00Z,77,4,0,0,0,0,47,0,74741,2,1,54.0,2,3342,14075,10733,57,True,0,Burnley,Brighton,3,2,3,7.9375,0,10.5,-1,1,0.2,0.4,0.4,0.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,2,0,11.2,86,14,3,0,2.8,3.6,2020-09-20T18:00:00Z,69,9,0,0,0,0,2,0,51558,2,4,13.0,1,-3221,4724,7945,60,False,1,Burnley,Leicester,2,4,3,7.0,0,4.8,-2,0,0.0,0.4,0.6,0.4,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,1
