assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,1,1,6.5,78,8,0,0,4.5,5.4,2018-08-12T12:30:00Z,75,16,0,0,0,0,1,0,9008,0,0,33.0,3,0,0,0,55,False,0,Burnley,Southampton,2,2,2,7.0,0,4.5,0,0,0.0,1.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,5,0,3.0,78,12,3,0,3.2,5.6,2018-08-19T12:30:00Z,69,18,0,0,0,0,2,0,10653,3,1,23.0,2,-157,800,957,55,True,0,Burnley,Watford,3,3,2,7.0,0,4.5,-2,1,0.0,1.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,29,0,16.1,78,23,4,1,11.8,38.6,2018-08-26T15:00:00Z,90,9,0,0,0,0,3,0,10150,2,4,63.0,7,-917,440,1357,55,False,0,Burnley,Fulham,2,2,2,7.104166666666668,0,3.2,-2,0,0.0,0.5,1.5,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,3,0,6.0,78,32,2,0,0.6,0.4,2018-09-02T15:00:00Z,57,14,0,0,0,0,4,0,12242,2,0,0.0,1,1210,2440,1230,55,True,0,Burnley,Man Utd,3,4,2,6.0,0,11.8,-2,1,0.0,0.3333333333333333,2.333333333333333,0.3333333333333333,78.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,1,0,0
0,0,14,0,13.2,78,50,1,0,2.2,9.2,2018-09-16T12:30:00Z,78,20,0,0,0,0,5,0,12998,0,1,0.0,2,267,1736,1469,55,False,0,Burnley,Wolves,2,3,2,5.0,0,0.6,-1,0,0.0,0.25,2.25,0.25,72.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0
0,0,0,0,0.0,78,53,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,2,0,0,0,0,6,0,12607,0,4,0.0,0,-586,659,1245,55,True,0,Burnley,Bournemouth,3,2,2,6.0625,0,2.2,4,1,0.0,0.2,2.0,0.2,73.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0,0
0,0,0,0,0.0,78,63,0,0,0.0,0.0,2018-09-30T15:00:00Z,0,5,0,0,0,0,7,0,11518,2,1,0.0,0,-1122,193,1315,55,False,0,Burnley,Cardiff,2,2,2,8.041666666666666,0,0.0,1,0,0.0,0.0,2.0,0.2,58.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,4,0,0.4,78,72,0,0,0.2,1.6,2018-10-06T14:00:00Z,17,10,0,0,0,0,8,0,10831,1,1,0.0,1,-758,162,920,55,True,0,Burnley,Huddersfield,3,2,2,5.958333333333332,0,0.0,0,1,0.0,0.0,1.4,0.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,5,0,5.2,78,87,5,0,3.0,4.4,2018-10-20T14:00:00Z,90,13,0,0,0,0,9,0,10093,0,5,20.0,1,-783,100,883,54,False,1,Burnley,Man City,2,5,2,5.0,0,0.2,-5,0,0.0,0.0,0.6,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,0.6,78,92,3,0,0.0,0.0,2018-10-28T13:30:00Z,64,6,0,0,0,0,10,0,9685,4,0,0.0,1,-441,56,497,54,True,1,Burnley,Chelsea,3,4,2,7.979166666666668,0,3.0,-4,1,0.0,0.0,1.2,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
0,0,0,0,0.0,78,109,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,19,0,0,0,0,11,0,9301,2,4,0.0,0,-405,66,471,54,False,0,Burnley,West Ham,2,3,2,5.0625,0,0.0,-2,0,0.0,0.0,1.6,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1,0,0
0,0,6,0,0.5,78,116,0,0,0.7,6.8,2018-11-10T15:00:00Z,35,11,0,0,0,0,12,0,8945,0,0,0.0,1,-378,42,420,53,False,0,Burnley,Leicester,2,3,2,7.0,0,0.0,0,0,0.0,0.0,1.6,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.4,-2.0,1,0,0
0,0,3,0,0.4,78,123,0,0,0.2,1.2,2018-11-26T20:30:00Z,8,15,0,0,0,0,13,0,8761,2,1,0.0,1,-210,80,290,53,True,0,Burnley,Newcastle,3,2,2,5.0,0,0.7,-1,1,0.0,0.0,1.6,0.0,41.2,0.0,0.0,0.0,0.0,0.0,0.4,-2.2,1,0,0
0,0,13,0,16.7,78,134,2,0,2.9,8.4,2018-12-01T15:00:00Z,90,7,0,0,0,0,14,0,8643,0,2,4.0,2,-125,36,161,53,False,0,Burnley,Crystal Palace,2,2,2,4.770833333333333,0,0.2,-2,0,0.0,0.0,1.6,0.0,39.4,0.0,0.0,0.0,0.0,0.0,0.4,-2.4,1,0,0
