assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,6,1,31.1,76,8,0,0,7.9,7.0,2018-08-12T12:30:00Z,86,16,0,0,0,0,1,0,98144,0,0,41.0,3,0,0,0,60,False,0,Burnley,Southampton,2,2,2,7.0,0,7.9,0,0,0.0,1.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1,0,21,0,40.6,76,12,3,0,7.6,24.0,2018-08-19T12:30:00Z,90,18,0,0,0,0,2,0,96285,3,1,11.0,5,-5817,3643,9460,60,True,0,Burnley,Watford,3,3,2,7.0,0,7.9,-2,1,0.0,1.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,3,0,0.0,76,23,1,0,0.3,1.2,2018-08-26T15:00:00Z,18,9,0,0,0,0,3,0,90890,2,4,2.0,1,-6941,4464,11405,60,False,0,Burnley,Fulham,2,2,2,7.104166666666668,0,7.6,-2,0,0.5,0.5,1.5,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,0,0,0.0,76,32,0,0,0.0,0.0,2018-09-02T15:00:00Z,0,14,0,0,0,0,4,0,59698,2,0,0.0,0,-30875,506,31381,60,True,0,Burnley,Man Utd,3,4,2,6.0,0,0.3,-2,1,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,64.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,1,0,0
0,0,3,0,5.9,76,50,1,0,2.3,8.0,2018-09-16T12:30:00Z,90,20,0,0,0,0,5,0,46723,0,1,9.0,1,-13675,394,14069,59,False,1,Burnley,Wolves,2,3,2,5.0,0,0.0,-1,0,0.25,0.25,1.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0
2,0,31,1,35.2,76,53,0,0,10.1,38.4,2018-09-22T14:00:00Z,90,2,0,0,0,0,6,0,44678,0,4,27.0,9,-2716,1481,4197,59,True,0,Burnley,Bournemouth,3,2,2,6.0625,0,2.3,4,1,0.2,0.2,1.0,0.0,56.8,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,1,0,0
1,3,38,0,11.3,76,63,1,1,10.5,56.6,2018-09-30T15:00:00Z,90,5,0,0,0,0,7,0,56233,2,1,37.0,13,10217,12567,2350,59,False,0,Burnley,Cardiff,2,2,2,8.041666666666666,0,10.1,1,0,0.6,0.2,1.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
1,2,25,0,30.2,76,72,1,0,9.5,46.8,2018-10-06T14:00:00Z,90,10,0,0,0,0,8,0,160446,1,1,18.0,7,89390,94471,5081,59,True,0,Burnley,Huddersfield,3,2,2,5.958333333333332,3,10.5,0,1,0.6,0.2,0.6,0.2,57.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0,0
0,0,12,0,28.8,76,87,5,0,4.5,14.8,2018-10-20T14:00:00Z,90,13,0,0,0,0,9,0,203996,0,5,1.0,2,47004,77646,30642,60,False,0,Burnley,Man City,2,5,2,5.0,2,9.5,-5,0,0.8,0.2,0.6,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,0,0,2.6,76,92,4,0,0.4,0.0,2018-10-28T13:30:00Z,90,6,0,0,0,0,10,0,199751,4,0,3.0,1,-3404,22196,25600,60,True,1,Burnley,Chelsea,3,4,2,7.979166666666668,0,4.5,-4,1,0.8,0.2,1.6,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
