assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,9,0,28.5,301,2,1,0,3.7,8.2,2019-08-10T14:00:00Z,90,3,0,0,0,0,1,0,9891,1,1,0.0,1,0,0,0,50,False,1,Sheffield Utd,Bournemouth,3,2,2,7.0,0,3.7,0,0,0.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
0,0,3,0,15.5,301,18,0,0,1.8,1.8,2019-08-18T13:00:00Z,28,7,0,0,0,0,2,0,9918,0,1,1.0,1,-759,305,1064,50,True,0,Sheffield Utd,Crystal Palace,3,3,2,7.958333333333332,0,3.7,1,1,0.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
0,0,0,0,0.0,301,27,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,9,0,0,0,0,3,0,7726,2,1,0.0,0,-2230,81,2311,50,True,0,Sheffield Utd,Leicester,3,3,2,6.041666666666668,0,1.8,-1,1,0.0,0.0,0.5,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1,0
0,0,0,0,0.0,301,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,6,0,0,0,0,4,0,6067,2,2,0.0,0,-1705,31,1736,49,False,0,Sheffield Utd,Chelsea,3,4,2,7.0,0,0.0,0,0,0.0,0.0,0.3333333333333333,0.0,39.333333333333336,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,0
0,0,13,0,39.2,301,47,1,0,11.6,14.2,2019-09-14T14:00:00Z,90,16,0,0,0,0,5,0,5094,1,0,63.0,1,-1013,20,1033,49,True,1,Sheffield Utd,Southampton,3,3,2,5.0,0,0.0,-1,1,0.0,0.0,0.25,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1,0
0,0,15,1,16.6,301,55,0,0,4.7,28.0,2019-09-21T14:00:00Z,90,8,0,0,0,0,6,0,4946,2,0,2.0,3,-257,113,370,48,False,0,Sheffield Utd,Everton,3,4,2,7.0,0,11.6,2,0,0.0,0.0,0.4,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,1,0
0,0,18,0,33.0,301,68,1,0,7.2,14.8,2019-09-28T11:30:00Z,90,10,0,0,0,0,7,0,4936,1,0,24.0,2,-109,215,324,48,True,0,Sheffield Utd,Liverpool,3,4,2,6.895833333333332,0,4.7,-1,1,0.0,0.2,0.2,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0
0,0,16,1,11.2,301,79,0,0,4.2,14.0,2019-10-05T14:00:00Z,90,18,0,0,0,0,8,0,5924,0,0,17.0,3,807,1123,316,48,False,0,Sheffield Utd,Watford,3,3,2,7.104166666666668,0,7.2,0,0,0.0,0.2,0.4,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0
0,0,9,1,46.8,301,88,0,0,7.2,15.0,2019-10-21T19:00:00Z,90,1,0,0,0,0,9,0,5665,0,1,10.0,2,-259,327,586,48,True,1,Sheffield Utd,Arsenal,3,3,2,5.0,0,4.2,1,1,0.0,0.4,0.4,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0
0,0,17,0,43.3,301,100,1,0,5.7,12.0,2019-10-26T14:00:00Z,90,19,0,0,0,0,10,0,6158,1,1,2.0,2,414,725,311,48,False,0,Sheffield Utd,West Ham,3,2,2,4.791666666666667,0,7.2,0,0,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1,0
0,1,32,1,16.8,301,108,0,1,8.0,44.4,2019-11-02T15:00:00Z,90,5,0,0,0,0,11,0,6727,0,3,19.0,9,468,902,434,48,True,0,Sheffield Utd,Burnley,3,3,2,6.041666666666668,0,5.7,3,1,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0
0,0,15,0,25.7,301,119,1,0,4.6,13.2,2019-11-09T15:00:00Z,90,17,0,0,0,0,12,0,17377,1,1,7.0,2,9585,10533,948,48,False,0,Sheffield Utd,Spurs,3,4,2,7.0,1,8.0,0,0,0.0,0.6,0.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0
1,3,43,0,33.5,301,128,3,1,13.1,60.4,2019-11-24T16:30:00Z,90,12,0,0,0,0,13,0,26796,3,3,37.0,13,8936,11506,2570,48,True,0,Sheffield Utd,Man Utd,3,4,2,5.0,0,4.6,0,1,0.0,0.6,0.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0
0,0,14,0,35.0,301,140,1,0,7.0,18.0,2019-12-01T14:00:00Z,90,20,0,0,0,0,14,0,88954,1,1,17.0,1,57001,61414,4413,48,False,1,Sheffield Utd,Wolves,3,3,2,6.895833333333332,3,13.1,0,0,0.2,0.4,1.0,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0
0,0,12,0,19.1,301,145,2,0,5.0,10.6,2019-12-05T19:30:00Z,90,13,0,0,0,0,15,0,107071,2,0,20.0,2,19622,27135,7513,48,True,0,Sheffield Utd,Newcastle,3,2,2,4.229166666666667,0,7.0,-2,1,0.2,0.2,1.2,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0
0,0,20,0,18.9,301,157,1,0,3.5,16.0,2019-12-08T14:00:00Z,90,14,0,0,0,0,16,0,105752,2,1,0.0,2,-697,9308,10005,49,False,0,Sheffield Utd,Norwich,3,2,2,2.770833333333333,0,5.0,1,0,0.2,0.2,1.4,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0
0,3,45,1,8.5,301,168,0,2,11.7,72.6,2019-12-14T15:00:00Z,90,2,0,0,0,0,17,0,104927,0,2,36.0,15,-1518,9539,11057,49,True,1,Sheffield Utd,Aston Villa,3,2,2,6.041666666666668,0,3.5,2,1,0.2,0.0,1.6,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0
0,0,0,0,0.0,301,173,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,4,0,0,0,0,18,0,95397,1,0,0.0,0,-4017,15006,19023,49,False,0,Sheffield Utd,Brighton,3,2,2,7.0,3,11.7,1,0,0.2,0.2,1.4,0.6,90.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1,0
0,0,5,0,17.8,301,188,1,0,6.1,6.8,2019-12-26T15:00:00Z,90,18,0,0,0,0,19,0,159047,1,1,36.0,2,54042,59630,5588,49,True,0,Sheffield Utd,Watford,3,2,2,5.0,0,0.0,0,1,0.0,0.2,0.8,0.4,72.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1,0
0,0,18,0,2.8,301,195,2,0,1.1,7.8,2019-12-29T18:00:00Z,90,11,0,0,0,0,20,0,163040,0,2,0.0,2,5639,17961,12322,49,False,0,Sheffield Utd,Man City,3,4,2,3.125,0,6.1,-2,0,0.0,0.2,0.8,0.4,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0
0,0,3,0,8.2,301,204,2,0,1.6,5.8,2020-01-02T20:00:00Z,90,10,0,0,0,0,21,0,167215,0,2,2.0,2,3261,24417,21156,49,False,0,Sheffield Utd,Liverpool,3,5,2,8.083333333333334,0,1.1,-2,0,0.0,0.2,0.8,0.4,72.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0
1,3,33,1,40.4,301,218,0,0,8.8,28.6,2020-01-10T20:00:00Z,90,19,0,0,0,0,22,0,175674,0,1,19.0,9,7061,27425,20364,49,True,0,Sheffield Utd,West Ham,3,2,2,8.0,0,1.6,1,1,0.0,0.2,1.0,0.4,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0
0,3,33,0,22.3,301,221,1,1,10.9,49.8,2020-01-18T15:00:00Z,90,1,0,0,0,0,23,0,238388,1,1,37.0,10,59872,76884,17012,49,False,0,Sheffield Utd,Arsenal,3,4,2,7.791666666666668,3,8.8,0,0,0.2,0.2,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,3,0,6.0,301,236,1,0,1.3,6.6,2020-01-21T19:30:00Z,90,11,0,0,0,0,24,0,325105,1,0,0.0,1,85871,100362,14491,50,True,1,Sheffield Utd,Man City,3,4,2,3.1875,3,10.9,-1,1,0.2,0.2,1.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,10,1,27.6,301,243,0,0,4.8,12.2,2020-02-01T15:00:00Z,90,7,0,0,0,0,25,0,444584,1,0,8.0,2,116379,147623,31244,50,False,1,Sheffield Utd,Crystal Palace,3,3,2,9.8125,0,1.3,1,0,0.2,0.2,1.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
0,0,11,0,36.8,301,258,1,0,7.1,12.2,2020-02-09T14:00:00Z,90,3,0,0,0,0,26,0,525571,1,2,22.0,2,78648,103508,24860,51,True,0,Sheffield Utd,Bournemouth,3,2,2,7.958333333333332,0,4.8,1,1,0.2,0.4,0.8,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.2,1,0
0,0,14,0,19.5,301,268,1,0,5.8,8.2,2020-02-22T15:00:00Z,90,4,0,0,0,0,27,0,510904,1,1,30.0,2,-12885,35618,48503,51,True,0,Sheffield Utd,Brighton,3,2,2,5.0,0,7.1,0,1,0.2,0.4,0.6,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1,0
