assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,0.0,620,242,0,0,0.0,0.0,2020-02-02T14:00:00Z,0,1,0,0,0,0,25,0,195,0,0,0.0,0,187,200,13,50,True,0,Burnley,Arsenal,3,3,2,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0,0.0,620,259,0,0,0.0,0.0,2020-02-15T12:30:00Z,0,16,0,0,0,0,26,0,352,2,1,0.0,0,119,155,36,50,False,0,Burnley,Southampton,3,2,2,5.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,3,0,0.0,620,262,0,0,0.2,2.0,2020-02-22T15:00:00Z,1,3,0,0,0,0,27,0,351,0,3,0.0,1,-26,36,62,50,True,0,Burnley,Bournemouth,3,2,2,7.104166666666668,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0
0,0,0,0,0.0,620,276,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,13,0,0,0,0,28,0,356,0,0,0.0,0,-13,21,34,49,False,0,Burnley,Newcastle,3,2,2,7.0,0,0.2,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1,0
0,0,0,0,0.0,620,282,0,0,0.0,0.0,2020-03-07T17:30:00Z,0,17,0,0,0,0,29,0,336,1,1,0.0,0,-31,19,50,49,True,0,Burnley,Spurs,3,3,2,8.104166666666666,0,0.0,0,1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,4,0,1.3,620,295,5,0,0.4,0.8,2020-06-22T19:00:00Z,90,11,0,0,0,0,39,0,401,0,5,2.0,1,18,135,117,48,False,1,Burnley,Man City,3,4,2,7.0,0,0.0,-5,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0
0,0,5,1,4.3,620,301,0,0,1.8,5.6,2020-06-25T17:00:00Z,90,18,0,0,0,0,40,0,424,0,1,8.0,3,2,24,22,48,True,0,Burnley,Watford,3,2,2,2.9166666666666665,0,0.4,1,1,0.0,0.0,1.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0
0,0,13,1,14.3,620,315,0,0,3.4,15.6,2020-06-29T19:00:00Z,90,7,0,0,0,0,41,0,478,1,0,4.0,3,30,65,35,48,False,0,Burnley,Crystal Palace,3,3,2,4.083333333333333,0,1.8,1,0,0.0,0.2,1.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0
0,0,16,0,2.3,620,321,1,0,1.2,9.8,2020-07-05T11:00:00Z,90,15,0,0,0,0,42,0,634,1,1,0.0,2,134,184,50,48,True,0,Burnley,Sheffield Utd,3,3,2,5.666666666666668,0,3.4,0,1,0.0,0.4,1.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0
0,0,17,1,3.3,620,340,0,0,2.4,16.8,2020-07-08T17:00:00Z,90,19,0,0,0,0,43,0,688,1,0,4.0,3,59,101,42,48,False,0,Burnley,West Ham,3,2,2,3.25,0,1.2,1,0,0.0,0.4,1.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0
0,0,11,0,1.4,620,344,1,0,2.9,27.8,2020-07-11T14:00:00Z,90,10,0,0,0,0,44,0,743,1,1,0.0,2,43,101,58,48,False,0,Burnley,Liverpool,3,5,2,2.875,0,2.4,0,0,0.0,0.6,1.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0
0,0,17,0,0.7,620,352,1,0,2.9,10.0,2020-07-15T17:00:00Z,84,20,0,0,0,0,45,0,839,1,1,18.0,2,88,144,56,48,True,0,Burnley,Wolves,3,4,2,4.125,0,2.9,0,1,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,11,1,17.3,620,366,0,0,3.1,3.0,2020-07-18T16:30:00Z,90,14,0,0,0,0,46,0,1208,2,0,11.0,3,294,355,61,48,False,0,Burnley,Norwich,3,2,2,2.9791666666666665,0,2.9,2,0,0.0,0.4,0.6,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0
0,0,14,0,13.6,620,372,2,0,2.5,9.8,2020-07-26T15:00:00Z,90,4,0,0,0,0,47,0,1453,2,1,2.0,1,238,383,145,48,True,1,Burnley,Brighton,3,2,2,7.9375,0,3.1,-1,1,0.0,0.4,0.6,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,11,0,23.2,98,14,4,0,4.3,10.4,2020-09-20T18:00:00Z,90,9,0,0,0,0,2,0,2586,2,4,9.0,2,-224,131,355,50,False,0,Burnley,Leicester,2,4,2,7.0,0,2.5,-2,0,0.0,0.4,0.8,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0,1
0,0,8,0,10.0,98,20,1,0,5.4,8.2,2020-09-26T19:00:00Z,90,16,0,0,0,0,3,0,3197,1,0,36.0,2,254,735,481,50,True,0,Burnley,Southampton,2,2,2,6.041666666666668,0,4.3,-1,1,0.0,0.2,1.6,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0,1
0,0,10,0,15.8,98,36,3,0,3.1,9.6,2020-10-03T19:00:00Z,90,14,0,0,0,0,4,0,3499,1,3,6.0,2,108,524,416,50,False,0,Burnley,Newcastle,2,2,2,7.0,0,5.4,-2,0,0.0,0.2,1.6,0.0,88.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,0,1
0,0,11,1,1.8,98,48,0,0,1.0,8.2,2020-10-19T16:30:00Z,90,18,0,0,0,0,5,0,3375,0,0,0.0,3,-295,227,522,50,False,0,Burnley,West Brom,2,2,2,5.0,0,3.1,0,0,0.0,0.2,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,0,1
0,0,15,0,24.5,98,52,1,0,4.2,13.2,2020-10-26T20:00:00Z,90,17,0,0,0,0,6,0,3318,1,0,4.0,1,-158,178,336,50,True,1,Burnley,Spurs,2,3,2,7.145833333333332,0,1.0,-1,1,0.0,0.2,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,0,1
0,0,16,0,14.4,98,60,3,0,2.4,9.8,2020-10-31T15:00:00Z,90,5,0,0,0,0,7,0,3309,3,0,0.0,2,-108,164,272,50,True,0,Burnley,Chelsea,2,4,2,4.791666666666667,0,4.2,-3,1,0.0,0.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,0,1
0,0,18,1,2.1,98,70,0,0,1.0,7.6,2020-11-06T17:30:00Z,90,3,0,0,0,0,8,0,3386,0,0,0.0,3,-39,249,288,50,False,0,Burnley,Brighton,2,3,2,5.104166666666667,0,2.4,0,0,0.0,0.2,1.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,0,1
0,0,15,1,2.2,98,80,0,0,2.4,21.8,2020-11-23T17:30:00Z,90,6,0,0,0,0,9,0,3511,0,1,0.0,3,-20,283,303,50,True,0,Burnley,Crystal Palace,2,2,2,5.0,0,1.0,1,1,0.0,0.4,1.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,0,1
0,0,0,0,0.0,98,95,0,0,0.0,0.0,2020-11-28T15:00:00Z,0,12,0,0,0,0,10,0,3641,0,5,0.0,0,76,296,220,50,False,0,Burnley,Man City,2,5,2,4.895833333333333,0,2.4,-5,0,0.0,0.6,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,0,1
0,0,14,0,6.3,98,101,1,0,4.2,14.2,2020-12-05T12:30:00Z,90,7,0,0,0,0,11,0,3166,1,1,21.0,2,-475,60,535,50,True,0,Burnley,Everton,2,4,2,6.895833333333332,0,0.0,0,1,0.0,0.4,0.8,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,0,1
0,0,9,1,1.8,98,109,0,0,5.6,16.0,2020-12-13T19:15:00Z,90,1,0,0,0,0,12,0,3205,1,0,38.0,3,-50,111,161,49,False,0,Burnley,Arsenal,2,4,2,8.28125,0,4.2,1,0,0.0,0.4,0.8,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0,1
0,0,11,1,15.4,98,120,0,0,4.1,23.8,2020-12-17T18:00:00Z,90,2,0,0,0,0,13,0,3321,0,0,2.0,3,89,210,121,49,False,0,Burnley,Aston Villa,2,3,2,3.9479166666666665,0,5.6,0,0,0.0,0.6,0.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0,1
