assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,2,0,4.9,236,6,2,0,3.4,1.4,2018-08-10T19:00:00Z,90,14,0,0,0,0,1,0,47721,1,2,28.0,2,0,0,0,60,False,0,Leicester,Man Utd,3,4,3,7.0,0,3.4,-1,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,4,0,11.2,236,17,0,0,1.4,3.0,2018-08-18T14:00:00Z,8,20,0,0,0,0,2,0,66677,0,2,0.0,1,4656,12350,7694,60,True,0,Leicester,Wolves,3,3,3,7.791666666666668,0,3.4,2,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
1,0,15,0,3.5,236,28,1,0,1.1,1.6,2018-08-25T14:00:00Z,66,16,0,0,0,0,3,0,63685,2,1,6.0,5,-5439,8933,14372,60,False,0,Leicester,Southampton,3,2,3,7.0,0,1.4,1,0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0
0,0,3,0,10.8,236,37,0,0,2.0,3.2,2018-09-01T11:30:00Z,29,12,0,0,0,0,4,0,60845,2,1,6.0,1,-5147,4098,9245,60,True,0,Leicester,Liverpool,3,4,3,5.895833333333332,0,1.1,-1,1,0.3333333333333333,0.0,1.0,0.0,54.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,0,0
1,0,10,0,15.6,236,41,1,0,3.2,16.0,2018-09-15T14:00:00Z,29,2,0,0,0,0,5,0,55157,2,4,0.0,4,-7350,3542,10892,59,False,0,Leicester,Bournemouth,3,3,3,5.0,0,2.0,-2,0,0.25,0.0,0.75,0.0,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,0,0
1,3,48,0,49.7,236,57,1,1,12.6,55.2,2018-09-22T14:00:00Z,76,10,0,0,0,0,6,0,54526,1,3,21.0,12,-1949,3853,5802,59,True,0,Leicester,Huddersfield,3,2,3,7.0,0,3.2,2,1,0.4,0.0,0.8,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,9,1,9.2,236,68,0,0,2.6,8.2,2018-09-29T14:00:00Z,90,15,0,0,0,0,7,0,85599,2,0,9.0,2,26490,30904,4414,59,False,0,Leicester,Newcastle,3,3,3,7.0,3,12.6,2,0,0.6,0.0,0.6,0.2,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
1,0,16,0,26.6,236,75,1,0,4.8,19.6,2018-10-06T14:00:00Z,66,8,0,0,0,0,8,0,84970,2,1,2.0,5,-137,8400,8537,59,True,0,Leicester,Everton,3,2,3,7.0,0,2.6,-1,1,0.6,0.2,0.6,0.2,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,4,0,3.8,236,81,1,0,3.5,4.6,2018-10-22T19:00:00Z,60,1,0,0,0,0,9,0,86030,1,3,27.0,2,-461,10520,10981,59,False,0,Leicester,Arsenal,3,4,3,5.0,0,4.8,-2,0,0.6,0.2,0.6,0.2,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,2.8,236,95,1,0,2.5,0.0,2018-10-27T16:30:00Z,60,19,0,0,0,0,10,0,103366,1,1,25.0,2,15462,22818,7356,59,True,0,Leicester,West Ham,3,3,3,4.895833333333333,0,3.5,0,1,0.6,0.2,0.8,0.2,64.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
