assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,23,1,0.0,498,4,0,0,0.9,9.2,2018-08-11T14:00:00Z,90,10,0,0,0,0,1,1,120895,3,0,0.0,6,0,0,0,55,False,0,Chelsea,Huddersfield,4,2,0,7.0,0,0.9,3,0,0.0,1.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,17,0,0.0,498,14,2,0,2.8,28.2,2018-08-18T16:30:00Z,90,1,0,0,0,0,2,4,191526,2,3,0.0,2,15996,26682,10686,55,True,0,Chelsea,Arsenal,4,4,0,7.104166666666668,0,0.9,1,1,0.0,1.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,9,0,0.0,498,27,1,0,0.7,6.6,2018-08-26T15:00:00Z,90,15,0,0,0,0,3,1,208141,2,1,0.0,2,5352,28169,22817,55,False,0,Chelsea,Newcastle,4,3,0,7.9375,0,2.8,1,0,0.0,0.5,1.0,0.0,90.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,21,1,0.0,498,34,0,0,1.2,12.2,2018-09-01T14:00:00Z,90,2,0,0,0,0,4,1,223013,0,2,0.0,6,6909,25043,18134,55,True,0,Chelsea,Bournemouth,4,2,0,4.958333333333333,0,0.7,2,1,0.0,0.3333333333333333,1.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,0,0
0,0,10,0,0.1,498,42,1,0,1.3,12.4,2018-09-15T14:00:00Z,90,5,0,0,0,0,5,1,279787,1,4,0.0,2,41275,59090,17815,55,True,0,Chelsea,Cardiff,4,2,0,5.0,0,1.2,3,1,0.0,0.5,0.75,0.0,90.0,1.75,0.0,0.0,0.0,0.0,0.0,1.75,1,0,0
0,0,21,1,0.0,498,60,0,0,1.2,12.2,2018-09-23T12:30:00Z,90,19,0,0,0,0,6,1,271306,0,0,0.0,6,-7176,12220,19396,55,False,0,Chelsea,West Ham,4,3,0,7.9375,0,1.3,0,0,0.0,0.4,0.8,0.0,90.0,1.6,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,19,0,0.0,498,64,1,0,2.2,21.6,2018-09-29T16:30:00Z,90,12,0,0,0,0,7,3,263449,1,1,0.0,3,-9450,6292,15742,55,True,0,Chelsea,Liverpool,4,4,0,6.166666666666668,0,1.2,0,1,0.0,0.4,0.8,0.0,90.0,1.6,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
0,1,36,1,0.0,498,78,0,0,3.3,33.4,2018-10-07T13:15:00Z,90,16,0,0,0,0,8,6,291749,3,0,0.0,9,18848,26751,7903,55,False,0,Chelsea,Southampton,4,2,0,7.864583333333332,0,2.2,3,0,0.0,0.4,0.6,0.0,90.0,1.4,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,13,0,0.0,498,84,2,0,2.0,20.4,2018-10-20T11:30:00Z,90,14,0,0,0,0,9,2,297864,2,2,0.0,1,3947,19147,15200,55,True,0,Chelsea,Man Utd,4,4,0,5.0,1,3.3,0,1,0.0,0.6,0.4,0.0,90.0,2.4,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,25,1,0.0,498,92,0,0,1.4,13.8,2018-10-28T13:30:00Z,90,4,0,0,0,0,10,1,314839,4,0,0.0,6,10897,19770,8873,55,False,0,Chelsea,Burnley,4,3,0,8.083333333333334,0,2.0,4,0,0.0,0.4,0.8,0.0,90.0,2.6,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
