assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,0.0,628,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,18,0,0,0,0,28,0,0,0,3,0.0,0,0,0,0,40,False,0,Liverpool,Watford,4,3,1,7.0,0,0.0,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1,0
0,0,0,0,0.0,628,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,3,0,0,0,0,29,0,149,1,2,0.0,0,35,44,9,40,True,0,Liverpool,Bournemouth,5,2,1,7.791666666666668,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1,0
0,0,0,0,0.0,628,294,0,0,0.0,0.0,2020-06-21T18:00:00Z,0,8,0,0,0,0,39,0,1237,0,0,0.0,0,543,779,236,40,False,0,Liverpool,Everton,4,4,1,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,0,0,0.0,628,304,0,0,0.0,0.0,2020-06-24T19:15:00Z,0,7,0,0,0,0,40,0,1361,0,4,0.0,0,10,149,139,40,True,0,Liverpool,Crystal Palace,5,3,1,3.052083333333333,0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0
0,0,0,0,0.0,628,317,0,0,0.0,0.0,2020-07-02T19:15:00Z,0,11,0,0,0,0,41,0,1440,0,4,0.0,0,-29,80,109,40,False,0,Liverpool,Man City,4,4,1,8.0,0,0.0,-4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0
0,0,0,0,0.0,628,324,0,0,0.0,0.0,2020-07-05T15:30:00Z,0,2,0,0,0,0,42,0,1570,0,2,0.0,0,29,130,101,40,True,0,Liverpool,Aston Villa,5,2,1,2.84375,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,0,0,0.0,628,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,4,0,0,0,0,43,0,1638,3,1,0.0,0,3,84,81,40,False,0,Liverpool,Brighton,4,2,1,3.15625,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,0,0,0.0,628,344,0,0,0.0,0.0,2020-07-11T14:00:00Z,0,5,0,0,0,0,44,0,1669,1,1,0.0,0,-44,47,91,40,True,0,Liverpool,Burnley,5,3,1,2.78125,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0
0,0,0,0,0.0,628,351,0,0,0.0,0.0,2020-07-15T19:15:00Z,0,1,0,0,0,0,45,0,1742,1,2,0.0,0,-21,54,75,40,False,0,Liverpool,Arsenal,4,4,1,4.21875,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0
0,0,0,0,0.0,628,364,0,0,0.0,0.0,2020-07-22T19:15:00Z,0,6,0,0,0,0,46,0,1735,3,5,0.0,0,-44,37,81,40,True,0,Liverpool,Chelsea,5,4,1,7.0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,0,0,0.0,628,378,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,13,0,0,0,0,47,0,2947,3,1,0.0,0,379,504,125,39,False,0,Liverpool,Newcastle,4,2,1,3.8229166666666665,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,5,0,15.2,545,28,1,0,2.2,4.6,2020-09-27T18:00:00Z,17,19,0,0,0,0,3,0,911,0,4,2.0,1,463,699,236,45,False,0,Wolves,West Ham,2,4,1,7.0,0,0.0,-4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
0,0,4,0,0.0,545,38,0,0,0.9,9.2,2020-10-04T13:00:00Z,12,8,0,0,0,0,4,0,1862,0,1,0.0,1,411,689,278,45,True,0,Wolves,Fulham,3,2,1,6.791666666666668,0,2.2,1,1,0.0,0.0,0.2,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,0,0,0.0,545,42,0,0,0.0,0.0,2020-10-19T19:00:00Z,0,10,0,0,0,0,5,0,2443,1,0,0.0,0,171,510,339,45,False,0,Wolves,Leeds,2,3,1,5.0,0,0.9,1,0,0.0,0.0,0.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0,0.0,545,58,0,0,0.0,0.0,2020-10-25T16:30:00Z,0,14,0,0,0,0,6,0,2664,1,1,0.0,0,23,300,277,45,True,0,Wolves,Newcastle,3,2,1,5.895833333333332,0,0.0,0,1,0.0,0.0,0.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,1
0,0,0,0,0.0,545,68,0,0,0.0,0.0,2020-10-30T20:00:00Z,0,6,0,0,0,0,7,0,2811,0,2,0.0,0,-52,226,278,45,True,0,Wolves,Crystal Palace,3,2,1,5.145833333333333,0,0.0,2,1,0.0,0.0,0.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0,0.0,545,74,0,0,0.0,0.0,2020-11-08T14:00:00Z,0,9,0,0,0,0,8,0,2799,0,1,0.0,0,-137,161,298,45,False,0,Wolves,Leicester,2,4,1,7.75,0,0.0,-1,0,0.0,0.0,0.2,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0,0.0,545,88,0,0,0.0,0.0,2020-11-23T20:00:00Z,0,16,0,0,0,0,9,0,2882,1,1,0.0,0,-114,129,243,45,True,0,Wolves,Southampton,3,2,1,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,1
