assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,1,27,1,1.9,265,1,0,0,1.6,11.8,2018-08-12T15:00:00Z,90,1,0,0,0,0,1,0,545462,2,0,2.0,7,0,0,0,65,False,0,Man City,Arsenal,4,4,1,7.0,1,1.6,2,0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,265,18,0,0,0.0,0.0,2018-08-19T12:30:00Z,0,10,0,0,0,0,2,0,660273,1,6,0.0,0,16994,37192,20198,65,True,0,Man City,Huddersfield,5,2,1,6.895833333333332,1,1.6,5,1,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,10,0,4.8,265,30,1,0,2.4,9.6,2018-08-25T11:30:00Z,90,20,0,0,0,0,3,0,573316,1,1,10.0,2,-100791,9003,109794,65,False,0,Man City,Wolves,4,3,1,5.958333333333332,0,0.0,0,0,0.0,0.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1,0,0
0,2,27,0,5.8,265,38,1,1,6.7,47.0,2018-09-01T16:30:00Z,90,15,0,0,0,0,4,0,550154,1,2,14.0,10,-41681,6024,47705,65,True,0,Man City,Newcastle,5,2,1,6.208333333333332,0,2.4,1,1,0.0,0.3333333333333333,0.3333333333333333,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1,0,0
0,0,29,1,12.3,265,45,0,0,3.6,13.6,2018-09-15T14:00:00Z,90,9,0,0,0,0,5,0,579893,0,3,10.0,6,4728,24366,19638,65,True,0,Man City,Fulham,5,2,1,5.0,2,6.7,3,1,0.0,0.25,0.5,0.25,67.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,25,1,15.3,265,54,0,0,3.0,14.6,2018-09-22T14:00:00Z,90,5,0,0,0,0,6,0,701399,5,0,0.0,6,100446,115106,14660,65,False,0,Man City,Cardiff,4,2,1,7.0,0,3.6,5,0,0.0,0.4,0.4,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,1,28,1,50.9,265,67,0,0,7.8,24.2,2018-09-29T14:00:00Z,90,3,0,0,0,0,7,0,865788,0,2,3.0,7,141958,155624,13666,66,True,0,Man City,Brighton,5,2,1,7.0,0,3.0,2,1,0.0,0.4,0.4,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1,0,0
0,0,27,1,1.0,265,76,0,0,1.4,12.6,2018-10-07T15:30:00Z,90,12,0,0,0,0,8,0,856455,0,0,0.0,6,-1077,33605,34682,66,False,0,Man City,Liverpool,4,5,1,8.0625,1,7.8,0,0,0.0,0.6,0.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,0,0,0,0.0,265,87,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,4,0,0,0,0,9,0,897829,0,5,0.0,0,18140,43108,24968,66,True,0,Man City,Burnley,5,2,1,5.0,0,1.4,5,1,0.0,0.8,0.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,0,22,1,2.0,265,99,0,0,1.4,8.6,2018-10-29T20:00:00Z,90,17,0,0,0,0,10,0,783513,1,0,3.0,6,-109036,2764,111800,66,False,0,Man City,Spurs,4,4,1,9.25,0,0.0,1,0,0.0,0.8,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,16,0,26.4,265,107,1,0,5.4,18.0,2018-11-04T15:00:00Z,90,16,0,0,0,0,11,0,784518,1,6,10.0,2,-10904,10919,21823,65,True,0,Man City,Southampton,5,2,1,4.791666666666667,0,1.4,5,1,0.0,0.8,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1,0,0
0,0,23,0,15.0,265,118,1,0,3.9,20.4,2018-11-11T16:30:00Z,90,14,0,0,0,0,12,0,762749,1,3,4.0,2,-24195,4905,29100,65,True,0,Man City,Man Utd,5,4,1,7.0625,0,5.4,2,1,0.0,0.6,0.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1,0,0
