assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_2021
0,0,6,0,1.0,95,2,2,0,1.2,10.8,2018-08-11T14:00:00Z,90,2,0,0,0,0,1,0,196285,0,2,0.0,0,0,0,0,40,False,1,Cardiff,Bournemouth,2,3,1,7.0,0,1.2,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1,0
0,0,0,0,0.0,95,13,0,0,0.0,0.0,2018-08-18T11:30:00Z,0,15,0,0,0,0,2,0,211259,0,0,0.0,0,4620,17700,13080,40,True,0,Cardiff,Newcastle,2,2,1,6.895833333333332,0,1.2,0,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1,0
0,0,0,0,0.0,95,24,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,10,0,0,0,0,3,0,185045,0,0,0.0,0,-26984,6466,33450,40,False,0,Cardiff,Huddersfield,2,2,1,7.104166666666668,0,0.0,0,0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1,0
0,0,0,0,0.0,95,33,0,0,0.0,0.0,2018-09-02T12:30:00Z,0,1,0,0,0,0,4,0,162006,3,2,0.0,0,-23849,1839,25688,40,True,0,Cardiff,Arsenal,2,4,1,6.9375,0,0.0,-1,1,0.0,0.0,0.6666666666666666,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.6666666666666666,1,0
0,0,0,0,0.0,95,42,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,6,0,0,0,0,5,0,141679,1,4,0.0,0,-24389,9202,33591,39,False,0,Cardiff,Chelsea,2,4,1,5.0,0,0.0,-3,0,0.0,0.0,0.5,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.25,-0.75,1,0
0,0,5,0,0.6,95,54,3,0,0.8,7.4,2018-09-22T14:00:00Z,50,13,0,0,0,0,6,0,130075,5,0,0.0,0,-11838,3346,15184,39,True,0,Cardiff,Man City,2,4,1,7.0,0,0.0,-5,1,0.0,0.0,0.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1,0
0,0,0,0,0.0,95,63,0,0,0.0,0.0,2018-09-30T15:00:00Z,0,4,0,0,0,0,7,0,114041,2,1,0.0,0,-15634,614,16248,39,True,0,Cardiff,Burnley,2,2,1,8.041666666666666,0,0.8,-1,1,0.0,0.0,0.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1,0
0,0,0,0,0.0,95,79,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,17,0,0,0,0,8,0,105574,0,1,0.0,0,-8691,479,9170,39,False,0,Cardiff,Spurs,2,4,1,5.958333333333332,0,0.0,-1,0,0.0,0.0,0.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,0,0,0.0,95,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,9,0,0,0,0,9,0,93153,2,4,0.0,0,-12608,506,13114,39,True,0,Cardiff,Fulham,2,2,1,5.0,0,0.0,2,1,0.0,0.0,0.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,1,0
0,0,0,0,0.0,95,96,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,12,0,0,0,0,10,0,88086,1,4,0.0,0,-5296,302,5598,39,False,0,Cardiff,Liverpool,2,5,1,7.0,0,0.0,-3,0,0.0,0.0,0.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,0,0,0,0.0,95,103,0,0,0.0,0.0,2018-11-03T15:00:00Z,0,11,0,0,0,0,11,0,98422,1,0,0.0,0,5881,12188,6307,38,True,0,Cardiff,Leicester,2,3,1,6.041666666666668,0,0.0,-1,1,0.0,0.0,0.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,0,4,0,4.9,95,112,0,0,0.7,2.4,2018-11-10T12:30:00Z,20,3,0,0,0,0,12,0,113377,1,2,0.0,1,12214,17158,4944,38,True,0,Cardiff,Brighton,2,2,1,6.895833333333332,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,0,0,0.0,95,124,0,0,0.0,0.0,2018-11-24T15:00:00Z,0,8,0,0,0,0,13,0,143820,0,1,0.0,0,23786,30233,6447,38,False,0,Cardiff,Everton,2,3,1,5.0,0,0.7,-1,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,0,0,0.0,95,132,0,0,0.0,0.0,2018-11-30T20:00:00Z,0,20,0,0,0,0,14,0,154272,1,2,0.0,0,12479,17088,4609,38,True,0,Cardiff,Wolves,2,3,1,6.208333333333332,0,0.0,1,1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,0,0,0.0,95,147,0,0,0.0,0.0,2018-12-04T19:45:00Z,0,19,0,0,0,0,15,0,164908,1,3,0.0,0,8624,15456,6832,38,False,0,Cardiff,West Ham,2,3,1,3.9895833333333335,0,0.0,-2,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,0,0,0.0,95,154,0,0,0.0,0.0,2018-12-08T15:00:00Z,0,16,0,0,0,0,16,0,174959,0,1,0.0,0,7000,14331,7331,38,True,0,Cardiff,Southampton,2,2,1,3.8020833333333335,0,0.0,1,1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,5,0,0.5,95,169,1,0,0.8,7.2,2018-12-15T15:00:00Z,31,18,0,0,0,0,17,0,185878,2,3,0.0,1,10299,17931,7632,38,False,0,Cardiff,Watford,2,3,1,7.0,0,0.0,-1,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0,0.0,95,173,0,0,0.0,0.0,2018-12-22T17:30:00Z,0,14,0,0,0,0,18,0,196201,5,1,0.0,0,9116,16188,7072,38,True,0,Cardiff,Man Utd,2,4,1,7.104166666666668,0,0.8,-4,1,0.0,0.0,0.2,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,22,1,6.4,95,183,0,0,3.4,25.8,2018-12-26T15:00:00Z,90,7,0,0,0,0,19,0,211552,0,0,2.0,6,12813,20250,7437,38,False,0,Cardiff,Crystal Palace,2,2,1,3.8958333333333335,0,0.0,0,0,0.0,0.0,0.2,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,3,0,0.0,95,195,0,0,0.1,1.0,2018-12-29T15:00:00Z,1,11,0,0,0,0,20,0,233153,1,0,0.0,1,19130,26547,7417,39,False,0,Cardiff,Leicester,2,3,1,3.0,0,3.4,1,0,0.0,0.2,0.2,0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,0,0,0.0,95,203,0,0,0.0,0.0,2019-01-01T17:30:00Z,0,17,0,0,0,0,21,0,233264,3,0,0.0,0,2653,13895,11242,39,True,0,Cardiff,Spurs,2,4,1,7.104166666666668,0,0.1,-3,1,0.0,0.2,0.2,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,0,0,0.0,95,213,0,0,0.0,0.0,2019-01-12T15:00:00Z,0,10,0,0,0,0,22,0,228751,0,0,0.0,0,-5275,7504,12779,39,True,0,Cardiff,Huddersfield,2,2,1,5.0,0,0.0,0,1,0.0,0.2,0.2,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
