assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,3,0,0.0,44,2,0,0,0.0,0.0,2018-08-11T14:00:00Z,1,5,0,0,0,0,1,0,11984,0,2,0.0,1,0,0,0,50,True,0,Bournemouth,Cardiff,3,2,3,7.0,0,0.0,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,44,20,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,19,0,0,0,0,2,0,16089,2,1,0.0,0,-112,2041,2153,50,False,0,Bournemouth,West Ham,2,3,3,7.0,0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,2,0,0.0,44,22,0,0,0.0,0.0,2018-08-25T14:00:00Z,1,8,0,0,0,0,3,0,15240,2,2,0.0,1,-1661,1050,2711,50,True,0,Bournemouth,Everton,3,2,3,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,0,0
0,0,3,0,0.8,44,34,1,0,0.1,0.2,2018-09-01T14:00:00Z,10,6,0,0,0,0,4,0,13765,0,2,0.0,1,-2037,578,2615,50,False,0,Bournemouth,Chelsea,2,4,3,6.0,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.1,44,41,2,0,0.2,0.2,2018-09-15T14:00:00Z,5,11,0,0,0,0,5,0,13862,2,4,2.0,1,-530,975,1505,50,True,0,Bournemouth,Leicester,3,3,3,5.0,0,0.1,2,1,0.0,0.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,0,0
0,0,0,0,0.0,44,53,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,4,0,0,0,0,6,0,14027,0,4,0.0,0,-238,844,1082,50,False,0,Bournemouth,Burnley,2,3,3,7.0,0,0.2,-4,0,0.0,0.0,0.6,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,0,0,0.0,44,62,0,0,0.0,0.0,2018-10-01T19:00:00Z,0,7,0,0,0,0,7,0,13567,1,2,0.0,0,-608,349,957,50,True,0,Bournemouth,Crystal Palace,3,2,3,9.208333333333334,0,0.0,1,1,0.0,0.0,0.6,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,0,0,0.0,44,80,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,18,0,0,0,0,8,0,13340,4,0,0.0,0,-371,326,697,50,False,0,Bournemouth,Watford,2,3,3,4.791666666666667,0,0.0,4,0,0.0,0.0,0.6,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,0,0,0.0,44,82,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,16,0,0,0,0,9,0,12944,0,0,0.0,0,-567,332,899,50,True,0,Bournemouth,Southampton,3,2,3,5.0,0,0.0,0,1,0.0,0.0,0.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,0,0,0.0,44,94,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,9,0,0,0,0,10,0,12820,3,0,0.0,0,-229,247,476,49,False,0,Bournemouth,Fulham,2,2,3,7.0,0,0.0,3,0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
