assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,224,6,0,0,0.0,0.0,2018-08-10T19:00:00Z,0,14,0,0,0,0,1,0,58166,1,2,0.0,0,0,0,0,55,False,0,Leicester,Man Utd,3,4,2,7.0,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,8,0,8.0,224,17,0,0,2.3,6.8,2018-08-18T14:00:00Z,59,20,0,0,0,0,2,0,46145,0,2,8.0,1,-12969,387,13356,54,True,0,Leicester,Wolves,3,3,2,7.791666666666668,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
1,0,13,0,11.3,224,28,0,0,3.0,18.4,2018-08-25T14:00:00Z,23,16,0,0,0,0,3,0,39074,2,1,0.0,4,-7773,495,8268,54,False,0,Leicester,Southampton,3,2,2,7.0,0,2.3,1,0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0
0,0,11,0,22.8,224,37,2,0,3.8,11.8,2018-09-01T11:30:00Z,60,12,0,0,0,0,4,0,36322,2,1,3.0,2,-3366,812,4178,53,True,0,Leicester,Liverpool,3,4,2,5.895833333333332,0,3.0,-1,1,0.3333333333333333,0.0,0.0,0.0,27.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1,0,0
0,0,22,0,1.3,224,41,1,1,5.2,33.6,2018-09-15T14:00:00Z,29,2,0,0,0,0,5,0,34247,2,4,17.0,6,-2477,1118,3595,53,False,0,Leicester,Bournemouth,3,3,2,5.0,0,3.8,-2,0,0.25,0.0,0.5,0.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,0,0
0,0,4,0,14.6,224,57,0,0,2.7,4.6,2018-09-22T14:00:00Z,13,10,0,0,0,0,6,0,36113,1,3,8.0,1,1236,3803,2567,53,True,0,Leicester,Huddersfield,3,2,2,7.0,0,5.2,2,1,0.2,0.0,0.6,0.2,34.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,0,3,0,0.8,224,68,0,0,0.4,3.0,2018-09-29T14:00:00Z,16,15,0,0,0,0,7,0,33217,2,0,0.0,1,-2786,761,3547,53,False,0,Leicester,Newcastle,3,3,2,7.0,0,2.7,2,0,0.2,0.0,0.6,0.2,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,2,0,0.1,224,75,1,0,0.0,0.0,2018-10-06T14:00:00Z,23,8,0,0,0,0,8,0,31525,2,1,0.0,1,-1811,573,2384,53,True,0,Leicester,Everton,3,2,2,7.0,0,0.4,-1,1,0.2,0.0,0.6,0.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,1.3,224,81,2,0,0.1,0.0,2018-10-22T19:00:00Z,29,1,0,0,0,0,9,0,29407,1,3,0.0,0,-2217,513,2730,52,False,1,Leicester,Arsenal,3,4,2,5.0,0,0.0,-2,0,0.0,0.0,0.8,0.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,19,0,64.1,224,95,1,0,15.5,32.0,2018-10-27T16:30:00Z,90,19,0,0,0,0,10,0,27737,1,1,59.0,2,-1734,295,2029,52,True,0,Leicester,West Ham,3,3,2,4.895833333333333,0,0.1,0,1,0.0,0.0,0.8,0.2,22.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,1,0,0
