assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
1,1,27,0,10.2,162,10,2,0,7.6,40.4,2018-08-11T16:30:00Z,90,20,0,0,0,0,1,0,117954,2,2,25.0,5,0,0,0,50,False,0,Everton,Wolves,2,3,1,7.0,1,7.6,0,0,1.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,14,0,0.4,162,16,1,0,6.4,27.2,2018-08-18T14:00:00Z,90,16,0,0,0,0,2,0,144436,1,2,36.0,2,7266,15296,8030,50,True,0,Everton,Southampton,3,2,1,6.895833333333332,1,7.6,1,1,1.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,3,28,0,11.1,162,22,2,1,8.6,52.2,2018-08-25T14:00:00Z,90,2,0,0,0,0,3,0,139195,2,2,23.0,10,-8765,8212,16977,50,False,0,Everton,Bournemouth,2,3,1,7.0,0,6.4,0,0,0.5,0.0,1.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0
0,0,0,0,0.0,162,36,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,10,0,0,0,0,4,0,91833,1,1,0.0,0,-48023,4879,52902,50,True,0,Everton,Huddersfield,3,2,1,6.0,3,8.6,0,1,0.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1,0,0
0,0,0,0,0.0,162,43,0,0,0.0,0.0,2018-09-16T15:00:00Z,0,19,0,0,0,0,5,0,73579,3,1,0.0,0,-19741,444,20185,49,True,0,Everton,West Ham,3,3,1,5.0,0,0.0,-2,1,0.25,0.0,1.25,0.25,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,0,0
0,0,12,0,0.3,162,51,2,0,4.2,17.2,2018-09-23T15:00:00Z,90,1,0,0,0,0,6,0,67585,0,2,24.0,1,-6741,333,7074,49,False,0,Everton,Arsenal,2,4,1,7.0,0,0.0,-2,0,0.2,0.0,1.0,0.2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
0,2,27,1,14.5,162,65,0,0,3.2,13.0,2018-09-29T14:00:00Z,90,9,0,0,0,0,7,0,70045,0,3,4.0,8,1121,3346,2225,49,True,0,Everton,Fulham,3,2,1,5.958333333333332,0,4.2,3,1,0.0,0.0,1.0,0.2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,10,0,0.2,162,75,1,0,3.5,8.6,2018-10-06T14:00:00Z,90,11,0,0,0,0,8,0,74012,2,1,26.0,2,3328,4919,1591,49,False,0,Everton,Leicester,2,3,1,7.0,2,3.2,1,0,0.0,0.2,0.8,0.2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0,0
1,2,40,1,11.4,162,85,0,0,6.2,42.2,2018-10-21T15:00:00Z,90,7,0,0,0,0,9,0,80839,0,2,8.0,11,4971,7736,2765,49,True,0,Everton,Crystal Palace,3,2,1,5.0,0,3.5,2,1,0.0,0.2,0.6,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,19,0,11.3,162,97,2,0,4.0,26.6,2018-10-28T16:00:00Z,90,14,0,0,0,0,10,0,97080,1,2,2.0,1,13670,17262,3592,49,False,0,Everton,Man Utd,2,4,1,7.041666666666668,2,6.2,-1,0,0.2,0.4,0.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,10,0,0.9,162,105,1,0,2.2,15.0,2018-11-03T15:00:00Z,90,3,0,0,0,0,11,0,128796,1,3,6.0,2,26962,31462,4500,49,True,0,Everton,Brighton,3,2,1,4.958333333333333,0,4.0,2,1,0.2,0.4,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,1,25,1,0.0,162,113,0,0,1.8,13.6,2018-11-11T14:15:00Z,90,6,0,0,0,0,12,0,122001,0,0,4.0,7,-3937,7028,10965,49,False,0,Everton,Chelsea,2,4,1,7.96875,0,2.2,0,0,0.2,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
0,2,27,1,0.8,162,124,0,0,6.7,27.6,2018-11-24T15:00:00Z,90,5,0,0,0,0,13,0,222981,0,1,39.0,8,88486,93494,5008,50,True,0,Everton,Cardiff,3,2,1,5.0,1,1.8,1,1,0.2,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
