assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,30,1,11.2,126,4,0,1,7.1,42.4,2018-08-11T14:00:00Z,90,10,0,0,0,0,1,0,889970,3,0,17.0,8,0,0,0,50,False,0,Chelsea,Huddersfield,4,2,2,7.0,0,7.1,3,0,0.0,1.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,16,0,49.6,126,14,2,0,10.9,15.4,2018-08-18T16:30:00Z,90,1,0,0,0,0,2,0,1138893,2,3,44.0,2,62886,101732,38846,50,True,0,Chelsea,Arsenal,4,4,2,7.104166666666668,0,7.1,1,1,0.0,1.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,0,15,0,17.8,126,27,1,0,4.1,21.0,2018-08-26T15:00:00Z,90,15,0,0,0,0,3,0,1227896,2,1,2.0,2,34895,129120,94225,50,False,0,Chelsea,Newcastle,4,3,2,7.9375,0,10.9,1,0,0.0,0.5,1.0,0.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,10,1,9.3,126,34,0,0,1.9,8.0,2018-09-01T14:00:00Z,90,2,0,0,0,0,4,0,1243573,0,2,2.0,2,-17662,67680,85342,50,True,1,Chelsea,Bournemouth,4,2,2,4.958333333333333,0,4.1,2,1,0.0,0.3333333333333333,1.0,0.3333333333333333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,0,0
0,0,14,0,8.4,126,42,1,0,2.2,11.8,2018-09-15T14:00:00Z,90,5,0,0,0,0,5,0,1213538,1,4,2.0,2,-52601,48019,100620,50,True,0,Chelsea,Cardiff,4,2,2,5.0,0,1.9,3,1,0.0,0.5,0.75,0.25,90.0,0.0,0.0,0.0,0.0,0.0,0.25,1.75,1,0,0
0,0,5,1,34.5,126,60,0,0,7.0,9.8,2018-09-23T12:30:00Z,90,19,0,0,0,0,6,0,1140649,0,0,26.0,2,-82380,18487,100867,50,False,1,Chelsea,West Ham,4,3,2,7.9375,0,2.2,0,0,0.0,0.4,0.8,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,1,0,0
0,0,14,0,19.4,126,64,1,0,2.4,5.0,2018-09-29T16:30:00Z,90,12,0,0,0,0,7,0,1078801,1,1,0.0,2,-67983,9721,77704,50,True,0,Chelsea,Liverpool,4,4,2,6.166666666666668,0,7.0,0,1,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,1,0,0
0,0,14,1,26.3,126,78,0,0,5.2,11.4,2018-10-07T13:15:00Z,90,16,0,0,0,0,8,0,1047793,3,0,14.0,3,-37222,12280,49502,50,False,0,Chelsea,Southampton,4,2,2,7.864583333333332,0,2.4,3,0,0.0,0.4,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1,0,0
0,0,15,0,13.6,126,84,2,0,5.2,21.8,2018-10-20T11:30:00Z,90,14,0,0,0,0,9,0,1010460,2,2,17.0,2,-44101,14894,58995,50,True,0,Chelsea,Man Utd,4,4,2,5.0,0,5.2,0,1,0.0,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,1,0,0
1,0,28,1,42.9,126,92,0,0,9.2,30.6,2018-10-28T13:30:00Z,90,4,0,0,0,0,10,0,988351,4,0,18.0,6,-26587,13317,39904,49,False,0,Chelsea,Burnley,4,3,2,8.083333333333334,0,5.2,4,0,0.0,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1,0,0
0,0,15,0,25.1,126,104,1,0,4.3,18.0,2018-11-04T16:00:00Z,90,7,0,0,0,0,11,0,980284,1,3,0.0,2,-13377,22854,36231,49,True,0,Chelsea,Crystal Palace,4,2,2,6.104166666666668,0,9.2,2,1,0.2,0.6,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,1,0,0
0,0,8,1,4.4,126,113,0,0,3.2,6.6,2018-11-11T14:15:00Z,90,8,0,0,0,0,12,0,963292,0,0,21.0,2,-20516,15177,35693,49,True,1,Chelsea,Everton,4,2,2,6.927083333333332,0,4.3,0,1,0.2,0.4,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,12,0,14.1,126,127,3,0,4.2,19.4,2018-11-24T17:30:00Z,90,17,0,0,0,0,13,0,945674,1,3,8.0,2,-21177,11682,32859,49,False,0,Chelsea,Spurs,4,4,2,5.0,0,3.2,-2,0,0.2,0.6,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,1,0,0
1,0,22,1,16.3,126,133,0,0,5.4,26.0,2018-12-02T12:00:00Z,90,9,0,0,0,0,14,0,943914,0,2,12.0,6,-5423,12432,17855,49,True,0,Chelsea,Fulham,4,2,2,7.770833333333332,0,4.2,2,1,0.2,0.4,1.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
0,0,10,0,14.2,126,148,2,0,2.6,8.4,2018-12-05T19:45:00Z,76,20,0,0,0,0,15,0,963782,1,2,3.0,2,16843,31028,14185,49,False,0,Chelsea,Wolves,4,3,2,3.3229166666666665,0,5.4,-1,0,0.4,0.6,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1,0,0
0,1,31,1,21.3,126,155,0,1,9.1,50.4,2018-12-08T17:30:00Z,90,13,0,0,0,0,16,0,952692,0,2,19.0,9,-10630,13710,24340,49,True,0,Chelsea,Man City,4,4,2,2.90625,0,2.6,2,1,0.2,0.4,1.2,0.0,87.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,0
0,0,15,0,20.8,126,161,1,0,3.8,13.0,2018-12-16T13:30:00Z,90,3,0,0,0,0,17,0,1013802,2,1,4.0,2,49271,63331,14060,49,False,0,Chelsea,Brighton,4,2,2,7.833333333333332,1,9.1,1,0,0.2,0.6,1.0,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0,0
0,0,18,0,31.5,126,174,1,0,5.2,14.6,2018-12-22T15:00:00Z,90,11,0,0,0,0,18,0,1029076,1,0,6.0,2,12367,34667,22300,49,True,0,Chelsea,Leicester,4,3,2,6.0625,0,3.8,-1,1,0.2,0.4,1.2,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,10,0,6.4,126,190,1,0,3.4,17.4,2018-12-26T19:30:00Z,90,18,0,0,0,0,19,0,1019694,2,1,10.0,2,-12557,21889,34446,49,False,0,Chelsea,Watford,4,3,2,4.1875,0,5.2,1,0,0.2,0.4,0.8,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,2,37,1,22.1,126,193,0,1,9.4,45.4,2018-12-30T12:00:00Z,90,7,0,0,0,0,20,0,1010264,1,0,26.0,10,-12800,22986,35786,49,False,0,Chelsea,Crystal Palace,4,2,2,3.6875,0,3.4,1,0,0.0,0.2,1.0,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,18,1,40.7,126,204,0,0,6.1,18.6,2019-01-02T19:45:00Z,90,16,0,0,0,0,21,0,1076856,0,0,2.0,3,58635,83905,25270,49,True,0,Chelsea,Southampton,4,2,2,7.322916666666668,2,9.4,0,1,0.0,0.4,0.6,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,9,0,14.8,126,214,1,0,2.7,12.2,2019-01-12T17:30:00Z,90,15,0,0,0,0,22,0,1164437,1,2,0.0,2,75258,119873,44615,50,True,0,Chelsea,Newcastle,4,2,2,9.90625,0,6.1,1,1,0.0,0.4,0.6,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,5,0,8.0,126,221,2,0,3.2,12.2,2019-01-19T17:30:00Z,90,1,0,0,0,0,23,0,1151249,0,2,12.0,2,-14736,49799,64535,50,False,0,Chelsea,Arsenal,4,4,2,7.0,0,2.7,-2,0,0.0,0.4,0.6,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,8,0,24.7,126,232,4,0,4.3,16.2,2019-01-30T19:45:00Z,90,2,0,0,0,0,24,0,1146907,0,4,2.0,2,-12100,33727,45827,50,False,0,Chelsea,Bournemouth,4,3,2,5.0,0,3.2,-4,0,0.0,0.4,0.8,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
2,0,40,1,61.3,126,244,0,0,11.4,50.8,2019-02-02T15:00:00Z,82,10,0,0,0,0,25,0,1123921,0,5,2.0,9,-20298,15698,35996,50,True,0,Chelsea,Huddersfield,4,2,2,1.8020833333333333,0,4.3,5,1,0.0,0.4,1.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,0,10,0,17.8,126,256,6,0,3.5,13.4,2019-02-10T16:00:00Z,90,13,0,0,0,0,26,0,1181090,0,6,4.0,2,45377,71227,25850,50,False,0,Chelsea,Man City,4,5,2,8.041666666666666,0,11.4,-6,0,0.4,0.4,1.4,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,12,1,20.3,126,276,0,0,3.4,13.0,2019-02-27T20:00:00Z,90,17,0,0,0,0,28,0,1170575,0,2,1.0,3,7705,25779,18074,50,True,0,Chelsea,Spurs,4,4,2,5.0,0,3.5,2,1,0.4,0.2,2.6,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0,0
0,0,20,0,26.3,126,285,1,0,8.0,21.2,2019-03-03T14:05:00Z,90,9,0,0,0,0,29,0,1195437,2,1,32.0,2,22291,40398,18107,50,False,0,Chelsea,Fulham,4,2,2,5.753472222222222,0,3.4,1,0,0.4,0.4,2.4,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,13,0,30.4,126,293,1,0,5.3,16.2,2019-03-10T14:05:00Z,90,20,0,0,0,0,30,0,1198629,1,1,6.0,2,575,25138,24563,50,True,0,Chelsea,Wolves,4,3,2,7.0,0,8.0,0,1,0.4,0.4,2.2,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0,0
0,0,11,0,16.6,126,304,2,0,3.7,10.0,2019-03-17T16:30:00Z,90,8,0,0,0,0,31,0,1186680,0,2,10.0,2,-1103,18983,20086,50,False,0,Chelsea,Everton,4,3,2,7.1006944444444455,0,5.3,-2,0,0.4,0.4,1.6,0.0,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
0,0,0,0,0.0,126,314,0,0,0.0,0.0,2019-03-31T13:05:00Z,0,5,0,0,0,0,32,0,1204040,2,1,0.0,0,3371,34958,31587,50,False,0,Chelsea,Cardiff,4,2,2,5.0,0,3.7,1,0,0.0,0.2,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
