assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,3,0,1.4,399,8,4,0,0.8,6.6,2019-08-10T11:30:00Z,45,11,0,0,0,0,1,0,56910,5,0,0.0,1,0,0,0,65,True,0,West Ham,Man City,2,4,2,7.0,0,0.8,-5,1,0.0,0.0,4.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1,0
0,0,4,0,2.8,399,13,1,0,1.0,4.6,2019-08-17T14:00:00Z,76,4,0,0,0,0,2,0,53941,1,1,3.0,2,-5993,1751,7744,65,False,0,West Ham,Brighton,2,2,2,7.104166666666668,0,0.8,0,0,0.0,0.0,4.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1,0
0,0,4,0,1.1,399,29,0,0,2.7,8.4,2019-08-24T14:00:00Z,12,18,0,0,0,0,3,0,43487,3,1,17.0,1,-10974,592,11566,64,False,0,West Ham,Watford,2,3,2,7.0,0,1.0,2,0,0.0,0.0,2.5,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1,0
0,0,4,0,0.8,399,40,0,0,0.2,1.2,2019-08-31T14:00:00Z,2,14,0,0,0,0,4,0,34899,0,2,0.0,1,-9177,672,9849,63,True,0,West Ham,Norwich,2,2,2,7.0,0,2.7,2,1,0.0,0.0,1.6666666666666667,0.0,44.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,5,0,11.8,399,41,0,0,2.9,3.4,2019-09-16T19:00:00Z,28,2,0,0,0,0,5,0,28656,0,0,14.0,1,-6674,320,6994,62,False,0,West Ham,Aston Villa,2,2,2,5.0,0,0.2,0,0,0.0,0.0,1.25,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1,0
0,0,13,1,14.9,399,60,0,0,2.4,6.8,2019-09-22T13:00:00Z,90,12,0,0,0,0,6,0,26053,0,2,2.0,3,-2933,242,3175,62,True,0,West Ham,Man Utd,2,4,2,5.75,0,2.9,2,1,0.0,0.0,1.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,14,0,41.3,399,62,2,0,10.3,10.0,2019-09-28T14:00:00Z,66,3,0,0,0,0,7,0,24525,2,2,52.0,2,-1766,454,2220,61,False,0,West Ham,Bournemouth,2,2,2,6.041666666666668,0,2.4,0,0,0.0,0.2,0.2,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0
0,0,3,0,0.8,399,80,1,0,0.1,0.2,2019-10-05T16:30:00Z,22,7,0,0,0,0,8,0,23427,2,1,0.0,1,-1251,303,1554,61,True,0,West Ham,Crystal Palace,2,3,2,7.104166666666668,0,10.3,-1,1,0.0,0.2,0.4,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0
0,0,0,0,5.2,399,85,1,0,2.7,0.0,2019-10-19T11:30:00Z,62,8,0,0,0,0,9,0,22448,0,2,22.0,2,-1102,183,1285,61,False,0,West Ham,Everton,2,4,2,5.0,0,0.1,-2,0,0.0,0.2,0.6,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,8,0,14.3,399,100,0,0,2.3,6.2,2019-10-26T14:00:00Z,12,15,0,0,0,0,10,0,21997,1,1,2.0,1,-535,157,692,61,True,0,West Ham,Sheffield Utd,2,3,2,7.104166666666668,0,2.7,0,1,0.0,0.2,0.8,0.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,0,0,0.0,399,110,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,13,0,0,0,0,11,0,21201,3,2,0.0,0,-903,102,1005,60,True,0,West Ham,Newcastle,2,2,2,6.041666666666668,0,2.3,-1,1,0.0,0.2,0.8,0.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,7,0,6.6,399,111,3,0,0.7,0.0,2019-11-09T15:00:00Z,63,5,0,0,0,0,12,0,20656,0,3,0.0,2,-632,68,700,60,False,0,West Ham,Burnley,2,3,2,7.0,0,0.0,-3,0,0.0,0.0,0.8,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,3,0,3.1,399,130,0,0,0.8,2.6,2019-11-23T12:30:00Z,34,17,0,0,0,0,13,0,20311,3,2,2.0,1,-510,121,631,60,True,0,West Ham,Spurs,2,3,2,5.0,0,0.7,-1,1,0.0,0.0,1.0,0.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
1,0,15,1,13.4,399,132,0,0,4.0,24.6,2019-11-30T15:00:00Z,82,6,0,0,0,0,14,0,20013,1,0,2.0,5,-383,52,435,60,False,1,West Ham,Chelsea,2,4,2,7.104166666666668,0,0.8,1,0,0.0,0.0,0.8,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,7,0,17.9,399,146,2,0,5.3,13.6,2019-12-04T19:30:00Z,90,20,0,0,0,0,15,0,19981,0,2,21.0,2,-92,106,198,60,False,0,West Ham,Wolves,2,3,2,4.1875,0,4.0,-2,0,0.2,0.2,0.6,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
1,0,16,0,21.1,399,160,3,0,5.6,21.2,2019-12-09T20:00:00Z,90,1,0,0,0,0,16,0,19910,3,1,14.0,5,-110,141,251,60,True,0,West Ham,Arsenal,2,3,2,5.020833333333333,0,5.3,-2,1,0.2,0.2,1.0,0.0,53.8,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1,0
1,0,19,1,32.8,399,169,0,0,9.9,29.0,2019-12-14T17:30:00Z,90,16,0,0,0,0,17,0,19954,1,0,37.0,6,-48,307,355,60,False,0,West Ham,Southampton,2,2,2,4.895833333333333,0,5.6,1,0,0.4,0.2,1.6,0.0,71.8,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,1,0
0,0,6,0,13.1,399,184,0,0,2.1,7.4,2019-12-26T15:00:00Z,58,7,0,0,0,0,19,0,21517,1,2,0.0,1,702,1069,367,60,False,0,West Ham,Crystal Palace,2,3,2,5.0,0,9.9,-1,0,0.6,0.4,1.0,0.0,77.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0
0,3,33,0,18.5,399,200,2,1,8.4,48.2,2019-12-28T17:30:00Z,90,9,0,0,0,0,20,0,21638,2,1,17.0,10,71,531,460,60,True,0,West Ham,Leicester,2,3,2,2.1041666666666665,0,2.1,-1,1,0.6,0.4,1.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0
0,0,11,1,10.1,399,210,0,0,5.6,7.2,2020-01-01T17:30:00Z,90,3,0,0,0,0,21,0,33274,0,4,39.0,3,10279,12651,2372,60,True,0,West Ham,Bournemouth,2,2,2,8.0,3,8.4,4,1,0.4,0.2,1.4,0.2,83.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,2,0,1.0,399,218,0,0,0.2,1.0,2020-01-10T20:00:00Z,6,15,0,0,0,0,22,0,35204,0,1,0.0,1,1868,5829,3961,60,False,0,West Ham,Sheffield Utd,2,3,2,9.104166666666666,0,5.6,-1,0,0.4,0.4,1.0,0.2,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
0,0,5,0,5.1,399,230,1,0,2.8,5.6,2020-01-18T15:00:00Z,59,8,0,0,0,0,23,0,32908,1,1,17.0,1,-2379,1958,4337,60,True,0,West Ham,Everton,2,2,2,7.791666666666668,0,0.2,0,1,0.2,0.4,0.4,0.2,66.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0
0,0,5,0,3.9,399,234,2,0,1.0,6.4,2020-01-22T19:30:00Z,45,9,0,0,0,0,24,0,35723,1,4,0.0,1,1306,3684,2378,60,False,0,West Ham,Leicester,2,3,2,4.1875,0,2.8,-3,0,0.0,0.2,0.6,0.2,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0
0,0,1,0,0.0,399,180,0,0,0.2,0.0,2020-01-29T19:45:00Z,21,10,0,0,0,0,24,0,35723,2,0,4.0,1,1306,3684,2378,60,True,0,West Ham,Liverpool,2,4,2,7.010416666666668,0,1.0,-2,1,0.0,0.2,1.0,0.2,58.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,4,0,0.3,399,250,0,0,0.2,1.2,2020-02-01T15:00:00Z,5,4,0,0,0,0,25,0,30325,3,3,0.0,1,-4063,393,4456,60,True,0,West Ham,Brighton,2,2,2,1.8020833333333333,0,0.2,0,1,0.0,0.2,0.6,0.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,0,0,0.0,399,256,0,0,0.0,0.0,2020-02-19T19:30:00Z,0,11,0,0,0,0,26,0,27136,0,2,0.0,0,-3259,77,3336,60,False,0,West Ham,Man City,2,4,2,5.0,0,0.2,-2,0,0.0,0.0,0.6,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,20,0,4.3,399,266,2,1,5.4,32.4,2020-02-24T20:00:00Z,43,10,0,0,0,0,27,0,25467,2,3,17.0,6,-1772,50,1822,60,False,0,West Ham,Liverpool,2,5,2,5.020833333333333,0,0.0,-1,0,0.0,0.0,0.6,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
2,1,34,0,24.9,399,280,1,0,8.8,43.4,2020-02-29T15:00:00Z,90,16,0,0,0,0,28,0,26266,1,3,20.0,9,410,997,587,60,True,0,West Ham,Southampton,2,3,2,4.791666666666667,0,5.4,2,1,0.0,0.0,0.8,0.2,22.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,0,9,0,11.8,399,281,1,0,5.1,10.4,2020-03-07T15:00:00Z,86,1,0,0,0,0,29,0,28867,0,1,29.0,1,2713,3835,1122,60,False,1,West Ham,Arsenal,2,4,2,8.0,1,8.8,-1,0,0.4,0.0,0.6,0.2,31.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,4,0,2.2,399,300,1,0,2.6,1.8,2020-06-20T16:30:00Z,80,20,0,0,0,0,39,0,27063,2,0,22.0,2,-2038,945,2983,60,True,0,West Ham,Wolves,2,4,2,7.0,0,5.1,-2,1,0.4,0.0,0.8,0.2,44.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0
0,0,8,0,21.1,399,309,1,0,3.0,4.8,2020-06-23T19:15:00Z,71,17,0,0,0,0,40,0,26682,0,2,4.0,1,-531,198,729,60,False,1,West Ham,Spurs,2,4,2,3.114583333333333,0,2.6,-2,0,0.4,0.0,1.0,0.2,59.8,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
0,0,13,0,3.6,399,320,2,0,0.8,4.0,2020-07-01T19:15:00Z,90,6,0,0,0,0,41,0,26162,2,3,0.0,2,-539,137,676,60,True,0,West Ham,Chelsea,2,4,2,8.0,0,3.0,1,1,0.4,0.0,1.2,0.2,74.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1,0
0,0,4,0,6.5,399,326,2,0,1.7,0.6,2020-07-05T13:15:00Z,74,13,0,0,0,0,42,0,26085,2,2,10.0,2,-133,458,591,60,False,0,West Ham,Newcastle,2,2,2,3.75,0,0.8,0,0,0.4,0.0,1.2,0.0,83.4,0.0,0.0,0.0,0.0,0.0,0.4,-0.4,1,0
0,0,14,0,21.8,399,340,1,0,3.4,9.6,2020-07-08T17:00:00Z,85,5,0,0,0,0,43,0,25999,1,0,3.0,2,-140,352,492,60,True,0,West Ham,Burnley,2,3,2,3.15625,0,1.7,-1,1,0.0,0.0,1.4,0.0,80.2,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1,0
0,0,9,1,4.2,399,346,0,0,1.0,2.4,2020-07-11T11:30:00Z,82,14,0,0,0,0,44,0,26012,4,0,3.0,3,-30,478,508,60,False,0,West Ham,Norwich,2,2,2,2.770833333333333,0,3.4,4,0,0.0,0.0,1.4,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0
1,0,21,0,6.7,399,360,1,0,1.7,7.8,2020-07-17T19:00:00Z,71,18,0,0,0,0,45,0,25739,1,3,2.0,5,-264,239,503,60,True,0,West Ham,Watford,2,2,2,6.3125,0,1.0,2,1,0.0,0.2,1.2,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0
0,0,11,0,8.0,399,365,1,0,2.1,11.0,2020-07-22T17:00:00Z,90,12,0,0,0,0,46,0,25569,1,1,2.0,2,-173,161,334,60,False,0,West Ham,Man Utd,2,4,2,4.916666666666667,0,1.7,0,0,0.2,0.2,1.2,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0
0,0,7,1,3.3,399,380,0,0,1.4,6.8,2020-07-26T15:00:00Z,67,2,0,0,0,0,47,0,25760,1,1,4.0,3,83,514,431,60,True,0,West Ham,Aston Villa,2,2,2,3.9166666666666665,0,2.1,0,1,0.2,0.2,1.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0
0,0,8,0,1.9,450,6,1,0,2.5,4.6,2020-09-12T19:00:00Z,66,14,0,0,0,0,1,0,6389,2,0,18.0,2,0,0,0,65,True,0,West Ham,Newcastle,4,2,2,7.0,0,1.4,-2,1,0.2,0.4,0.6,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
