assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
1,2,36,1,22.4,142,3,0,0,8.1,35.6,2018-08-11T14:00:00Z,90,9,0,0,0,0,1,0,244166,2,0,23.0,11,0,0,0,55,False,0,Crystal Palace,Fulham,2,2,1,7.0,2,8.1,2,0,1.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,12,0,1.8,142,15,2,0,1.8,12.6,2018-08-20T19:00:00Z,90,12,0,0,0,0,2,0,304696,2,0,4.0,0,19439,35337,15898,55,True,1,Crystal Palace,Liverpool,2,4,1,9.208333333333334,2,8.1,-2,1,1.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,12,0,5.7,142,29,2,0,3.8,12.6,2018-08-26T12:30:00Z,90,18,0,0,0,0,3,0,307991,1,2,20.0,1,-4170,27702,31872,55,False,0,Crystal Palace,Watford,2,3,1,5.729166666666668,0,1.8,-1,0,0.5,0.5,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,0,0
0,0,13,0,22.8,142,35,2,0,7.3,13.6,2018-09-01T14:00:00Z,90,16,0,0,0,0,4,0,297381,2,0,37.0,1,-14634,13472,28106,55,True,0,Crystal Palace,Southampton,2,2,1,5.0625,0,3.8,-2,1,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,1,0,0
0,0,23,1,2.2,142,44,0,0,1.1,9.0,2018-09-15T14:00:00Z,90,10,0,0,0,0,5,0,266708,1,0,0.0,6,-32326,6344,38670,55,False,0,Crystal Palace,Huddersfield,2,2,1,5.0,0,7.3,1,0,0.25,0.25,1.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.75,1,0,0
0,0,21,1,3.9,142,55,0,0,3.5,10.2,2018-09-22T14:00:00Z,90,15,0,0,0,0,6,0,265053,0,0,21.0,6,-4069,9824,13893,55,True,0,Crystal Palace,Newcastle,2,2,1,7.0,0,1.1,0,1,0.2,0.4,1.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4,1,0,0
0,3,25,0,18.4,142,62,2,1,8.6,49.0,2018-10-01T19:00:00Z,90,2,0,0,0,0,7,0,264372,1,2,19.0,10,-1783,9424,11207,55,False,0,Crystal Palace,Bournemouth,2,3,1,9.208333333333334,0,3.5,-1,0,0.0,0.4,1.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,10,0,8.1,142,73,1,0,4.0,11.8,2018-10-06T14:00:00Z,90,20,0,0,0,0,8,0,281692,1,0,20.0,1,12377,20935,8558,55,True,1,Crystal Palace,Wolves,2,3,1,4.791666666666667,3,8.6,-1,1,0.0,0.4,1.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,17,0,4.3,142,85,2,0,1.9,12.2,2018-10-21T15:00:00Z,90,8,0,0,0,0,9,0,267281,0,2,2.0,1,-14367,9228,23595,55,False,0,Crystal Palace,Everton,2,3,1,5.0,0,4.0,-2,0,0.0,0.4,1.0,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,14,0,13.1,142,93,2,0,3.2,12.4,2018-10-28T13:30:00Z,90,1,0,0,0,0,10,0,246998,2,2,6.0,1,-20142,1575,21717,55,True,0,Crystal Palace,Arsenal,2,4,1,6.9375,0,1.9,0,1,0.0,0.4,1.0,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,1,0,0
0,0,12,0,1.7,142,104,3,0,1.3,7.6,2018-11-04T16:00:00Z,90,6,0,0,0,0,11,0,228925,1,3,4.0,1,-19015,1462,20477,54,False,0,Crystal Palace,Chelsea,2,4,1,6.104166666666668,0,3.2,-2,0,0.0,0.2,1.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.8,1,0,0
0,0,5,0,2.0,142,114,1,0,1.6,7.8,2018-11-10T17:30:00Z,90,17,0,0,0,0,12,0,218671,1,0,6.0,2,-11044,1539,12583,54,True,0,Crystal Palace,Spurs,2,4,1,6.0625,0,1.3,-1,1,0.0,0.0,2.0,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1,0,0
