assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,5,0,12.2,23,1,2,0,1.4,1.0,2018-08-12T15:00:00Z,90,13,0,0,0,0,1,0,924935,2,0,1.0,2,0,0,0,110,True,0,Arsenal,Man City,4,4,2,7.0,0,1.4,-2,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,-4,0,11.1,23,14,3,0,4.7,4.2,2018-08-18T16:30:00Z,90,6,0,0,0,0,2,0,903963,2,3,32.0,2,-88089,19244,107333,110,False,0,Arsenal,Chelsea,4,4,2,6.0625,0,1.4,-1,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,12,0,52.3,23,21,1,0,9.4,13.4,2018-08-25T14:00:00Z,74,19,0,0,0,0,3,0,865202,1,3,28.0,2,-60940,107697,168637,110,True,0,Arsenal,West Ham,4,3,2,6.895833333333332,0,4.7,2,1,0.0,0.0,2.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0
0,2,33,0,6.2,23,33,2,1,7.5,39.6,2018-09-02T12:30:00Z,88,5,0,0,0,0,4,0,744360,3,2,29.0,8,-125640,22584,148224,109,False,0,Arsenal,Cardiff,4,2,2,6.9375,0,9.4,1,0,0.0,0.0,2.0,0.0,84.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1,0,0
1,0,12,1,4.0,23,46,0,0,1.6,0.0,2018-09-15T14:00:00Z,68,15,0,0,0,0,5,0,698556,2,1,12.0,5,-58195,25691,83886,109,False,0,Arsenal,Newcastle,4,3,2,5.0,2,7.5,1,0,0.0,0.0,2.0,0.25,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,1,32,1,12.5,23,51,0,1,8.5,41.4,2018-09-23T15:00:00Z,68,8,0,0,0,0,6,0,637110,0,2,31.0,7,-64753,18571,83324,109,True,0,Arsenal,Everton,4,2,2,8.041666666666666,0,1.6,2,1,0.2,0.2,1.6,0.2,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,9,1,13.0,23,61,0,0,2.0,4.8,2018-09-29T14:00:00Z,76,18,0,0,0,0,7,0,624075,0,2,2.0,2,-19156,19938,39094,108,True,0,Arsenal,Watford,4,3,2,5.958333333333332,1,8.5,2,1,0.2,0.4,1.2,0.4,77.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
1,3,61,0,11.6,23,74,0,2,13.5,83.2,2018-10-07T11:00:00Z,28,9,0,0,0,0,8,0,494015,5,1,40.0,15,-127393,5657,133050,108,False,0,Arsenal,Fulham,4,2,2,7.875,0,2.0,4,0,0.2,0.6,0.6,0.4,74.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,3,59,0,2.5,23,81,0,2,14.3,70.8,2018-10-22T19:00:00Z,29,11,0,0,0,0,9,0,546595,1,3,70.0,12,39013,67009,27996,107,True,0,Arsenal,Leicester,4,3,2,5.0,3,13.5,2,1,0.4,0.6,0.4,0.8,65.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,2,28,0,4.1,23,93,1,1,10.8,40.2,2018-10-28T13:30:00Z,77,7,0,0,0,0,10,0,802073,2,2,64.0,8,233268,245845,12577,108,False,0,Arsenal,Crystal Palace,4,2,2,5.770833333333332,3,14.3,0,0,0.4,0.6,0.0,1.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
0,0,7,0,14.9,23,101,1,0,4.6,1.4,2018-11-03T17:30:00Z,72,12,0,0,0,0,11,0,893574,1,1,30.0,2,98774,150164,51390,109,True,0,Arsenal,Liverpool,4,4,2,5.166666666666667,2,10.8,0,1,0.2,0.4,0.2,1.2,55.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,4.9,23,111,1,0,1.0,0.0,2018-11-11T16:30:00Z,90,20,0,0,0,0,12,0,957596,1,1,6.0,2,52201,95551,43350,109,True,0,Arsenal,Wolves,4,3,2,7.958333333333332,0,4.6,0,1,0.2,0.2,0.4,1.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,2,31,0,27.0,23,121,1,1,11.1,36.4,2018-11-25T13:30:00Z,90,2,0,0,0,0,13,0,878761,2,1,48.0,8,-75137,35954,111091,109,False,0,Arsenal,Bournemouth,4,3,2,5.0,0,1.0,1,0,0.2,0.0,0.6,1.0,59.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
1,3,64,0,23.0,23,131,2,2,15.0,91.2,2018-12-02T14:05:00Z,90,17,0,0,0,0,14,0,903681,2,4,36.0,16,16988,55744,38756,109,True,0,Arsenal,Spurs,4,4,2,7.0243055555555545,2,11.1,2,1,0.0,0.0,0.8,0.8,71.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
0,0,-1,0,5.0,23,145,2,0,3.9,10.2,2018-12-05T20:00:00Z,90,14,0,0,0,0,15,0,1430386,2,2,24.0,2,510631,525322,14691,111,False,0,Arsenal,Man Utd,4,4,2,3.2465277777777777,3,15.0,0,0,0.2,0.0,1.2,0.8,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0,0
