assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,19,1,0,0,0.0,0.0,2018-08-12T15:00:00Z,0,13,0,0,0,0,1,0,33287,2,0,0.0,0,0,0,0,45,True,0,Arsenal,Man City,4,4,2,7.0,0,0.0,-2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,0,0,0.0,19,14,0,0,0.0,0.0,2018-08-18T16:30:00Z,0,6,0,0,0,0,2,0,38393,2,3,0.0,0,-4206,872,5078,45,False,0,Arsenal,Chelsea,4,4,2,6.0625,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,0,0,0.0,19,21,0,0,0.0,0.0,2018-08-25T14:00:00Z,0,19,0,0,0,0,3,0,37211,1,3,0.0,0,-4537,847,5384,45,True,0,Arsenal,West Ham,4,3,2,6.895833333333332,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0
0,0,0,0,0.0,19,33,0,0,0.0,0.0,2018-09-02T12:30:00Z,0,5,0,0,0,0,4,0,38720,3,2,0.0,0,-2310,2005,4315,44,False,0,Arsenal,Cardiff,4,2,2,6.9375,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1,0,0
0,0,0,0,0.0,19,46,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,15,0,0,0,0,5,0,33462,2,1,0.0,0,-6513,213,6726,44,False,0,Arsenal,Newcastle,4,3,2,5.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,19,51,0,0,0.0,0.0,2018-09-23T15:00:00Z,0,8,0,0,0,0,6,0,31377,0,2,0.0,0,-2682,29,2711,44,True,0,Arsenal,Everton,4,2,2,8.041666666666666,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0,0
0,0,0,0,0.0,19,61,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,18,0,0,0,0,7,0,30116,0,2,0.0,0,-1668,21,1689,44,True,0,Arsenal,Watford,4,3,2,5.958333333333332,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,19,74,0,0,0.0,0.0,2018-10-07T11:00:00Z,0,9,0,0,0,0,8,0,29340,5,1,0.0,0,-919,18,937,44,False,0,Arsenal,Fulham,4,2,2,7.875,0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,0,0,0.0,19,81,0,0,0.0,0.0,2018-10-22T19:00:00Z,0,11,0,0,0,0,9,0,28393,1,3,0.0,0,-1090,24,1114,44,True,0,Arsenal,Leicester,4,3,2,5.0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,0,0,0.0,19,93,0,0,0.0,0.0,2018-10-28T13:30:00Z,0,7,0,0,0,0,10,0,27847,2,2,0.0,0,-606,11,617,44,False,0,Arsenal,Crystal Palace,4,2,2,5.770833333333332,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1,0,0
