assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
1,0,23,1,29.5,257,5,0,0,6.7,22.6,2018-08-12T12:30:00Z,68,19,0,0,0,0,1,0,1687015,0,4,15.0,5,0,0,0,95,True,0,Liverpool,West Ham,5,3,3,7.0,0,6.7,4,1,1.0,1.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
0,0,11,1,17.9,257,15,0,0,3.3,8.0,2018-08-20T19:00:00Z,90,7,0,0,0,0,2,0,1829586,2,0,7.0,2,-9692,75351,85043,95,False,0,Liverpool,Crystal Palace,4,2,3,8.270833333333334,0,6.7,2,0,1.0,1.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0
1,0,11,1,15.3,257,25,0,0,12.6,27.8,2018-08-25T16:30:00Z,90,3,0,0,0,0,3,0,1645297,0,1,83.0,5,-208331,69191,277522,95,True,0,Liverpool,Brighton,5,2,3,4.895833333333333,0,3.3,1,1,0.5,1.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0
0,1,26,0,13.4,257,37,1,1,10.4,46.2,2018-09-01T11:30:00Z,90,11,0,0,0,0,4,0,1512854,2,1,44.0,7,-154250,34316,188566,95,False,0,Liverpool,Leicester,4,3,3,5.791666666666668,0,12.6,1,0,0.6666666666666666,1.0,0.0,0.0,82.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1,0,0
0,3,39,1,15.4,257,48,0,1,9.5,40.8,2018-09-15T11:30:00Z,73,17,0,0,0,0,5,0,1427095,2,1,39.0,9,-106784,44023,150807,94,False,0,Liverpool,Spurs,4,4,3,5.0,1,10.4,1,0,0.5,0.75,0.25,0.25,84.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,7,1,22.7,257,58,0,0,6.3,8.6,2018-09-22T14:00:00Z,90,16,0,0,0,0,6,0,1451654,0,3,32.0,2,4414,84280,79866,94,True,0,Liverpool,Southampton,5,2,3,7.104166666666668,3,9.5,3,1,0.4,0.8,0.2,0.4,82.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,0,15,0,47.3,257,64,1,0,11.0,12.6,2018-09-29T16:30:00Z,90,6,0,0,0,0,7,0,1379378,1,1,50.0,2,-75750,28416,104166,94,False,0,Liverpool,Chelsea,4,4,3,7.104166666666668,0,6.3,0,0,0.2,0.8,0.2,0.4,86.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1,0,0
0,0,3,1,1.7,257,76,0,0,0.6,0.0,2018-10-07T15:30:00Z,71,13,0,0,0,0,8,0,1287583,0,0,4.0,2,-96803,17348,114151,94,True,0,Liverpool,Man City,5,4,3,7.958333333333332,0,11.0,0,1,0.2,0.6,0.4,0.4,86.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,1,0,0.3,257,86,0,0,0.0,0.0,2018-10-20T16:30:00Z,13,10,0,0,0,0,9,0,1258700,1,0,1.0,1,-44945,61741,106686,93,False,0,Liverpool,Huddersfield,4,2,3,5.0,0,0.6,1,0,0.0,0.6,0.4,0.4,82.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,11,1,16.4,257,96,0,0,3.3,7.2,2018-10-27T14:00:00Z,70,5,0,0,0,0,10,0,1261777,1,4,9.0,2,-4856,72141,76997,93,True,0,Liverpool,Cardiff,5,2,3,6.895833333333332,0,0.0,3,1,0.0,0.6,0.2,0.2,67.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,-4,1,2.1,257,101,0,0,1.9,0.0,2018-11-03T17:30:00Z,79,1,0,0,0,0,11,0,1128738,1,1,22.0,2,-128261,19959,148220,93,False,0,Liverpool,Arsenal,4,4,3,6.145833333333332,0,3.3,0,0,0.0,0.6,0.2,0.0,66.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1,0,0
0,0,16,1,59.6,257,117,0,0,9.6,17.6,2018-11-11T12:00:00Z,90,9,0,0,0,0,12,0,1063775,0,2,19.0,2,-72199,25156,97355,92,True,0,Liverpool,Fulham,5,2,3,7.770833333333332,0,1.9,2,1,0.0,0.6,0.2,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
1,3,46,1,17.5,257,128,0,1,12.1,43.6,2018-11-24T15:00:00Z,90,18,0,0,0,0,13,0,1006917,3,0,60.0,12,-59826,23963,83789,92,False,0,Liverpool,Watford,4,3,3,5.0,0,9.6,3,0,0.0,0.8,0.0,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0,0
0,0,8,1,13.5,257,137,0,0,3.4,3.2,2018-12-02T16:15:00Z,83,8,0,0,0,0,14,0,1026529,0,1,17.0,2,14967,37396,22429,92,True,0,Liverpool,Everton,5,2,3,8.052083333333334,3,12.1,1,1,0.2,0.8,0.0,0.2,68.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
0,2,31,0,11.5,257,143,0,1,8.5,38.2,2018-12-05T19:45:00Z,24,4,0,0,0,0,15,0,989784,3,1,35.0,7,-36354,23186,59540,92,False,0,Liverpool,Burnley,4,3,3,3.145833333333333,0,3.4,2,0,0.2,1.0,0.0,0.2,82.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1,0,0
