assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,0.0,450,8,0,0,0.0,0.0,2019-08-10T11:30:00Z,0,11,0,0,0,0,1,0,18181,5,0,0.0,0,0,0,0,45,True,0,West Ham,Man City,2,4,0,7.0,0,0.0,-5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1,0
0,0,0,0,0.0,450,13,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,4,0,0,0,0,2,0,18735,1,1,0.0,0,-1322,266,1588,45,False,0,West Ham,Brighton,2,2,0,7.104166666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1,0
0,0,0,0,0.0,450,29,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,18,0,0,0,0,3,0,18445,3,1,0.0,0,-989,191,1180,45,False,0,West Ham,Watford,2,3,0,7.0,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1,0
0,0,0,0,0.0,450,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,14,0,0,0,0,4,0,18178,0,2,0.0,0,-795,168,963,45,True,0,West Ham,Norwich,2,2,0,7.0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,0,0,0.0,450,41,0,0,0.0,0.0,2019-09-16T19:00:00Z,0,2,0,0,0,0,5,0,17988,0,0,0.0,0,-678,163,841,45,False,0,West Ham,Aston Villa,2,2,0,5.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1,0
0,0,0,0,0.0,450,60,0,0,0.0,0.0,2019-09-22T13:00:00Z,0,12,0,0,0,0,6,0,17878,0,2,0.0,0,-383,93,476,45,True,0,West Ham,Man Utd,2,4,0,5.75,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,11,0,0.0,450,62,1,0,2.0,20.4,2019-09-28T14:00:00Z,56,3,0,0,0,0,7,3,17854,2,2,0.0,2,-280,298,578,44,False,0,West Ham,Bournemouth,2,2,0,6.041666666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,0
0,0,10,0,0.0,450,80,2,0,0.7,7.0,2019-10-05T16:30:00Z,90,7,0,0,0,0,8,1,38263,2,1,0.0,1,17973,19150,1177,44,True,0,West Ham,Crystal Palace,2,3,0,7.104166666666668,0,2.0,-1,1,0.0,0.0,0.2,0.0,11.2,0.6,0.0,0.0,0.0,0.0,0.0,1.2,1,0
0,1,28,0,0.0,450,85,2,0,5.4,54.0,2019-10-19T11:30:00Z,90,8,0,0,0,0,9,9,41393,0,2,0.0,5,4234,7809,3575,44,False,0,West Ham,Everton,2,4,0,5.0,0,0.7,-2,0,0.0,0.0,0.6,0.0,29.2,0.8,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,13,0,0.0,450,100,1,0,1.9,19.0,2019-10-26T14:00:00Z,90,15,0,0,0,0,10,2,58562,1,1,0.0,2,16022,17414,1392,44,True,0,West Ham,Sheffield Utd,2,3,0,7.104166666666668,1,5.4,0,1,0.0,0.0,1.0,0.0,47.2,2.6,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,18,0,0.0,450,110,3,0,3.7,37.4,2019-11-02T15:00:00Z,90,13,0,0,0,0,11,6,62825,3,2,0.0,3,3707,6665,2958,44,True,0,West Ham,Newcastle,2,2,0,6.041666666666668,0,1.9,-1,1,0.0,0.0,1.2,0.0,65.2,3.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,26,0,0.0,450,111,3,0,5.7,56.6,2019-11-09T15:00:00Z,90,5,1,0,0,0,12,10,60497,0,3,0.0,2,-2147,3271,5418,44,False,0,West Ham,Burnley,2,3,0,7.0,0,3.7,-3,0,0.0,0.0,1.8,0.0,83.2,4.2,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,14,0,0.0,450,130,3,0,2.6,26.0,2019-11-23T12:30:00Z,90,17,0,0,0,0,13,3,57618,3,2,0.0,2,-3501,4407,7908,44,True,0,West Ham,Spurs,2,3,0,5.0,0,5.7,-1,1,0.0,0.0,2.2,0.0,90.0,5.6,0.0,0.2,0.0,0.0,0.0,-1.4,1,0
0,0,0,0,0.0,450,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,6,0,0,0,0,14,0,53131,1,0,0.0,0,-4687,2172,6859,44,False,0,West Ham,Chelsea,2,4,0,7.104166666666668,0,2.6,1,0,0.0,0.0,2.4,0.0,90.0,6.0,0.0,0.2,0.0,0.0,0.0,-1.4,1,0
0,0,0,0,0.0,450,146,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,20,0,0,0,0,15,0,44673,0,2,0.0,0,-8624,636,9260,44,False,0,West Ham,Wolves,2,3,0,4.1875,0,0.0,-2,0,0.0,0.0,2.0,0.0,72.0,4.2,0.0,0.2,0.0,0.0,0.0,-0.8,1,0
0,0,0,0,0.0,450,160,0,0,0.0,0.0,2019-12-09T20:00:00Z,0,1,0,0,0,0,16,0,40533,3,1,0.0,0,-4270,502,4772,44,True,0,West Ham,Arsenal,2,3,0,5.020833333333333,0,0.0,-2,1,0.0,0.0,1.8,0.0,54.0,3.8,0.0,0.2,0.0,0.0,0.0,-1.2,1,0
