assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,6,0,18.6,184,3,2,0,5.8,14.2,2018-08-11T14:00:00Z,90,7,0,0,0,0,1,0,472564,2,0,25.0,2,0,0,0,65,True,0,Fulham,Crystal Palace,2,2,1,7.0,0,5.8,-2,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
1,0,13,0,16.7,184,19,3,0,9.5,21.4,2018-08-18T14:00:00Z,90,17,0,0,0,0,2,0,415133,1,3,57.0,5,-75071,4752,79823,65,False,0,Fulham,Spurs,2,4,1,7.0,0,5.8,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,4,0,10.3,184,23,0,0,1.7,4.2,2018-08-26T15:00:00Z,1,4,0,0,0,0,3,0,386798,2,4,2.0,1,-36216,12764,48980,64,True,0,Fulham,Burnley,2,2,1,8.041666666666666,0,9.5,2,1,0.5,0.0,2.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,3,0,0.4,184,31,1,0,3.0,10.2,2018-09-01T14:00:00Z,16,3,0,0,0,0,4,0,321174,2,2,19.0,1,-67065,4450,71515,64,False,0,Fulham,Brighton,2,2,1,4.958333333333333,0,1.7,0,0,0.3333333333333333,0.0,1.6666666666666667,0.0,60.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,10,0,21.9,184,45,3,0,3.7,8.8,2018-09-15T14:00:00Z,90,13,0,0,0,0,5,0,253130,0,3,6.0,2,-69802,1778,71580,63,False,0,Fulham,Man City,2,5,1,5.0,0,3.0,-3,0,0.25,0.0,1.5,0.0,49.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0
0,0,17,0,5.8,184,56,1,0,2.7,16.8,2018-09-22T11:30:00Z,90,18,0,0,0,0,6,0,219583,1,1,4.0,2,-35309,1118,36427,62,True,0,Fulham,Watford,2,3,1,6.895833333333332,0,3.7,0,1,0.2,0.0,1.8,0.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,1,0,11.5,184,65,3,0,2.7,5.8,2018-09-29T14:00:00Z,90,8,0,0,0,0,7,0,195136,0,3,10.0,2,-25193,633,25826,62,False,0,Fulham,Everton,2,3,1,7.104166666666668,0,2.7,-3,0,0.2,0.0,1.6,0.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0,0
0,0,15,0,25.5,184,74,5,0,4.5,15.0,2018-10-07T11:00:00Z,90,1,0,0,0,0,8,0,182036,5,1,4.0,2,-13534,690,14224,61,True,0,Fulham,Arsenal,2,4,1,7.875,0,2.7,-4,1,0.0,0.0,1.6,0.0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0,0
0,1,30,0,26.7,184,83,4,1,10.6,48.8,2018-10-20T14:00:00Z,90,5,0,0,0,0,9,0,169979,2,4,30.0,8,-12731,1693,14424,61,False,0,Fulham,Cardiff,2,2,1,5.0,0,4.5,-2,0,0.0,0.0,2.6,0.0,75.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0,0
0,0,11,0,2.7,184,94,3,0,1.9,10.2,2018-10-27T14:00:00Z,90,2,0,0,0,0,10,0,170043,3,0,6.0,2,-747,3618,4365,61,True,0,Fulham,Bournemouth,2,2,1,7.0,1,10.6,-3,1,0.0,0.0,3.2,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,1,0,0
