assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,3,0,1.2,431,10,0,0,0.3,2.2,2018-08-11T16:30:00Z,14,8,0,0,0,0,1,0,7145,2,2,0.0,1,0,0,0,45,True,0,Wolves,Everton,3,2,1,7.0,0,0.3,0,1,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,431,17,0,0,0.0,0.0,2018-08-18T14:00:00Z,0,11,0,0,0,0,2,0,7219,0,2,0.0,0,-590,129,719,45,False,0,Wolves,Leicester,3,3,1,6.895833333333332,0,0.3,-2,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,5,0,14.0,431,30,0,0,1.9,5.0,2018-08-25T11:30:00Z,5,13,0,0,0,0,3,0,6349,1,1,0.0,1,-1028,56,1084,45,True,0,Wolves,Man City,3,4,1,6.895833333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0,0
0,0,2,0,0.5,431,40,0,0,0.0,0.0,2018-09-01T14:00:00Z,3,19,0,0,0,0,4,0,6128,1,0,0.0,1,-396,142,538,44,False,0,Wolves,West Ham,3,3,1,6.104166666666668,0,1.9,1,0,0.0,0.0,0.0,0.0,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0,0
0,0,0,0,0.0,431,50,0,0,0.0,0.0,2018-09-16T12:30:00Z,0,4,0,0,0,0,5,0,5808,0,1,0.0,0,-393,85,478,44,True,0,Wolves,Burnley,3,2,1,5.0,0,0.0,1,1,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1,0,0
0,0,0,0,0.0,431,59,0,0,0.0,0.0,2018-09-22T14:00:00Z,0,14,0,0,0,0,6,0,5519,1,1,0.0,0,-309,52,361,44,False,0,Wolves,Man Utd,3,4,1,6.0625,0,0.0,0,0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,431,70,0,0,0.0,0.0,2018-09-29T14:00:00Z,0,16,0,0,0,0,7,0,5246,0,2,0.0,0,-296,41,337,44,True,0,Wolves,Southampton,3,2,1,7.0,0,0.0,2,1,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0,0,0,0,0.0,431,73,0,0,0.0,0.0,2018-10-06T14:00:00Z,0,7,0,0,0,0,8,0,5103,1,0,0.0,0,-178,24,202,43,False,0,Wolves,Crystal Palace,3,2,1,7.0,0,0.0,1,0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,5,0,16.2,431,90,0,0,2.4,5.6,2018-10-20T14:00:00Z,45,18,0,0,0,0,9,0,4927,2,0,2.0,1,-196,66,262,43,True,0,Wolves,Watford,3,3,1,5.0,0,0.0,-2,1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,0,0,0.0,431,91,0,0,0.0,0.0,2018-10-27T14:00:00Z,0,3,0,0,0,0,10,0,4868,0,1,0.0,0,-83,40,123,43,False,0,Wolves,Brighton,3,2,1,7.0,0,2.4,-1,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,0,0
