assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1920,Season_2021
0,0,0,0,0.0,537,43,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,5,0,0,0,0,5,0,0,1,1,0.0,0,0,0,0,45,True,0,Brighton,Burnley,2,3,2,7.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,10,1,24.4,537,58,0,0,4.1,10.4,2019-09-21T16:30:00Z,90,13,0,0,0,0,6,0,282,0,0,6.0,3,156,184,28,45,False,0,Brighton,Newcastle,2,2,2,7.104166666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,11,0,6.5,537,63,2,0,3.7,8.4,2019-09-28T14:00:00Z,90,6,0,0,0,0,7,0,1434,0,2,22.0,1,953,1172,219,45,False,1,Brighton,Chelsea,2,4,2,6.895833333333332,0,4.1,-2,0,0.0,0.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,14,1,3.8,537,72,0,0,1.8,11.8,2019-10-05T11:30:00Z,87,17,0,0,0,0,8,0,2069,0,3,2.0,3,547,801,254,45,True,0,Brighton,Spurs,2,3,2,6.895833333333332,0,3.7,3,1,0.0,0.3333333333333333,0.6666666666666666,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.6666666666666666,1,0
0,0,3,0,0.1,537,81,1,0,1.0,1.4,2019-10-19T14:00:00Z,9,2,0,0,0,0,9,0,2452,1,2,8.0,1,379,825,446,45,False,0,Brighton,Aston Villa,2,2,2,5.0,0,1.8,-1,0,0.0,0.5,0.5,0.0,66.75,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1,0
0,0,8,0,3.8,537,92,2,0,4.6,7.6,2019-10-26T14:00:00Z,90,8,0,0,0,0,10,0,2524,2,3,35.0,2,23,265,242,45,True,0,Brighton,Everton,2,2,2,7.0,0,1.0,1,1,0.0,0.4,0.6,0.0,55.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1,0
0,0,11,1,26.0,537,104,0,0,7.2,12.2,2019-11-02T15:00:00Z,90,14,0,0,0,0,11,0,3319,0,2,34.0,3,656,1040,384,45,True,0,Brighton,Norwich,2,2,2,6.041666666666668,0,4.6,2,1,0.0,0.4,1.0,0.0,73.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1,0
0,0,21,0,23.6,537,115,3,0,4.6,20.8,2019-11-10T14:00:00Z,90,12,0,0,0,0,12,0,4252,1,3,2.0,2,808,1147,339,45,False,0,Brighton,Man Utd,2,4,2,7.958333333333332,0,7.2,-2,0,0.0,0.4,1.0,0.0,73.2,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1,0
0,0,0,0,0.0,537,124,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,9,0,0,0,0,13,0,5658,2,0,0.0,0,1202,1781,579,45,True,0,Brighton,Leicester,2,3,2,5.0,0,4.6,-2,1,0.0,0.4,1.2,0.0,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,0
0,0,6,0,19.6,537,134,0,0,2.8,8.6,2019-11-30T15:00:00Z,21,10,0,0,0,0,14,0,5383,1,2,0.0,1,-174,480,654,45,False,0,Brighton,Liverpool,2,5,2,7.0,0,0.0,-1,0,0.0,0.2,1.2,0.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
