assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_1920,Season_2021
0,0,0,0,0.0,353,7,0,0,0.0,0.0,2018-08-11T11:30:00Z,0,15,0,0,0,0,1,0,159975,2,1,0.0,0,0,0,0,60,False,0,Spurs,Newcastle,4,3,1,7.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,16,0,2.3,353,19,1,0,1.8,10.6,2018-08-18T14:00:00Z,90,9,0,0,0,0,2,0,151472,1,3,5.0,2,-25582,2153,27735,60,True,0,Spurs,Fulham,4,2,1,7.104166666666668,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
0,0,34,1,0.1,353,26,0,0,2.8,28.0,2018-08-27T19:00:00Z,90,14,0,0,0,0,3,0,143063,3,0,0.0,6,-13742,1698,15440,59,False,0,Spurs,Man Utd,4,4,1,9.208333333333334,0,1.8,3,0,0.0,0.0,0.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1,0,0
0,0,15,0,18.9,353,39,2,0,3.8,19.4,2018-09-02T15:00:00Z,80,18,0,0,0,0,4,0,149821,1,2,0.0,1,523,7629,7106,59,False,0,Spurs,Watford,4,3,1,4.833333333333333,0,2.8,-1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0
0,0,16,0,0.3,353,48,2,0,3.0,29.4,2018-09-15T11:30:00Z,90,12,0,0,0,0,5,0,145591,2,1,0.0,1,-7508,2331,9839,59,True,0,Spurs,Liverpool,4,4,1,5.0,0,3.8,-1,1,0.0,0.25,0.75,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1,0,0
0,0,16,0,0.8,353,52,1,0,3.5,17.6,2018-09-22T16:30:00Z,90,3,0,0,0,0,6,0,145048,2,1,17.0,2,-2948,2851,5799,59,False,0,Spurs,Brighton,4,2,1,7.208333333333332,0,3.0,1,0,0.0,0.2,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,26,1,10.6,353,66,0,0,2.8,17.4,2018-09-29T14:00:00Z,90,10,0,0,0,0,7,0,147463,2,0,0.0,6,284,4826,4542,59,False,0,Spurs,Huddersfield,4,2,1,6.895833333333332,0,3.5,2,0,0.0,0.2,1.2,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,0,25,1,1.1,353,79,0,0,2.0,18.8,2018-10-06T14:00:00Z,90,5,0,0,0,0,8,0,156360,0,1,0.0,5,6798,9657,2859,59,True,1,Spurs,Cardiff,4,2,1,7.0,0,2.8,1,1,0.0,0.4,1.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1,0,0
0,1,27,1,0.1,353,89,0,0,2.3,19.2,2018-10-20T14:00:00Z,90,19,0,0,0,0,9,0,159506,1,0,4.0,7,2100,7047,4947,59,False,0,Spurs,West Ham,4,3,1,5.0,0,2.0,1,0,0.0,0.4,1.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1,0,0
0,0,13,0,0.3,353,99,1,0,5.5,21.6,2018-10-29T20:00:00Z,90,13,0,0,0,0,10,0,158134,1,0,33.0,2,-2163,2879,5042,59,True,0,Spurs,Man City,4,4,1,9.25,1,2.3,-1,1,0.0,0.6,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1,0,0
