assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_1819,Season_2021
0,0,15,0,20.3,182,3,2,0,4.5,16.8,2018-08-11T14:00:00Z,90,7,0,0,0,0,1,0,153810,2,0,8.0,2,0,0,0,50,True,0,Fulham,Crystal Palace,2,2,2,7.0,0,4.5,-2,1,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,16,0,36.2,182,19,1,0,5.6,11.6,2018-08-18T14:00:00Z,72,17,0,0,0,0,2,0,138679,1,3,8.0,2,-18141,1874,20015,50,False,0,Fulham,Spurs,2,4,2,7.0,0,4.5,-2,0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
1,0,29,0,25.7,182,23,2,0,5.6,30.4,2018-08-26T15:00:00Z,77,4,0,0,0,0,3,0,122864,2,4,0.0,5,-16758,4960,21718,49,True,0,Fulham,Burnley,2,2,2,8.041666666666666,0,5.6,2,1,0.0,0.0,1.5,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,0,0,0.0,182,31,0,0,0.0,0.0,2018-09-01T14:00:00Z,0,3,0,0,0,0,4,0,103184,2,2,0.0,0,-20115,7801,27916,49,False,0,Fulham,Brighton,2,2,2,4.958333333333333,0,5.6,0,0,0.3333333333333333,0.0,1.6666666666666667,0.0,79.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1,0
0,0,0,0,0.0,182,45,0,0,0.0,0.0,2018-09-15T14:00:00Z,0,13,0,0,0,0,5,0,76651,0,3,0.0,0,-26582,1026,27608,49,False,0,Fulham,Man City,2,5,2,5.0,0,0.0,-3,0,0.25,0.0,1.25,0.0,59.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0
0,0,0,0,0.0,182,56,0,0,0.0,0.0,2018-09-22T11:30:00Z,0,18,0,0,0,0,6,0,60640,1,1,0.0,0,-16371,438,16809,48,True,0,Fulham,Watford,2,3,2,6.895833333333332,0,0.0,0,1,0.2,0.0,1.0,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,4,0,2.5,182,65,2,0,0.6,3.0,2018-09-29T14:00:00Z,26,8,0,0,0,0,7,0,54009,0,3,0.0,1,-6828,311,7139,48,False,0,Fulham,Everton,2,3,2,7.104166666666668,0,0.0,-3,0,0.2,0.0,0.6,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,0,0,0.0,182,74,0,0,0.0,0.0,2018-10-07T11:00:00Z,0,1,0,0,0,0,8,0,52202,5,1,0.0,0,-1907,781,2688,48,True,0,Fulham,Arsenal,2,4,2,7.875,0,0.6,-4,1,0.2,0.0,0.8,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,0,0,0.0,182,83,0,0,0.0,0.0,2018-10-20T14:00:00Z,0,5,0,0,0,0,9,0,45182,2,4,0.0,0,-7049,348,7397,48,False,0,Fulham,Cardiff,2,2,2,5.0,0,0.0,-2,0,0.0,0.0,0.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,4,0,12.3,182,94,2,0,1.7,4.2,2018-10-27T14:00:00Z,30,2,0,0,0,0,10,0,41070,3,0,0.0,1,-4127,182,4309,48,True,0,Fulham,Bournemouth,2,2,2,7.0,0,0.0,-3,1,0.0,0.0,0.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,1,0
0,0,13,0,15.3,182,106,1,0,2.4,8.8,2018-11-05T20:00:00Z,90,10,0,0,0,0,11,0,38748,0,1,0.0,2,-2456,313,2769,48,False,0,Fulham,Huddersfield,2,2,2,8.25,0,1.7,-1,0,0.0,0.0,0.8,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,1,0
0,0,7,0,32.3,182,117,2,0,4.4,12.0,2018-11-11T12:00:00Z,62,12,0,0,0,0,12,0,36916,0,2,0.0,2,-1845,165,2010,48,False,0,Fulham,Liverpool,2,5,2,5.666666666666668,0,2.4,-2,0,0.0,0.0,1.0,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,1,0
0,0,10,0,14.6,182,125,2,0,2.6,9.6,2018-11-24T15:00:00Z,90,16,0,0,0,0,13,0,35892,2,3,2.0,2,-1107,519,1626,48,True,0,Fulham,Southampton,2,2,2,5.0,0,4.4,1,1,0.0,0.0,1.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,1,0
0,0,21,0,35.4,182,133,1,0,5.0,13.0,2018-12-02T12:00:00Z,75,6,0,0,0,0,14,0,35502,0,2,2.0,2,-432,393,825,48,False,0,Fulham,Chelsea,2,4,2,7.875,0,2.6,-2,0,0.0,0.0,1.4,0.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,9,0,24.3,182,144,1,0,5.1,8.6,2018-12-05T19:45:00Z,45,11,0,0,0,0,15,0,35635,1,1,18.0,1,113,1142,1029,48,True,0,Fulham,Leicester,2,3,2,3.3229166666666665,0,5.0,0,1,0.0,0.0,1.6,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,5,0,11.9,182,158,3,0,1.6,4.0,2018-12-08T15:00:00Z,45,14,0,0,0,0,16,0,34560,1,4,0.0,1,-989,329,1318,48,False,0,Fulham,Man Utd,2,4,2,2.802083333333333,0,5.1,-3,0,0.0,0.0,1.4,0.0,72.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,14,0,18.1,182,163,2,0,5.2,12.6,2018-12-15T17:30:00Z,90,19,0,0,0,0,17,0,33510,2,0,21.0,2,-1164,300,1464,47,True,0,Fulham,West Ham,2,3,2,7.104166666666668,0,1.6,-2,1,0.0,0.0,1.8,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,11,1,7.3,182,178,0,0,1.1,4.0,2018-12-22T15:00:00Z,81,15,0,0,0,0,18,0,32856,0,0,0.0,3,-693,429,1122,47,False,0,Fulham,Newcastle,2,3,2,6.895833333333332,0,5.2,0,0,0.0,0.0,1.8,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,8,0,0.3,182,184,1,0,0.6,5.2,2018-12-26T12:30:00Z,17,20,0,0,0,0,19,0,32473,1,1,0.0,1,-449,668,1117,47,True,0,Fulham,Wolves,2,3,2,3.8958333333333335,0,1.1,0,1,0.0,0.2,1.4,0.0,67.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,10,1,4.3,182,194,0,0,1.5,3.0,2018-12-29T15:00:00Z,90,10,0,0,0,0,20,0,31444,0,1,8.0,3,-1015,389,1404,47,True,0,Fulham,Huddersfield,2,2,2,3.1041666666666665,0,0.6,1,1,0.0,0.2,1.4,0.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,17,0,26.9,182,201,4,0,4.0,11.2,2019-01-01T15:00:00Z,90,1,0,0,0,0,21,0,30966,1,4,2.0,2,-508,442,950,47,False,0,Fulham,Arsenal,2,4,2,7.0,0,1.5,-3,0,0.0,0.4,1.2,0.0,64.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,4,0,12.5,182,212,0,0,1.7,4.2,2019-01-12T15:00:00Z,29,4,0,0,0,0,22,0,30530,1,2,0.0,1,-508,740,1248,47,False,0,Fulham,Burnley,2,3,2,5.0,0,4.0,-1,0,0.0,0.4,1.4,0.0,73.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,0,0,0.0,182,223,0,0,0.0,0.0,2019-01-20T16:00:00Z,0,17,0,0,0,0,23,0,29309,2,1,0.0,0,-1211,281,1492,47,True,0,Fulham,Spurs,2,4,2,8.041666666666666,0,1.7,-1,1,0.0,0.4,1.0,0.0,61.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,11,1,18.5,182,233,0,0,3.2,3.2,2019-01-29T19:45:00Z,63,3,0,0,0,0,24,0,28683,2,4,10.0,3,-680,147,827,47,True,0,Fulham,Brighton,2,2,2,9.15625,0,0.0,2,1,0.0,0.2,1.0,0.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1,0
0,0,14,0,14.5,182,245,2,0,2.9,9.2,2019-02-02T15:00:00Z,90,7,0,0,0,0,25,0,28578,0,2,5.0,2,-140,343,483,46,False,0,Fulham,Crystal Palace,2,2,2,2.802083333333333,0,3.2,-2,0,0.0,0.4,0.8,0.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1,0
0,0,4,0,1.4,182,253,0,0,0.4,1.6,2019-02-09T12:30:00Z,13,14,0,0,0,0,26,0,28393,3,0,1.0,1,-199,359,558,46,True,0,Fulham,Man Utd,2,4,2,6.895833333333332,0,2.9,-3,1,0.0,0.2,1.2,0.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,17,0,27.0,182,270,3,0,6.0,22.8,2019-02-22T19:45:00Z,90,19,0,0,0,0,27,0,27974,1,3,10.0,2,-337,171,508,46,False,0,Fulham,West Ham,2,3,2,5.0,0,0.4,-2,0,0.0,0.2,0.4,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1,0
0,0,9,0,15.3,182,280,2,0,2.1,5.8,2019-02-27T19:45:00Z,68,16,0,0,0,0,28,0,28005,0,2,0.0,2,-111,189,300,46,False,0,Fulham,Southampton,2,2,2,5.0,0,6.0,-2,0,0.0,0.2,1.0,0.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,12,0,25.7,182,285,2,0,7.7,14.0,2019-03-03T14:05:00Z,79,6,0,0,0,0,29,0,27778,2,1,37.0,2,-223,127,350,46,True,0,Fulham,Chelsea,2,4,2,5.7638888888888875,0,2.1,-1,1,0.0,0.2,1.4,0.0,64.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1,0
0,0,12,0,25.6,182,296,3,0,4.3,9.0,2019-03-09T15:00:00Z,90,11,0,0,0,0,30,0,27722,1,3,8.0,2,-76,259,335,46,False,0,Fulham,Leicester,2,3,2,6.0381944444444455,0,7.7,-2,0,0.0,0.0,1.8,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,9,0,13.5,182,305,2,0,2.0,3.6,2019-03-17T14:15:00Z,81,12,0,0,0,0,31,0,27761,2,1,3.0,2,-93,183,276,46,True,0,Fulham,Liverpool,2,4,2,7.96875,0,4.3,-1,1,0.0,0.0,2.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1,0
0,0,11,0,2.4,182,316,2,0,1.0,8.0,2019-03-30T12:30:00Z,69,13,0,0,0,0,32,0,27647,2,0,0.0,2,-146,307,453,46,True,0,Fulham,Man City,2,4,2,5.0,0,2.0,-2,1,0.0,0.0,2.4,0.0,81.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,0,15,0,39.4,182,329,4,0,7.2,28.8,2019-04-02T18:45:00Z,86,18,0,0,0,0,32,0,27647,1,4,4.0,2,-146,307,453,46,False,0,Fulham,Watford,2,3,2,2.2604166666666665,0,1.0,-3,0,0.0,0.0,2.2,0.0,77.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1,0
0,3,36,1,32.6,182,334,0,1,10.6,52.8,2019-04-13T14:00:00Z,90,8,0,0,0,0,34,0,26698,0,2,21.0,11,-449,44,493,46,True,0,Fulham,Everton,2,2,2,5.0,0,7.2,2,1,0.0,0.0,2.6,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1,0
0,0,0,0,0.0,182,342,0,0,0.0,0.0,2019-04-20T14:00:00Z,0,2,0,0,0,0,35,0,27361,1,0,0.0,0,571,988,417,46,False,0,Fulham,Bournemouth,2,3,2,7.0,3,10.6,1,0,0.0,0.2,2.2,0.2,83.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1,0
0,0,10,1,31.1,182,354,0,0,5.4,16.8,2019-04-27T14:00:00Z,90,5,0,0,0,0,36,0,27477,0,1,6.0,3,140,414,274,46,True,0,Fulham,Cardiff,2,2,2,7.0,0,0.0,1,1,0.0,0.2,1.6,0.2,65.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1,0
0,0,16,0,3.2,182,370,1,0,1.0,5.8,2019-05-04T14:00:00Z,90,20,0,0,0,0,37,0,27704,0,1,1.0,2,202,527,325,46,False,0,Fulham,Wolves,2,3,2,7.0,0,5.4,-1,0,0.0,0.4,1.2,0.2,67.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1,0
0,0,16,0,36.3,182,374,4,0,7.5,14.4,2019-05-12T14:00:00Z,90,15,0,0,0,0,38,0,29874,4,0,24.0,2,1868,2403,535,46,True,0,Fulham,Newcastle,2,2,2,8.0,0,1.0,-4,1,0.0,0.4,1.0,0.2,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,11,0,10.2,175,2,3,0,1.7,7.0,2020-09-12T11:30:00Z,90,1,0,0,0,0,1,0,19025,3,0,0.0,1,0,0,0,55,True,1,Fulham,Arsenal,2,3,2,7.0,0,7.5,-3,1,0.0,0.4,1.0,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,0,0,0.0,175,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,10,0,0,0,0,2,0,17689,3,4,0.0,0,-2919,670,3589,55,False,0,Fulham,Leeds,2,3,2,7.104166666666668,0,1.7,-1,0,0.0,0.2,1.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,0,1
0,0,16,0,40.7,175,22,3,0,6.2,18.2,2020-09-28T16:45:00Z,90,2,0,0,0,0,3,0,13733,3,0,3.0,1,-4228,392,4620,54,True,1,Fulham,Aston Villa,2,2,2,9.114583333333334,0,0.0,-3,1,0.0,0.2,1.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,0,1
0,0,13,0,5.8,175,38,1,0,1.7,7.2,2020-10-04T13:00:00Z,90,20,0,0,0,0,4,0,11811,0,1,4.0,2,-2169,256,2425,54,False,0,Fulham,Wolves,2,3,2,5.84375,0,6.2,-1,0,0.0,0.0,2.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.4,-2.4,0,1
0,0,23,0,47.8,175,46,1,0,8.3,26.6,2020-10-18T11:00:00Z,90,15,0,0,0,0,5,0,10081,1,1,9.0,2,-1854,173,2027,53,False,0,Fulham,Sheffield Utd,2,2,2,5.0,0,1.7,0,0,0.0,0.0,2.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.4,-2.4,0,1
0,2,37,0,68.5,175,53,2,1,15.7,60.0,2020-10-24T14:00:00Z,90,6,0,0,0,0,6,0,9395,2,1,28.0,9,-825,152,977,53,True,0,Fulham,Crystal Palace,2,2,2,6.125,0,8.3,-1,1,0.0,0.0,1.6,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.4,-1.6,0,1
0,0,15,1,16.3,175,61,0,0,5.4,11.8,2020-11-02T17:30:00Z,90,18,0,0,0,0,7,0,11567,0,2,26.0,3,1665,2331,666,53,True,0,Fulham,West Brom,2,2,2,8.145833333333334,2,15.7,2,1,0.0,0.0,1.4,0.2,72.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,0,1
0,0,18,0,49.5,175,78,1,0,7.4,16.2,2020-11-07T20:00:00Z,90,19,0,0,0,0,8,0,12331,0,1,8.0,2,629,1897,1268,53,False,0,Fulham,West Ham,2,4,2,5.104166666666667,0,5.4,-1,0,0.0,0.2,1.4,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.6,0,1
1,0,20,0,14.8,175,81,3,0,4.6,21.4,2020-11-22T12:00:00Z,57,7,0,0,0,0,9,0,13652,3,2,10.0,4,960,2649,1689,53,True,0,Fulham,Everton,2,4,2,5.0,0,7.4,-1,1,0.0,0.2,1.0,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,0,0,0.0,175,94,0,0,0.0,0.0,2020-11-30T17:30:00Z,0,9,0,0,0,0,10,0,13672,2,1,0.0,0,38,1133,1095,53,False,0,Fulham,Leicester,2,4,2,8.229166666666666,0,4.6,1,0,0.2,0.2,1.4,0.2,83.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,3,0,3.3,175,104,0,0,0.4,0.4,2020-12-05T15:00:00Z,7,12,0,0,0,0,11,0,12290,0,2,0.0,1,-1324,274,1598,53,False,0,Fulham,Man City,2,5,2,4.895833333333333,0,0.0,-2,0,0.2,0.2,1.2,0.2,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0,0.0,175,112,0,0,0.0,0.0,2020-12-13T16:30:00Z,0,11,0,0,0,0,12,0,11442,1,1,0.0,0,-987,100,1087,53,True,0,Fulham,Liverpool,2,4,2,8.0625,0,0.4,0,1,0.2,0.2,0.8,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,0,0,0.0,175,121,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,3,0,0,0,0,13,0,10830,0,0,0.0,0,-659,69,728,53,True,0,Fulham,Brighton,2,3,2,3.145833333333333,0,0.0,0,1,0.2,0.0,0.8,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0,1
0,0,4,0,21.4,175,135,1,0,5.9,1.8,2020-12-19T20:00:00Z,64,14,0,0,0,0,14,0,10200,1,1,36.0,2,-650,52,702,53,False,0,Fulham,Newcastle,2,2,2,3.0,0,0.0,0,0,0.2,0.0,0.6,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0,1
0,0,0,0,0.0,175,141,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,16,0,0,0,0,15,0,9776,0,0,0.0,0,-446,142,588,53,True,0,Fulham,Southampton,2,2,2,6.791666666666668,0,5.9,0,1,0.0,0.0,0.2,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0,1
0,0,0,0,0.0,175,157,0,0,0.0,0.0,2021-01-13T20:15:00Z,0,17,0,0,0,0,18,0,8653,1,1,0.0,0,-413,101,514,52,False,0,Fulham,Spurs,2,4,2,5.0,0,0.0,0,0,0.0,0.0,0.2,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0,1
