assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,0,0,0.0,518,4,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,8,0,0,0,0,1,0,50205,1,3,0.0,0,0,0,0,50,False,0,Southampton,Everton,2,2,3,7.0,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,0,0,0.0,518,19,0,0,0.0,0.0,2021-08-22T13:00:00Z,0,13,0,0,0,0,2,0,52467,1,1,0.0,0,-4395,6021,10416,50,True,0,Southampton,Man Utd,2,3,3,7.958333333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,3,0,0.6,518,25,1,0,0.1,0.2,2021-08-28T14:00:00Z,19,14,0,0,0,0,3,0,47482,2,2,0.0,1,-6525,4154,10679,50,False,0,Southampton,Newcastle,2,2,3,6.041666666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,3,0,0.0,518,39,0,0,3.6,0.0,2021-09-11T14:00:00Z,16,19,0,0,0,0,4,0,45686,0,0,37.0,1,-4633,8820,13453,50,True,0,Southampton,West Ham,2,3,3,5.0,0,0.1,0,1,0.0,0.0,0.3333333333333333,0.0,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1
0,0,2,0,0.0,518,45,0,0,1.1,1.0,2021-09-18T14:00:00Z,22,12,0,0,0,0,5,0,51075,0,0,10.0,1,3690,12092,8402,50,False,0,Southampton,Man City,2,5,3,7.0,0,3.6,0,0,0.0,0.0,0.25,0.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1
0,0,1,0,1.8,518,59,0,0,0.3,1.2,2021-09-26T13:00:00Z,26,20,0,0,0,0,6,0,51677,1,0,0.0,1,-262,6270,6532,50,True,0,Southampton,Wolves,2,3,3,7.958333333333332,0,1.1,-1,1,0.0,0.0,0.2,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,0,0,0.0,518,63,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,6,0,0,0,0,7,0,43630,1,3,0.0,0,-7730,1387,9117,50,False,0,Southampton,Chelsea,2,5,3,6.041666666666668,0,0.3,-2,0,0.0,0.0,0.2,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,2,27,1,13.4,518,79,0,1,11.9,35.2,2021-10-16T14:00:00Z,80,10,0,0,0,0,8,0,44407,0,1,70.0,8,-426,3938,4364,50,True,0,Southampton,Leeds,2,2,3,5.0,0,0.0,1,1,0.0,0.0,0.2,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,2,28,0,1.2,518,89,2,1,7.6,33.6,2021-10-23T14:00:00Z,78,5,0,0,0,0,9,0,101480,2,2,41.0,8,50958,57469,6511,50,True,0,Southampton,Burnley,2,2,3,7.0,2,11.9,0,1,0.0,0.2,0.0,0.2,28.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,0,0,0.0,518,99,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,18,0,0,0,0,10,0,103445,1,0,0.0,0,5171,30099,24928,50,False,0,Southampton,Watford,2,2,3,7.0,2,7.6,1,0,0.0,0.2,0.4,0.4,41.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
