assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,3,0,0.2,494,10,0,0,0.0,0.2,2021-08-15T15:30:00Z,1,12,0,0,0,0,1,0,22135,0,1,0.0,1,0,0,0,50,True,0,Spurs,Man City,4,5,1,7.0,0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,494,17,0,0,0.0,0.0,2021-08-22T13:00:00Z,0,20,0,0,0,0,2,0,31517,1,0,0.0,0,1205,4428,3223,50,False,0,Spurs,Wolves,3,4,1,6.895833333333332,0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,494,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,18,0,0,0,0,3,0,28093,0,1,0.0,0,-5264,2685,7949,49,True,0,Spurs,Watford,4,2,1,7.0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,0,0,0.0,494,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,7,0,0,0,0,4,0,23596,0,3,0.0,0,-6052,2906,8958,49,False,0,Spurs,Crystal Palace,3,2,1,5.0,0,0.0,-3,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,0,14,0,0.3,494,48,2,0,2.5,20.8,2021-09-19T15:30:00Z,82,6,0,0,0,0,5,0,21582,3,0,4.0,1,-2568,520,3088,49,True,0,Spurs,Chelsea,4,4,1,8.166666666666666,0,0.0,-3,1,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,494,51,0,0,0.0,0.0,2021-09-26T15:30:00Z,0,1,0,0,0,0,6,0,22794,1,3,0.0,0,212,1852,1640,49,False,0,Spurs,Arsenal,3,4,1,7.0,0,2.5,-2,0,0.0,0.0,0.4,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,15,0,0.3,494,68,1,0,2.7,27.0,2021-10-03T13:00:00Z,90,2,0,0,0,0,7,0,23092,1,2,0.0,1,-356,1175,1531,49,True,1,Spurs,Aston Villa,4,3,1,6.895833333333332,0,0.0,1,1,0.0,0.0,0.4,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1
0,0,13,0,3.3,494,77,2,0,3.4,22.2,2021-10-17T15:30:00Z,90,14,0,0,0,0,8,0,23323,3,2,8.0,1,-371,1235,1606,49,False,0,Spurs,Newcastle,3,2,1,5.0,0,2.7,1,0,0.0,0.0,0.6,0.0,34.4,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1
0,0,15,0,1.7,494,90,1,0,2.1,19.0,2021-10-24T13:00:00Z,90,19,0,0,0,0,9,0,23855,0,1,0.0,1,125,1113,988,49,False,1,Spurs,West Ham,3,3,1,6.895833333333332,0,3.4,-1,0,0.0,0.0,1.0,0.0,52.4,0.0,0.0,0.0,0.0,0.0,0.2,-1.2,1
0,0,10,0,0.4,494,98,3,0,1.8,16.0,2021-10-30T16:30:00Z,90,13,0,0,0,0,10,0,25543,3,0,2.0,0,704,2003,1299,49,True,1,Spurs,Man Utd,4,3,1,6.145833333333332,0,2.1,-3,1,0.0,0.0,1.2,0.0,70.4,0.0,0.0,0.0,0.0,0.0,0.4,-0.8,1
