assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,3,0,12.8,287,6,1,0,6.4,8.6,2021-08-14T11:30:00Z,74,10,0,0,0,0,1,0,9452,1,5,43.0,2,0,0,0,60,True,0,Man Utd,Leeds,4,2,2,7.0,0,6.4,4,1,0.0,0.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
0,0,0,0,0.0,287,19,0,0,0.0,0.0,2021-08-22T13:00:00Z,0,16,0,0,0,0,2,0,13141,1,1,0.0,0,-361,1871,2232,60,False,0,Man Utd,Southampton,3,2,2,8.0625,0,6.4,0,0,0.0,0.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
0,0,3,0,11.0,287,30,0,0,1.7,0.0,2021-08-29T15:30:00Z,52,20,0,0,0,0,3,0,16835,1,0,8.0,1,-1839,5640,2190,60,False,0,Man Utd,Wolves,3,4,2,7.104166666666668,0,0.0,1,0,0.0,0.0,0.5,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,2,0,1.4,287,36,1,0,0.6,2.4,2021-09-12T15:30:00Z,22,11,0,0,0,0,4,0,42644,3,0,2.0,1,21568,35013,13445,60,True,0,Leeds,Liverpool,2,4,2,5.0,0,1.7,-3,1,0.0,0.0,0.3333333333333333,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
0,0,2,0,11.8,287,46,1,0,4.2,4.6,2021-09-17T19:00:00Z,60,14,0,0,0,0,5,0,50541,1,1,26.0,2,7237,15947,8710,60,False,0,Leeds,Newcastle,2,2,2,5.145833333333333,0,0.6,0,0,0.0,0.0,0.5,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1
0,0,3,0,0.5,287,56,0,0,3.6,0.0,2021-09-25T14:00:00Z,45,19,0,0,0,0,6,0,49607,2,1,36.0,1,-1892,8050,9942,60,True,0,Leeds,West Ham,2,3,2,7.791666666666668,0,4.2,-1,1,0.0,0.0,0.6,0.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,1,1,1.3,287,65,0,0,2.9,0.0,2021-10-02T14:00:00Z,90,18,0,0,0,0,7,0,45495,0,1,28.0,3,-4922,4228,9150,60,True,0,Leeds,Watford,2,2,2,7.0,0,3.6,1,1,0.0,0.0,0.4,0.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,3,0,5.4,287,79,1,0,1.8,6.8,2021-10-16T14:00:00Z,90,16,0,0,0,0,8,0,47536,0,1,6.0,2,1080,6784,5704,60,False,0,Leeds,Southampton,2,2,2,5.0,0,2.9,-1,0,0.0,0.2,0.4,0.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,7,0,16.9,287,87,1,0,2.7,8.4,2021-10-23T14:00:00Z,90,20,0,0,0,0,9,0,44608,1,1,2.0,2,-3125,2626,5751,60,True,0,Leeds,Wolves,2,3,2,7.0,0,1.8,0,1,0.0,0.2,0.6,0.0,61.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,1
1,0,15,0,11.8,287,97,1,0,5.8,20.2,2021-10-31T14:00:00Z,76,15,0,0,0,0,10,0,44479,2,1,26.0,5,-1113,4938,6051,60,False,0,Leeds,Norwich,2,2,2,8.0,0,2.7,1,0,0.0,0.2,0.6,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,0,0,3.8,287,107,1,0,2.8,0.0,2021-11-07T14:00:00Z,90,9,0,0,0,0,11,0,41969,1,1,28.0,2,-2883,1739,4622,60,True,0,Leeds,Leicester,2,3,2,6.0,0,5.8,0,1,0.2,0.2,0.6,0.0,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1,26,0,12.3,287,118,2,1,16.7,46.6,2021-11-21T16:30:00Z,90,17,0,0,0,0,12,0,39293,1,2,108.0,8,-3153,1496,4649,60,False,0,Leeds,Spurs,2,4,2,5.0,0,2.8,-1,0,0.2,0.2,0.8,0.0,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,6,1,11.3,287,123,0,0,2.6,0.0,2021-11-27T17:30:00Z,90,4,0,0,0,0,13,0,51908,0,0,15.0,3,11294,13551,2257,60,False,0,Leeds,Brighton,2,3,2,6.041666666666668,1,16.7,0,0,0.2,0.0,1.2,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,8,1,13.1,287,133,0,0,7.7,8.2,2021-11-30T20:15:00Z,90,7,0,0,0,0,14,0,59753,0,1,56.0,3,7512,10979,3467,60,True,0,Leeds,Crystal Palace,2,2,2,3.114583333333333,0,2.6,1,1,0.2,0.2,1.0,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,3,0,25.3,287,143,2,0,3.9,7.8,2021-12-05T14:00:00Z,90,3,0,0,0,0,15,0,57000,2,2,6.0,2,-2884,4901,7785,60,True,0,Leeds,Brentford,2,2,2,4.739583333333333,0,7.7,0,1,0.2,0.4,0.8,0.2,87.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
1,0,18,0,22.3,287,155,2,0,4.1,10.6,2021-12-11T15:00:00Z,87,6,0,0,0,0,16,0,51807,2,3,8.0,5,-5191,3280,8471,60,False,0,Leeds,Chelsea,2,5,2,6.041666666666668,0,3.9,-1,0,0.0,0.4,1.0,0.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,2,0,2.1,287,170,3,0,0.2,0.0,2021-12-14T20:00:00Z,45,12,0,0,0,0,17,0,53229,0,7,0.0,1,654,5587,4933,60,False,0,Leeds,Man City,2,5,2,3.208333333333333,0,4.1,-7,0,0.2,0.4,1.2,0.2,89.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,0,0,0.0,287,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,1,0,0,0,0,18,0,40616,4,1,0.0,0,-11450,295,11745,60,True,0,Leeds,Arsenal,2,3,2,3.8958333333333335,0,0.2,-3,1,0.2,0.4,1.4,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1
0,0,27,0,28.2,287,206,0,1,9.0,41.2,2022-01-02T14:00:00Z,28,5,0,0,0,0,21,0,32914,1,3,21.0,6,-852,968,1820,60,True,0,Leeds,Burnley,2,2,2,5.0,0,0.0,2,1,0.2,0.2,1.4,0.0,62.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,-3,0,6.4,287,219,2,0,4.6,0.0,2022-01-16T14:00:00Z,90,19,0,0,0,0,22,0,34461,3,2,41.0,1,1084,2900,1816,60,False,1,Leeds,West Ham,2,3,2,5.0,0,9.0,1,0,0.2,0.0,1.4,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,1
0,0,-4,1,0.6,287,226,0,0,6.7,4.6,2022-01-22T15:00:00Z,70,14,0,0,0,0,23,0,36360,1,0,62.0,2,1763,3425,1662,60,True,1,Leeds,Newcastle,2,2,2,6.041666666666668,0,4.6,-1,1,0.2,0.0,1.4,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.6,1
