assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,20,1,0.0,143,3,0,0,1.1,11.2,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,1,613542,0,3,0.0,6,0,0,0,60,True,0,Chelsea,Crystal Palace,5,2,0,7.0,0,1.1,3,1,0.0,1.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,1,32,1,0.0,143,18,0,0,2.2,22.4,2021-08-22T15:30:00Z,90,1,0,0,0,0,2,3,741833,2,0,0.0,8,-9173,29384,38557,60,False,0,Chelsea,Arsenal,4,4,0,8.0625,0,1.1,2,0,0.0,1.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,19,0,0.0,143,23,1,0,4.0,40.0,2021-08-28T16:30:00Z,90,11,0,0,0,0,3,6,774783,1,1,0.0,3,-17274,28114,45388,60,False,1,Chelsea,Liverpool,4,5,0,6.041666666666668,1,2.2,0,0,0.0,1.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,1
0,1,34,1,0.0,143,33,0,0,5.2,52.4,2021-09-11T16:30:00Z,90,2,0,0,0,0,4,6,942978,0,3,0.0,9,81500,154684,73184,60,True,0,Chelsea,Aston Villa,5,3,0,5.0,0,4.0,3,1,0.0,0.6666666666666666,0.3333333333333333,0.0,90.0,3.333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,1
0,0,0,0,0.0,143,48,0,0,0.0,0.0,2021-09-19T15:30:00Z,0,17,0,0,0,0,5,0,1052166,3,0,0.0,0,66215,112545,46330,60,False,0,Chelsea,Spurs,4,4,0,7.958333333333332,1,5.2,3,0,0.0,0.75,0.25,0.0,90.0,4.0,0.0,0.0,0.0,0.0,0.25,2.0,1
0,0,13,0,0.0,143,53,1,0,2.1,21.0,2021-09-25T11:30:00Z,90,12,0,0,0,0,6,2,948833,1,0,0.0,2,-108344,32708,141052,60,True,0,Chelsea,Man City,5,5,0,5.833333333333332,0,0.0,-1,1,0.0,0.6,0.2,0.0,72.0,3.2,0.0,0.0,0.0,0.0,0.2,2.2,1
0,0,9,0,0.0,143,63,1,0,0.8,8.4,2021-10-02T14:00:00Z,90,16,0,0,0,0,7,1,1090025,1,3,0.0,2,98971,128340,29369,60,True,0,Chelsea,Southampton,5,2,0,7.104166666666668,0,2.1,2,1,0.0,0.4,0.4,0.0,72.0,3.4,0.0,0.0,0.0,0.0,0.2,1.4,1
0,1,32,1,0.0,143,73,0,0,4.7,47.2,2021-10-16T16:30:00Z,90,3,0,0,0,0,8,6,1171595,1,0,0.0,9,70244,112694,42450,60,False,0,Chelsea,Brentford,4,2,0,5.0,0,0.8,1,0,0.0,0.2,0.6,0.0,72.0,3.0,0.0,0.0,0.0,0.0,0.2,1.4,1
0,0,21,1,0.0,143,84,0,0,1.1,10.6,2021-10-23T11:30:00Z,90,15,0,0,0,0,9,1,1399112,0,7,0.0,6,189224,203207,13983,61,True,0,Chelsea,Norwich,5,2,0,6.791666666666668,1,4.7,7,1,0.0,0.4,0.4,0.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,1.6,1
0,0,21,1,0.0,143,96,0,0,1.0,10.2,2021-10-30T14:00:00Z,90,14,0,0,0,0,10,1,1563012,3,0,0.0,6,138845,167161,28316,62,False,0,Chelsea,Newcastle,4,2,0,7.104166666666668,0,1.1,3,0,0.0,0.4,0.4,0.0,72.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,1
