assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,3,0,0.8,506,7,0,0,0.3,0.4,2021-08-14T16:30:00Z,7,15,0,0,0,0,1,0,6475,3,0,2.0,1,0,0,0,55,False,0,Liverpool,Norwich,4,2,2,7.0,0,0.3,3,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,13,1,39.2,506,15,0,0,8.0,11.2,2021-08-21T11:30:00Z,90,5,0,0,0,0,2,0,6776,0,2,30.0,3,-943,491,1434,55,True,0,Liverpool,Burnley,5,2,2,6.791666666666668,0,0.3,2,1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,9,0,25.7,506,23,1,0,4.6,7.0,2021-08-28T16:30:00Z,90,6,0,0,0,0,3,0,11935,1,1,13.0,2,3309,5349,2040,55,True,0,Liverpool,Chelsea,5,4,2,7.208333333333332,0,8.0,0,1,0.0,0.5,0.0,0.0,48.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1
0,0,8,1,15.2,506,36,0,0,5.6,4.6,2021-09-12T15:30:00Z,62,10,0,0,0,0,4,0,29084,3,0,36.0,3,12296,22286,9990,55,False,0,Liverpool,Leeds,4,2,2,5.0,0,4.6,3,0,0.0,0.3333333333333333,0.3333333333333333,0.0,62.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
0,0,0,0,0.0,506,44,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,7,0,0,0,0,5,0,16262,0,3,0.0,0,-12017,4746,16763,55,True,0,Liverpool,Crystal Palace,5,2,2,5.9375,0,5.6,3,1,0.0,0.5,0.25,0.0,62.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,506,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,3,0,0,0,0,6,0,10323,3,3,0.0,0,-6370,128,6498,54,False,0,Liverpool,Brentford,4,2,2,7.104166666666668,0,0.0,0,0,0.0,0.4,0.2,0.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,0,0,0.0,506,66,0,0,0.0,0.0,2021-10-03T15:30:00Z,0,12,0,0,0,0,7,0,8768,2,2,0.0,0,-1754,96,1850,54,True,0,Liverpool,Man City,5,5,2,7.958333333333332,0,0.0,0,1,0.0,0.4,0.2,0.0,48.4,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1
0,0,0,0,0.0,506,80,0,0,0.0,0.0,2021-10-16T11:30:00Z,0,18,0,0,0,0,8,0,7864,5,0,0.0,0,-941,55,996,54,False,0,Liverpool,Watford,4,2,2,5.0,0,0.0,5,0,0.0,0.2,0.2,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1
0,0,0,0,0.0,506,88,0,0,0.0,0.0,2021-10-24T15:30:00Z,0,13,0,0,0,0,9,0,7450,5,0,0.0,0,-439,31,470,53,False,0,Liverpool,Man Utd,4,4,2,8.166666666666666,0,0.0,5,0,0.0,0.2,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,0,0,0.0,506,94,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,4,0,0,0,0,10,0,6973,2,2,0.0,0,-479,41,520,53,True,0,Liverpool,Brighton,5,3,2,5.9375,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1
