assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,3,32,0,0.4,583,40,0,1,7.6,40.4,2021-09-11T14:00:00Z,27,18,0,0,0,0,4,0,11187,2,0,35.0,8,8876,13793,4917,55,False,0,Wolves,Watford,3,2,3,7.0,3,7.6,2,0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,-2,0,0.5,583,50,0,0,3.2,1.2,2021-09-18T11:30:00Z,45,3,0,0,0,0,5,0,213373,2,0,30.0,1,181478,212962,31484,55,True,0,Wolves,Brentford,4,2,3,6.895833333333332,3,7.6,-2,1,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,5,1,2.8,583,59,0,0,2.6,1.4,2021-09-26T13:00:00Z,87,16,0,0,0,0,6,0,181114,1,0,22.0,2,-23935,26626,50561,55,False,0,Wolves,Southampton,3,2,3,8.0625,0,3.2,1,0,0.0,0.0,0.0,0.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,3,61,0,21.3,583,70,1,2,13.3,71.4,2021-10-02T14:00:00Z,90,14,0,0,0,0,7,0,154697,1,2,40.0,13,-27261,11127,38388,55,True,0,Wolves,Newcastle,4,2,3,6.041666666666668,0,2.6,1,1,0.0,0.3333333333333333,0.0,0.3333333333333333,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
0,0,-1,0,4.8,583,72,2,0,1.9,0.0,2021-10-16T14:00:00Z,87,2,0,0,0,0,8,0,501426,3,2,20.0,2,321256,363259,42003,56,False,0,Wolves,Aston Villa,3,3,3,5.0,3,13.3,1,0,0.0,0.25,0.25,0.75,62.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1
0,2,30,0,2.3,583,87,1,1,5.9,40.0,2021-10-23T14:00:00Z,90,10,0,0,0,0,9,0,583684,1,1,17.0,8,85588,128289,42701,56,False,0,Wolves,Leeds,3,2,3,7.0,0,1.9,0,0,0.0,0.2,0.6,0.6,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1
0,0,9,0,4.2,583,100,1,0,2.2,10.0,2021-11-01T20:00:00Z,90,8,0,0,0,0,10,0,967184,1,2,8.0,2,353127,379673,26546,57,True,0,Wolves,Everton,4,2,3,8.25,2,5.9,1,1,0.0,0.2,0.8,0.6,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,2,0,18.9,583,105,2,0,2.8,3.0,2021-11-06T15:00:00Z,89,7,0,0,0,0,11,0,1075274,0,2,6.0,2,115941,157668,41727,58,False,0,Wolves,Crystal Palace,3,2,3,4.791666666666667,0,2.2,-2,0,0.0,0.2,1.0,0.6,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,14,1,18.8,583,120,0,0,3.5,6.4,2021-11-20T15:00:00Z,86,19,0,0,0,0,12,0,1119320,0,1,10.0,2,41610,112338,70728,58,True,0,Wolves,West Ham,4,3,3,5.0,0,2.8,1,1,0.0,0.0,1.4,0.6,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,4,1,15.0,583,130,0,0,2.4,4.8,2021-11-27T15:00:00Z,90,15,0,0,0,0,13,0,1118074,0,0,4.0,2,-4214,79853,84067,58,False,0,Wolves,Norwich,3,2,3,7.0,0,3.5,0,0,0.0,0.2,1.2,0.2,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
