assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,4,0,0.6,434,5,0,0,1.2,11.6,2021-08-14T14:00:00Z,24,9,0,0,0,0,1,0,14765,0,1,0.0,1,0,0,0,50,False,0,Wolves,Leicester,3,3,2,7.0,0,1.2,-1,0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,4,0,0.6,434,17,0,0,0.8,3.0,2021-08-22T13:00:00Z,18,17,0,0,0,0,2,0,14385,1,0,4.0,1,-1521,538,2059,50,True,0,Wolves,Spurs,4,3,2,7.958333333333332,0,1.2,-1,1,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,434,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,13,0,0,0,0,3,0,13017,1,0,0.0,0,-1734,387,2121,49,True,0,Wolves,Man Utd,4,3,2,7.104166666666668,0,0.8,-1,1,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,434,40,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,18,0,0,0,0,4,0,12193,2,0,0.0,0,-1272,1377,2649,49,False,0,Wolves,Watford,3,2,2,5.0,0,0.0,2,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,434,50,0,0,0.0,0.0,2021-09-18T11:30:00Z,0,3,0,0,0,0,5,0,11314,2,0,0.0,0,-1079,733,1812,49,True,0,Wolves,Brentford,4,2,2,6.895833333333332,0,0.0,-2,1,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,1
0,0,14,1,1.8,434,59,0,0,2.8,8.0,2021-09-26T13:00:00Z,90,16,0,0,0,0,6,0,10408,1,0,18.0,3,-1042,450,1492,49,False,0,Wolves,Southampton,3,2,2,8.0625,0,0.0,1,0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,4,0,10.3,434,70,0,0,1.5,4.2,2021-10-02T14:00:00Z,4,14,0,0,0,0,7,0,10886,1,2,0.0,1,228,1028,800,48,True,0,Wolves,Newcastle,4,2,2,6.041666666666668,0,2.8,1,1,0.0,0.2,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
1,0,20,0,24.8,434,72,2,0,4.8,18.0,2021-10-16T14:00:00Z,90,2,0,0,0,0,8,0,10941,3,2,5.0,4,-25,980,1005,48,False,1,Wolves,Aston Villa,3,3,2,5.0,0,1.5,1,0,0.0,0.2,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,10,0,1.7,434,87,1,0,0.4,1.8,2021-10-23T14:00:00Z,90,10,0,0,0,0,9,0,12302,1,1,0.0,2,1037,1926,889,48,False,0,Wolves,Leeds,3,2,2,7.0,0,4.8,0,0,0.2,0.2,0.4,0.0,36.8,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1
0,0,3,0,0.0,434,100,0,0,0.0,0.2,2021-11-01T20:00:00Z,1,8,0,0,0,0,10,0,12543,1,2,0.0,1,166,1332,1166,48,True,0,Wolves,Everton,4,2,2,8.25,0,0.4,1,1,0.2,0.2,0.6,0.0,54.8,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1
