assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
1,0,24,1,28.5,125,3,0,0,5.7,24.6,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,17075,0,3,4.0,6,0,0,0,50,True,0,Chelsea,Crystal Palace,5,2,2,7.0,0,5.7,3,1,1.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,8,1,14.8,125,18,0,0,2.2,2.4,2021-08-22T15:30:00Z,71,1,0,0,0,0,2,0,64591,2,0,5.0,3,22379,31068,8689,50,False,0,Chelsea,Arsenal,4,4,2,8.0625,0,5.7,2,0,1.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,4,0,1.2,125,23,0,0,2.9,10.4,2021-08-28T16:30:00Z,45,11,0,0,0,0,3,0,76638,1,1,17.0,1,7145,22573,15428,50,False,0,Chelsea,Liverpool,4,5,2,6.041666666666668,0,2.2,0,0,0.5,1.0,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1
1,2,42,1,17.5,125,33,0,1,9.6,60.8,2021-09-11T16:30:00Z,90,2,0,0,0,0,4,0,94058,0,3,18.0,13,8889,32961,24072,50,True,0,Chelsea,Aston Villa,5,3,2,5.0,0,2.9,3,1,0.3333333333333333,0.6666666666666666,0.0,0.0,68.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
1,0,19,1,15.8,125,48,0,0,9.3,41.8,2021-09-19T15:30:00Z,90,17,0,0,0,0,5,0,368353,3,0,35.0,6,239009,289710,50701,51,False,0,Chelsea,Spurs,4,4,2,7.958333333333332,2,9.6,3,0,0.5,0.75,0.0,0.25,74.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,15,0,5.2,125,53,1,0,3.1,17.6,2021-09-25T11:30:00Z,90,12,0,0,0,0,6,0,575474,1,0,8.0,2,199082,235270,36188,52,True,0,Chelsea,Man City,5,5,2,5.833333333333332,0,9.3,-1,1,0.6,0.8,0.0,0.2,77.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,14,0,23.3,125,63,1,0,4.2,18.4,2021-10-02T14:00:00Z,72,16,0,0,0,0,7,0,700813,1,3,0.0,2,120842,172428,51586,52,True,0,Chelsea,Southampton,5,2,2,7.104166666666668,0,3.1,2,1,0.4,0.6,0.2,0.2,77.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0,0,7,1,10.5,125,73,0,0,2.8,6.4,2021-10-16T16:30:00Z,64,3,0,0,0,0,8,0,722543,1,0,11.0,2,16432,82345,65913,52,False,1,Chelsea,Brentford,4,2,2,5.0,0,4.2,1,0,0.4,0.4,0.4,0.2,77.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
2,2,49,1,72.3,125,84,0,0,12.9,55.4,2021-10-23T11:30:00Z,90,15,0,0,0,0,9,0,727659,0,7,1.0,11,2765,65405,62640,53,True,0,Chelsea,Norwich,5,2,2,6.791666666666668,0,2.8,7,1,0.4,0.6,0.4,0.2,81.2,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1
0,0,0,0,0.0,125,96,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,14,0,0,0,0,10,0,687806,3,0,0.0,0,-42925,143795,186720,53,False,0,Chelsea,Newcastle,4,2,2,7.104166666666668,2,12.9,3,0,0.6,0.6,0.4,0.0,81.2,0.0,0.0,0.0,0.0,0.0,0.2,2.4,1
0,0,0,0,0.0,125,104,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,5,0,0,0,0,11,0,443342,1,1,0.0,0,-242433,2014,244447,52,True,0,Chelsea,Burnley,5,2,2,6.041666666666668,0,0.0,0,1,0.4,0.4,0.4,0.0,63.2,0.0,0.0,0.0,0.0,0.0,0.2,2.4,1
0,0,0,0,0.0,125,113,0,0,0.0,0.0,2021-11-20T12:30:00Z,0,9,0,0,0,0,12,0,355833,3,0,0.0,0,-93189,4331,97520,52,False,0,Chelsea,Leicester,4,3,2,5.0,0,0.0,3,0,0.4,0.4,0.2,0.0,45.2,0.0,0.0,0.0,0.0,0.0,0.2,2.6,1
0,0,0,0,0.0,125,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,13,0,0,0,0,13,0,277428,1,1,0.0,0,-79484,722,80206,51,True,0,Chelsea,Man Utd,5,3,2,8.166666666666666,0,0.0,0,1,0.4,0.4,0.0,0.0,30.8,0.0,0.0,0.0,0.0,0.0,0.2,2.8,1
0,0,0,0,0.0,125,135,0,0,0.0,0.0,2021-12-01T19:30:00Z,0,18,0,0,0,0,14,0,241237,2,1,0.0,0,-37786,321,38107,51,False,0,Chelsea,Watford,4,2,2,3.125,0,0.0,1,0,0.4,0.2,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1
0,0,0,0,0.0,125,149,0,0,0.0,0.0,2021-12-04T12:30:00Z,0,19,0,0,0,0,15,0,205849,2,3,0.0,0,-35576,256,35832,50,False,0,Chelsea,West Ham,4,3,2,2.708333333333333,0,0.0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0,0,0,0,0.0,125,155,0,0,0.0,0.0,2021-12-11T15:00:00Z,0,10,0,0,0,0,16,0,181609,2,3,0.0,0,-23748,506,24254,50,True,0,Chelsea,Leeds,5,2,2,7.104166666666668,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1
0,0,0,0,0.0,125,168,0,0,0.0,0.0,2021-12-16T19:45:00Z,0,8,0,0,0,0,17,0,169814,1,1,0.0,0,-12485,322,12807,50,True,0,Chelsea,Everton,5,2,2,5.197916666666667,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,7,0,2.5,125,180,0,0,0.8,5.2,2021-12-19T14:00:00Z,25,20,0,0,0,0,18,0,174993,0,0,0.0,1,1837,6884,5047,50,False,0,Chelsea,Wolves,4,4,2,2.7604166666666665,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,7,0,11.8,125,181,0,0,2.1,7.6,2021-12-26T17:30:00Z,27,2,0,0,0,0,19,0,176851,3,1,2.0,1,2262,7585,5323,50,False,0,Chelsea,Aston Villa,4,3,2,7.145833333333332,0,0.8,2,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,8,0,7.9,125,193,1,0,1.9,8.0,2021-12-29T19:30:00Z,90,4,0,0,0,0,20,0,179894,1,1,3.0,1,2087,5745,3658,50,True,1,Chelsea,Brighton,5,3,2,3.083333333333333,0,2.1,0,1,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,3,42,0,5.3,125,203,2,1,8.5,53.0,2022-01-02T16:30:00Z,90,11,0,0,0,0,21,0,173676,2,2,27.0,10,-3120,4945,8065,50,True,0,Chelsea,Liverpool,5,4,2,7.875,0,1.9,0,1,0.0,0.0,0.2,0.0,28.4,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1
0,0,17,0,16.6,125,215,1,0,2.8,11.4,2022-01-15T12:30:00Z,90,12,0,0,0,0,22,0,244659,0,1,0.0,1,41889,56202,14313,50,False,1,Chelsea,Man City,4,5,2,5.0,3,8.5,-1,0,0.0,0.0,0.6,0.2,46.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1
0,0,3,0,12.3,125,232,0,0,1.5,2.0,2022-01-18T20:00:00Z,10,4,0,0,0,0,22,0,244659,1,1,1.0,1,41889,56202,14313,50,False,0,Chelsea,Brighton,4,3,2,3.3125,0,2.8,0,0,0.0,0.0,0.8,0.2,64.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1
0,0,10,1,23.8,125,223,0,0,3.6,12.2,2022-01-23T16:30:00Z,90,17,0,0,0,0,23,0,209348,0,2,0.0,3,-8271,7037,15308,50,True,0,Chelsea,Spurs,5,3,2,4.854166666666667,0,1.5,2,1,0.0,0.0,0.8,0.2,61.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1
