assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,4,0,14.8,39,8,2,0,1.8,3.0,2021-08-14T14:00:00Z,45,18,0,0,0,0,1,0,675492,2,3,0.0,0,0,0,0,50,False,0,Aston Villa,Watford,3,2,1,7.0,0,1.8,-1,0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,0,0,0.0,39,11,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,14,0,0,0,0,2,0,612505,0,2,0.0,0,-74260,8026,82286,50,True,0,Aston Villa,Newcastle,3,2,1,7.0,0,1.8,2,1,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,9,0,2.2,39,21,1,0,1.7,15.2,2021-08-28T14:00:00Z,90,3,0,0,0,0,3,0,412604,1,1,0.0,2,-201862,3759,205621,49,True,0,Aston Villa,Brentford,3,2,1,7.0,0,0.0,0,1,0.0,0.0,1.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1
0,0,3,0,12.1,39,33,3,0,1.6,3.8,2021-09-11T16:30:00Z,90,6,0,0,0,0,4,0,305441,0,3,0.0,0,-110764,3990,114754,48,False,1,Aston Villa,Chelsea,3,5,1,5.0,0,1.7,-3,0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1
0,0,22,1,25.5,39,41,0,0,3.8,12.8,2021-09-18T16:30:00Z,60,8,0,0,0,0,5,0,252229,0,3,0.0,6,-55818,2834,58652,48,True,0,Aston Villa,Everton,3,2,1,7.0,0,1.6,3,1,0.0,0.0,1.5,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.25,-0.5,1
0,0,15,1,3.8,39,58,0,0,1.4,3.0,2021-09-25T11:30:00Z,90,13,0,0,0,0,6,0,235577,1,0,7.0,6,-18639,3487,22126,48,False,0,Aston Villa,Man Utd,3,4,1,6.791666666666668,0,3.8,1,0,0.0,0.2,1.2,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1
1,0,19,0,28.9,39,68,2,0,8.2,28.6,2021-10-03T13:00:00Z,90,17,1,0,0,0,7,0,234450,1,2,24.0,2,-2783,8797,11580,48,False,0,Aston Villa,Spurs,3,4,1,8.0625,0,1.4,-1,0,0.0,0.4,0.8,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1
0,0,13,0,11.8,39,72,3,0,2.7,11.0,2021-10-16T14:00:00Z,90,20,0,0,0,0,8,0,232361,3,2,4.0,1,-3458,9733,13191,48,True,0,Aston Villa,Wolves,3,3,1,5.0,0,8.2,-1,1,0.2,0.4,1.2,0.0,84.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1
0,0,12,0,36.2,39,81,3,0,4.9,10.6,2021-10-22T19:00:00Z,90,1,0,0,0,0,9,0,221984,1,3,2.0,0,-10291,3794,14085,48,False,1,Aston Villa,Arsenal,3,4,1,6.208333333333332,0,2.7,-2,0,0.2,0.4,1.6,0.0,84.0,0.0,0.0,0.2,0.0,0.0,0.2,-0.2,1
0,0,13,0,31.0,39,91,4,0,5.4,23.0,2021-10-31T16:30:00Z,90,19,0,0,0,0,10,0,206330,4,1,0.0,0,-16173,2961,19134,47,True,0,Aston Villa,West Ham,3,3,1,8.895833333333334,0,4.9,-3,1,0.2,0.4,1.6,0.0,84.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1
