assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,0,0,0.0,246,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,63346,3,0,0.0,0,0,0,0,40,False,0,Liverpool,Norwich,4,2,1,7.0,0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,0,0,0.0,246,15,0,0,0.0,0.0,2021-08-21T11:30:00Z,0,5,0,0,0,0,2,0,64837,0,2,0.0,0,-4994,2770,7764,40,True,0,Liverpool,Burnley,5,2,1,6.791666666666668,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,0,0,0.0,246,23,0,0,0.0,0.0,2021-08-28T16:30:00Z,0,6,0,0,0,0,3,0,62207,1,1,0.0,0,-5159,3160,8319,40,True,0,Liverpool,Chelsea,5,4,1,7.208333333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1
0,0,0,0,0.0,246,36,0,0,0.0,0.0,2021-09-12T15:30:00Z,0,10,0,0,0,0,4,0,60104,3,0,0.0,0,-4768,6776,11544,40,False,0,Liverpool,Leeds,4,2,1,5.0,0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
0,0,0,0,0.0,246,44,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,7,0,0,0,0,5,0,52959,0,3,0.0,0,-7168,636,7804,40,True,0,Liverpool,Crystal Palace,5,2,1,5.9375,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,246,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,3,0,0,0,0,6,0,50420,3,3,0.0,0,-3308,1792,5100,39,False,0,Liverpool,Brentford,4,2,1,7.104166666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,0,0,0.0,246,66,0,0,0.0,0.0,2021-10-03T15:30:00Z,0,12,0,0,0,0,7,0,63460,2,2,0.0,0,7760,11657,3897,39,True,0,Liverpool,Man City,5,5,1,7.958333333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1
1,0,17,0,11.1,246,80,0,0,3.1,18.2,2021-10-16T11:30:00Z,7,18,0,0,0,0,8,0,70873,5,0,2.0,4,6516,11860,5344,39,False,0,Liverpool,Watford,4,2,1,5.0,0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1
0,0,0,0,0.0,246,88,0,0,0.0,0.0,2021-10-24T15:30:00Z,0,13,0,0,0,0,9,0,83174,5,0,0.0,0,9042,14292,5250,39,False,0,Liverpool,Man Utd,4,4,1,8.166666666666666,0,3.1,5,0,0.2,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,0,0,0.0,246,94,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,4,0,0,0,0,10,0,79218,2,2,0.0,0,-2493,6134,8627,39,True,0,Liverpool,Brighton,5,3,1,5.9375,0,0.0,0,1,0.2,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1
0,0,0,0,0.0,246,110,0,0,0.0,0.0,2021-11-07T16:30:00Z,0,19,0,0,0,0,11,0,77277,2,3,0.0,0,-2487,1894,4381,39,False,0,Liverpool,West Ham,4,3,1,7.104166666666668,0,0.0,-1,0,0.2,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,246,114,0,0,0.0,0.0,2021-11-20T17:30:00Z,0,1,0,0,0,0,12,0,75923,0,4,0.0,0,-2185,1756,3941,39,True,0,Liverpool,Arsenal,5,3,1,5.0,0,0.0,4,1,0.2,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1
0,0,0,0,0.0,246,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,16,0,0,0,0,13,0,71900,0,4,0.0,0,-4081,772,4853,39,True,0,Liverpool,Southampton,5,2,1,6.895833333333332,0,0.0,4,1,0.2,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1
