assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,3,51,0,0.3,586,34,0,2,10.0,66.0,2021-09-11T11:30:00Z,6,17,0,0,0,0,4,0,12385,0,3,34.0,12,10336,13891,3555,65,True,0,Crystal Palace,Spurs,2,3,3,7.0,3,10.0,3,1,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,3,0,10.3,586,44,2,0,4.8,6.6,2021-09-18T14:00:00Z,25,11,0,0,0,0,5,0,263235,0,3,31.0,1,227996,264840,36844,65,False,0,Crystal Palace,Liverpool,2,5,3,7.104166666666668,3,10.0,-3,0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,9,1,2.6,586,54,0,0,2.9,9.6,2021-09-27T19:00:00Z,71,4,0,0,0,0,6,0,276686,1,1,17.0,2,16533,65781,49248,65,True,0,Crystal Palace,Brighton,2,3,3,9.208333333333334,0,4.8,0,1,0.0,0.0,1.0,1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,5,0,22.9,586,64,2,0,4.4,1.0,2021-10-03T13:00:00Z,84,9,0,0,0,0,7,0,237472,2,2,20.0,2,-38188,11288,49476,65,True,0,Crystal Palace,Leicester,2,3,3,5.75,0,2.9,0,1,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1,30,0,32.8,586,71,1,1,10.5,47.0,2021-10-18T19:00:00Z,81,1,0,0,0,0,8,0,207273,2,2,25.0,7,-32581,7754,40335,65,False,0,Crystal Palace,Arsenal,2,4,3,5.0,0,4.4,0,0,0.0,0.25,1.0,0.5,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,4,0,5.6,586,85,1,0,4.4,8.0,2021-10-23T14:00:00Z,90,14,0,0,0,0,9,0,283268,1,1,30.0,2,66345,81860,15515,65,True,0,Crystal Palace,Newcastle,2,2,3,4.791666666666667,1,10.5,0,1,0.0,0.2,1.0,0.6,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,5,1,0.3,586,95,0,0,0.3,2.2,2021-10-30T14:00:00Z,72,12,0,0,0,0,10,0,243532,2,0,0.0,2,-33037,15430,48467,65,False,0,Crystal Palace,Man City,2,5,3,7.0,0,4.4,2,0,0.0,0.2,1.2,0.2,70.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,6,1,11.8,586,105,0,0,8.2,9.8,2021-11-06T15:00:00Z,79,20,0,0,0,0,11,0,252377,0,2,60.0,2,5067,23660,18593,65,True,0,Crystal Palace,Wolves,2,3,3,6.041666666666668,0,0.3,2,1,0.0,0.4,0.8,0.2,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,2,0,0.0,586,112,0,0,0.0,0.0,2021-11-20T15:00:00Z,3,5,0,0,0,0,12,0,259913,3,3,0.0,1,5847,28728,22881,65,False,0,Crystal Palace,Burnley,2,2,3,5.0,0,8.2,0,0,0.0,0.4,0.8,0.2,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,2,0,0.3,586,126,1,0,2.1,3.4,2021-11-27T15:00:00Z,18,2,0,0,0,0,13,0,222225,2,1,17.0,1,-37301,4734,42035,65,True,0,Crystal Palace,Aston Villa,2,3,3,7.0,0,0.0,-1,1,0.0,0.4,0.4,0.2,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
