assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,4,0,11.6,531,1,1,0,3.6,4.0,2021-08-13T19:00:00Z,19,3,0,0,0,0,1,0,0,0,2,20.0,1,0,0,0,50,False,0,Arsenal,Brentford,3,2,2,7.0,0,3.6,-2,0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,0,0,0.0,531,18,0,0,0.0,0.0,2021-08-22T15:30:00Z,0,6,0,0,0,0,2,0,939,2,0,0.0,0,124,189,65,50,True,0,Arsenal,Chelsea,4,4,2,8.854166666666666,0,3.6,-2,1,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,0,0,0.0,531,24,0,0,0.0,0.0,2021-08-28T11:30:00Z,0,12,0,0,0,0,3,0,1201,0,5,0.0,0,-51,152,203,50,False,0,Arsenal,Man City,3,5,2,5.833333333333332,0,0.0,-5,0,0.0,0.0,0.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,0,0,0.0,531,31,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,15,0,0,0,0,4,0,1015,0,1,0.0,0,-300,127,427,50,True,0,Arsenal,Norwich,4,2,2,5.0,0,0.0,1,1,0.0,0.0,0.3333333333333333,0.0,6.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1
0,0,0,0,0.0,531,43,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,5,0,0,0,0,5,0,860,1,0,0.0,0,-168,0,168,50,False,0,Arsenal,Burnley,3,2,2,7.0,0,0.0,1,0,0.0,0.0,0.25,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1
0,0,0,0,0.0,531,51,0,0,0.0,0.0,2021-09-26T15:30:00Z,0,17,0,0,0,0,6,0,795,1,3,0.0,0,-74,0,74,50,True,0,Arsenal,Spurs,4,3,2,8.0625,0,0.0,2,1,0.0,0.0,0.2,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1
0,0,0,0,0.0,531,61,0,0,0.0,0.0,2021-10-02T16:30:00Z,0,4,0,0,0,0,7,0,759,0,0,0.0,0,-37,0,37,50,False,0,Arsenal,Brighton,3,3,2,6.041666666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,0,0,0.0,531,71,0,0,0.0,0.0,2021-10-18T19:00:00Z,0,7,0,0,0,0,8,0,736,2,2,0.0,0,-24,0,24,50,True,0,Arsenal,Crystal Palace,4,2,2,5.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1
0,0,0,0,0.0,531,81,0,0,0.0,0.0,2021-10-22T19:00:00Z,0,2,0,0,0,0,9,0,725,1,3,0.0,0,-13,0,13,50,True,0,Arsenal,Aston Villa,4,3,2,4.0,0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,0,0,0.0,531,93,0,0,0.0,0.0,2021-10-30T11:30:00Z,0,9,0,0,0,0,10,0,708,2,0,0.0,0,-16,0,16,50,False,0,Arsenal,Leicester,3,3,2,7.6875,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
