assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,14,0,12.4,285,6,1,0,4.8,15.6,2021-08-14T11:30:00Z,68,10,0,0,0,0,1,0,36489,1,5,20.0,2,0,0,0,55,True,0,Man Utd,Leeds,4,2,2,7.0,0,4.8,4,1,0.0,0.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
0,0,2,0,0.3,285,19,0,0,1.0,1.4,2021-08-22T13:00:00Z,14,16,0,0,0,0,2,0,42982,1,1,8.0,1,-2027,5027,7054,55,False,0,Man Utd,Southampton,3,2,2,8.0625,0,4.8,0,0,0.0,0.0,1.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
0,0,0,0,0.0,285,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,20,0,0,0,0,3,0,33341,1,0,0.0,0,-10684,2215,12899,55,False,0,Man Utd,Wolves,3,4,2,7.104166666666668,0,1.0,1,0,0.0,0.0,0.5,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,285,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,14,0,0,0,0,4,0,21860,1,4,0.0,0,-11730,190,11920,54,True,0,Man Utd,Newcastle,4,2,2,5.0,0,0.0,3,1,0.0,0.0,0.3333333333333333,0.0,27.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
0,0,15,0,27.4,285,49,1,0,5.4,18.2,2021-09-19T13:00:00Z,90,19,0,0,0,0,5,0,19309,2,1,8.0,2,-3124,101,3225,54,False,0,Man Utd,West Ham,3,3,2,7.958333333333332,0,0.0,1,0,0.0,0.0,0.25,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,9,1,11.9,285,58,0,0,1.9,4.8,2021-09-25T11:30:00Z,81,2,0,0,0,0,6,0,19893,1,0,2.0,3,-60,1433,1493,54,True,0,Man Utd,Aston Villa,4,3,2,5.9375,0,5.4,-1,1,0.0,0.0,0.4,0.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1
0,0,16,0,20.1,285,67,1,0,6.3,20.6,2021-10-02T11:30:00Z,90,8,0,0,0,0,7,0,20495,1,1,22.0,2,132,1248,1116,54,True,0,Man Utd,Everton,4,2,2,7.0,0,1.9,0,1,0.0,0.2,0.2,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,3,0,0.3,285,75,2,0,1.1,4.0,2021-10-16T14:00:00Z,10,9,0,0,0,0,8,0,21661,2,4,7.0,1,580,2169,1589,54,False,0,Man Utd,Leicester,3,3,2,5.0,0,6.3,-2,0,0.0,0.2,0.4,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,18,0,34.2,285,88,5,0,6.0,22.0,2021-10-24T15:30:00Z,90,11,0,0,0,0,9,0,21149,5,0,4.0,2,-736,836,1572,54,True,0,Man Utd,Liverpool,4,4,2,8.0625,0,1.1,-5,1,0.0,0.2,0.8,0.0,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,14,1,2.5,285,98,0,0,2.7,16.0,2021-10-30T16:30:00Z,90,17,0,0,0,0,10,0,21444,3,0,8.0,3,-240,1369,1609,54,False,0,Man Utd,Spurs,3,4,2,6.041666666666668,0,6.0,3,0,0.0,0.2,1.8,0.0,72.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,1
0,0,17,0,1.6,285,108,2,0,1.2,8.8,2021-11-06T12:30:00Z,90,12,0,0,0,0,11,0,23206,2,0,2.0,2,1196,2364,1168,54,True,0,Man Utd,Man City,4,5,2,5.833333333333332,0,2.7,-2,1,0.0,0.4,1.6,0.0,72.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,-1,0,0.5,285,119,2,0,0.5,4.8,2021-11-20T15:00:00Z,45,18,0,0,0,0,12,0,22012,1,4,0.0,0,-1476,977,2453,54,False,1,Man Utd,Watford,3,2,2,5.0,0,1.2,-3,0,0.0,0.2,2.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,1
0,0,5,0,1.6,285,125,1,0,2.2,20.8,2021-11-28T16:30:00Z,90,6,0,0,0,0,13,0,22082,1,1,0.0,1,-225,962,1187,54,False,1,Man Utd,Chelsea,3,5,2,8.0625,0,0.5,0,0,0.0,0.2,2.2,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.8,1
0,0,15,0,13.3,285,134,2,0,3.6,22.2,2021-12-02T20:15:00Z,90,1,0,0,0,0,14,0,23059,2,3,0.0,1,751,1381,630,54,True,1,Man Utd,Arsenal,4,3,2,4.15625,0,2.2,1,1,0.0,0.2,2.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.4,-1.4,1
0,0,3,1,12.8,285,144,0,0,3.7,10.4,2021-12-05T14:00:00Z,90,7,0,0,0,0,15,0,24078,0,1,14.0,2,772,1842,1070,54,True,1,Man Utd,Crystal Palace,4,2,2,2.739583333333333,0,3.6,1,1,0.0,0.2,1.4,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.6,-0.2,1
0,0,17,1,27.3,285,160,0,0,6.5,21.4,2021-12-11T17:30:00Z,90,15,0,0,0,0,16,0,25325,1,0,16.0,3,906,2146,1240,54,False,0,Man Utd,Norwich,3,2,2,6.145833333333332,0,3.7,1,0,0.0,0.2,1.4,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.8,-0.6,1
0,0,11,0,3.3,285,186,1,0,3.4,16.2,2021-12-27T20:00:00Z,77,14,0,0,0,0,19,0,25473,1,1,14.0,2,409,1188,779,54,False,0,Man Utd,Newcastle,3,2,2,5.0,0,6.5,0,0,0.0,0.4,1.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1
1,2,35,0,12.8,285,198,1,1,9.5,48.8,2021-12-30T20:15:00Z,90,5,0,0,0,0,20,0,25635,1,3,33.0,12,280,818,538,54,True,0,Man Utd,Burnley,4,2,2,3.0104166666666665,0,3.4,2,1,0.0,0.4,0.8,0.0,87.4,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1
0,0,10,0,15.4,285,208,1,0,5.1,17.6,2022-01-03T17:30:00Z,90,20,0,0,0,0,21,0,41800,1,0,18.0,1,12188,15058,2870,54,True,1,Man Utd,Wolves,4,3,2,7.885416666666668,2,9.5,-1,1,0.2,0.4,0.8,0.2,87.4,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1
0,0,0,0,0.0,285,211,0,0,0.0,0.0,2022-01-15T17:30:00Z,0,2,0,0,0,0,22,0,31034,2,2,0.0,0,-5072,4619,9691,54,False,0,Man Utd,Aston Villa,3,3,2,5.0,0,5.1,0,0,0.2,0.4,0.6,0.2,87.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1
0,0,22,1,13.8,285,162,0,0,4.5,24.6,2022-01-19T20:00:00Z,83,3,0,0,0,0,22,0,31034,3,1,7.0,3,-5072,4619,9691,54,False,0,Man Utd,Brentford,3,2,2,4.104166666666667,0,0.0,2,0,0.2,0.2,0.6,0.2,69.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1
0,0,16,1,33.8,285,228,0,0,6.2,10.6,2022-01-22T15:00:00Z,90,19,0,0,0,0,23,0,31879,0,1,18.0,3,-1489,1935,3424,54,True,0,Man Utd,West Ham,4,3,2,2.7916666666666665,0,4.5,1,1,0.2,0.2,0.6,0.2,68.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1
0,0,10,0,1.4,285,233,1,0,2.5,14.4,2022-02-08T20:00:00Z,79,5,0,0,0,0,24,0,39276,1,1,9.0,2,6368,8747,2379,54,False,0,Man Utd,Burnley,3,2,2,5.0,0,6.2,0,0,0.2,0.4,0.4,0.2,70.6,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1
0,0,9,0,2.3,285,246,1,0,2.0,9.6,2022-02-12T12:30:00Z,75,16,0,0,0,0,25,0,65126,1,1,8.0,1,24321,27510,3189,54,True,1,Man Utd,Southampton,4,2,2,3.6875,0,2.5,0,1,0.0,0.4,0.4,0.0,68.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1
1,0,17,1,27.8,285,174,0,0,6.3,33.4,2022-02-15T20:15:00Z,90,4,0,0,0,0,25,0,65126,0,2,2.0,5,24321,27510,3189,54,True,1,Man Utd,Brighton,4,3,2,3.3229166666666665,0,2.0,2,1,0.0,0.4,0.4,0.0,65.4,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1
