assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,0,0,0.0,121,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,219781,0,3,0.0,0,0,0,0,55,True,0,Chelsea,Crystal Palace,5,2,1,7.0,0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,0,0,0.0,121,18,0,0,0.0,0.0,2021-08-22T15:30:00Z,0,1,0,0,0,0,2,0,208598,2,0,0.0,0,-41338,4880,46218,55,False,0,Chelsea,Arsenal,4,4,1,8.0625,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
0,0,9,0,0.0,121,23,0,0,3.1,30.8,2021-08-28T16:30:00Z,45,11,0,0,0,0,3,0,173055,1,1,0.0,1,-42841,3013,45854,54,False,0,Chelsea,Liverpool,4,5,1,6.041666666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1
0,0,30,1,10.3,121,33,0,0,5.3,43.0,2021-09-11T16:30:00Z,90,2,0,0,0,0,4,0,162043,0,3,0.0,6,-20552,6950,27502,54,True,0,Chelsea,Aston Villa,5,3,1,5.0,0,3.1,3,1,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
0,3,46,1,10.7,121,48,0,1,12.4,57.2,2021-09-19T15:30:00Z,90,17,0,0,0,0,5,0,167213,3,0,56.0,15,-1776,8520,10296,54,False,0,Chelsea,Spurs,4,4,1,7.958333333333332,0,5.3,3,0,0.0,0.25,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,11,0,0.3,121,53,1,0,1.9,18.2,2021-09-25T11:30:00Z,61,12,0,0,0,0,6,0,229045,1,0,0.0,2,46108,55978,9870,54,True,0,Chelsea,Man City,5,5,1,5.833333333333332,3,12.4,-1,1,0.0,0.4,0.0,0.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1
0,0,14,0,11.7,121,63,1,0,3.2,20.4,2021-10-02T14:00:00Z,90,16,0,0,0,0,7,0,340865,1,3,0.0,1,98251,115109,16858,54,True,1,Chelsea,Southampton,5,2,1,7.104166666666668,0,1.9,2,1,0.0,0.4,0.2,0.2,57.2,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0,0,0,0,0.0,121,73,0,0,0.0,0.0,2021-10-16T16:30:00Z,0,3,0,0,0,0,8,0,312650,1,0,0.0,0,-30415,33109,63524,55,False,0,Chelsea,Brentford,4,2,1,5.0,0,3.2,1,0,0.0,0.4,0.4,0.2,75.2,0.0,0.0,0.0,0.0,0.0,0.2,1.4,1
0,0,30,1,11.9,121,84,0,0,3.6,24.2,2021-10-23T11:30:00Z,90,15,0,0,0,0,9,0,314146,0,7,0.0,6,-3566,17713,21279,55,True,0,Chelsea,Norwich,5,2,1,6.791666666666668,0,0.0,7,1,0.0,0.4,0.4,0.2,66.2,0.0,0.0,0.0,0.0,0.0,0.2,1.6,1
0,0,28,1,5.2,121,96,0,0,2.9,24.0,2021-10-30T14:00:00Z,90,14,0,0,0,0,10,0,319298,3,0,0.0,6,419,14870,14451,55,False,0,Chelsea,Newcastle,4,2,1,7.104166666666668,0,3.6,3,0,0.0,0.4,0.4,0.2,66.2,0.0,0.0,0.0,0.0,0.0,0.2,2.4,1
0,0,15,0,1.6,121,104,1,0,6.5,17.6,2021-11-06T15:00:00Z,90,5,0,0,0,0,11,0,333825,1,1,46.0,2,10633,21355,10722,55,True,0,Chelsea,Burnley,5,2,1,6.041666666666668,0,2.9,0,1,0.0,0.4,0.4,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.2,2.4,1
0,0,29,1,1.4,121,113,0,0,2.1,19.8,2021-11-20T12:30:00Z,90,9,0,0,0,0,12,0,329966,3,0,0.0,6,-6717,10821,17538,55,False,0,Chelsea,Leicester,4,3,1,5.0,0,6.5,3,0,0.0,0.4,0.4,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.2,2.6,1
1,3,29,0,1.6,121,125,1,0,4.0,18.8,2021-11-28T16:30:00Z,90,13,0,0,0,0,13,0,336183,1,1,20.0,8,2902,17178,14276,55,True,0,Chelsea,Man Utd,5,3,1,8.166666666666666,0,2.1,0,1,0.0,0.6,0.2,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1
0,0,7,0,0.6,121,135,0,0,0.9,8.6,2021-12-01T19:30:00Z,45,18,0,0,0,0,14,0,387958,2,1,0.0,1,47278,53234,5956,55,False,0,Chelsea,Watford,4,2,1,3.125,3,4.0,1,0,0.2,0.6,0.4,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1
0,1,26,0,1.3,121,149,3,1,7.3,52.2,2021-12-04T12:30:00Z,90,19,0,0,0,0,15,0,417737,2,3,19.0,8,26778,44357,17579,55,False,0,Chelsea,West Ham,4,3,1,2.708333333333333,0,0.9,-1,0,0.2,0.4,0.4,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1
0,0,12,0,2.9,121,155,2,0,3.3,26.4,2021-12-11T15:00:00Z,90,10,0,0,0,0,16,0,549043,2,3,4.0,1,113245,124465,11220,56,True,0,Chelsea,Leeds,5,2,1,7.104166666666668,1,7.3,1,1,0.2,0.2,1.0,0.2,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1
0,0,21,0,6.5,121,168,1,0,6.2,38.8,2021-12-16T19:45:00Z,90,8,0,0,0,0,17,0,564796,1,1,17.0,2,20948,44871,23923,56,True,0,Chelsea,Everton,5,2,1,5.197916666666667,0,3.3,0,1,0.2,0.2,1.2,0.2,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,2,33,1,2.4,121,180,0,0,3.8,33.2,2021-12-19T14:00:00Z,90,20,0,0,0,0,18,0,589360,0,0,2.0,8,11077,27869,16792,56,False,0,Chelsea,Wolves,4,4,1,2.7604166666666665,0,6.2,0,0,0.2,0.0,1.4,0.2,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,13,0,1.6,121,181,1,0,2.5,23.4,2021-12-26T17:30:00Z,51,2,0,0,0,0,19,0,599126,3,1,0.0,1,9728,28858,19130,56,False,0,Chelsea,Aston Villa,4,3,1,7.145833333333332,2,3.8,2,0,0.0,0.2,1.2,0.2,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,0,0,0.0,121,193,0,0,0.0,0.0,2021-12-29T19:30:00Z,0,4,0,0,0,0,20,0,484595,1,1,0.0,0,-81388,2479,83867,56,True,0,Chelsea,Brighton,5,3,1,3.083333333333333,0,2.5,0,1,0.0,0.2,1.4,0.2,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,14,0,1.0,121,203,2,0,2.1,19.6,2022-01-02T16:30:00Z,90,11,0,0,0,0,21,0,421908,2,2,0.0,1,-79499,818,80317,56,True,0,Chelsea,Liverpool,5,4,1,7.875,0,0.0,0,1,0.0,0.2,0.8,0.0,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1
0,0,15,0,0.4,121,215,1,0,1.0,9.2,2022-01-15T12:30:00Z,90,12,0,0,0,0,22,0,439853,0,1,0.0,2,-7103,27016,34119,56,False,0,Chelsea,Man City,4,5,1,5.0,0,2.1,-1,0,0.0,0.2,0.8,0.0,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,20,0,1.6,121,232,1,0,3.5,33.0,2022-01-18T20:00:00Z,90,4,0,0,0,0,22,0,439853,1,1,0.0,2,-7103,27016,34119,56,False,0,Chelsea,Brighton,4,3,1,3.3125,0,1.0,0,0,0.0,0.2,0.8,0.0,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
