assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
1,0,23,0,13.4,284,6,1,0,4.4,30.2,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,38513,1,5,0.0,5,0,0,0,50,True,0,Man Utd,Leeds,4,2,1,7.0,0,4.4,4,1,1.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
0,0,12,0,0.8,284,19,1,0,1.4,13.2,2021-08-22T13:00:00Z,90,16,0,0,0,0,2,0,61124,1,1,0.0,2,4756,10505,5749,50,False,0,Man Utd,Southampton,3,2,1,8.0625,0,4.4,0,0,1.0,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
0,0,0,0,0.0,284,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,20,0,0,0,0,3,0,61246,1,0,0.0,0,-2870,4582,7452,50,False,0,Man Utd,Wolves,3,4,1,7.104166666666668,0,1.4,1,0,0.5,0.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,0,0,0.0,284,38,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,14,0,0,0,0,4,0,50566,1,4,0.0,0,-12032,1955,13987,50,True,0,Man Utd,Newcastle,4,2,1,5.0,0,0.0,3,1,0.3333333333333333,0.0,0.6666666666666666,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1
0,0,0,0,0.0,284,49,0,0,0.0,0.0,2021-09-19T13:00:00Z,0,19,0,0,0,0,5,0,43258,2,1,0.0,0,-8507,496,9003,49,False,0,Man Utd,West Ham,3,3,1,7.958333333333332,0,0.0,1,0,0.25,0.0,0.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0,0,7,0,0.2,284,58,1,0,0.7,7.0,2021-09-25T11:30:00Z,23,2,0,0,0,0,6,0,39166,1,0,0.0,1,-4947,410,5357,49,True,0,Man Utd,Aston Villa,4,3,1,5.9375,0,0.0,-1,1,0.2,0.0,0.4,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1
0,0,16,0,1.4,284,67,1,0,2.3,21.8,2021-10-02T11:30:00Z,90,8,0,0,0,0,7,0,40772,1,1,0.0,2,533,3003,2470,48,True,0,Man Utd,Everton,4,2,1,7.0,0,0.7,0,1,0.0,0.0,0.4,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
1,0,25,0,16.3,284,75,4,0,5.2,35.2,2021-10-16T14:00:00Z,90,9,0,0,0,0,8,0,43030,2,4,0.0,2,1393,4198,2805,48,False,1,Man Utd,Leicester,3,3,1,5.0,0,2.3,-2,0,0.0,0.0,0.4,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
0,0,13,0,0.3,284,88,5,0,1.0,9.2,2021-10-24T15:30:00Z,90,11,0,0,0,0,9,0,41814,5,0,0.0,0,-1601,1290,2891,48,True,0,Man Utd,Liverpool,4,4,1,8.0625,0,5.2,-5,1,0.2,0.0,1.2,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1
0,0,25,1,0.7,284,98,0,0,1.8,17.2,2021-10-30T16:30:00Z,90,17,0,0,0,0,10,0,40879,3,0,0.0,6,-1700,1581,3281,48,False,0,Man Utd,Spurs,3,4,1,6.041666666666668,0,1.0,3,0,0.2,0.0,2.2,0.0,58.6,0.0,0.0,0.0,0.0,0.0,0.2,-1.4,1
