assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,my_team,opp_team,my_team_strength,opp_team_strength,Position,fixture_gap,bonus_prev_gw,ict_index_prev_gw,goal_difference,was_home_binary,assists_ra,clean_sheets_ra,goals_conceded_ra,goals_scored_ra,minutes_ra,saves_ra,penalties_missed_ra,own_goals_ra,penalties_saved_ra,red_cards_ra,yellow_cards_ra,goal_difference_ra,Season_2122
0,0,0,0,0.0,556,13,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,7,0,0,0,0,2,0,924,0,0,0.0,0,280,318,38,45,False,0,Brentford,Crystal Palace,2,2,0,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,556,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,2,0,0,0,0,3,0,2420,1,1,0.0,0,470,843,373,45,False,0,Brentford,Aston Villa,2,3,0,7.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,556,32,0,0,0.0,0.0,2021-09-11T14:00:00Z,0,4,0,0,0,0,4,0,4733,1,0,0.0,0,996,1974,978,45,True,0,Brentford,Brighton,2,3,0,5.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0.0,556,50,0,0,0.0,0.0,2021-09-18T11:30:00Z,0,20,0,0,0,0,5,0,5118,2,0,0.0,0,-35,639,674,45,False,0,Brentford,Wolves,2,4,0,6.895833333333332,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1
0,0,0,0,0.0,556,52,0,0,0.0,0.0,2021-09-25T16:30:00Z,0,11,0,0,0,0,6,0,5509,3,3,0.0,0,-131,631,762,45,True,0,Brentford,Liverpool,2,4,0,7.208333333333332,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1
0,0,0,0,0.0,556,69,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,19,0,0,0,0,7,0,5923,2,1,0.0,0,22,472,450,45,False,0,Brentford,West Ham,2,3,0,7.854166666666668,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,0,0,0.0,556,73,0,0,0.0,0.0,2021-10-16T16:30:00Z,0,6,0,0,0,0,8,0,6472,1,0,0.0,0,84,525,441,45,True,0,Brentford,Chelsea,2,4,0,5.0,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1
0,0,0,0,0.0,556,82,0,0,0.0,0.0,2021-10-24T13:00:00Z,0,9,0,0,0,0,9,0,6797,2,1,0.0,0,65,452,387,45,True,0,Brentford,Leicester,2,3,0,7.854166666666668,0,0.0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,15,0,0.0,556,92,3,0,1.8,18.2,2021-10-30T14:00:00Z,90,5,0,0,0,0,10,2,46718,1,3,0.0,1,37391,39361,1970,45,False,0,Brentford,Burnley,2,2,0,6.041666666666668,0,0.0,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1
0,0,19,0,0.0,556,102,2,0,2.2,22.4,2021-11-06T15:00:00Z,90,15,0,0,0,0,11,4,52728,2,1,0.0,2,5810,11298,5488,45,True,0,Brentford,Norwich,2,2,0,6.041666666666668,0,1.8,-1,1,0.0,0.0,0.6,0.0,18.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,22,0,0.0,556,116,3,0,4.1,40.8,2021-11-20T15:00:00Z,90,14,0,0,0,0,12,6,50675,3,3,0.0,3,-1963,5775,7738,45,False,0,Brentford,Newcastle,2,2,0,5.0,0,2.2,0,0,0.0,0.0,1.0,0.0,36.0,1.2,0.0,0.0,0.0,0.0,0.0,-0.8,1
0,2,33,1,0.0,556,122,0,0,4.1,41.4,2021-11-28T14:00:00Z,90,8,0,0,0,0,13,5,46886,0,1,0.0,9,-4013,1510,5523,45,True,0,Brentford,Everton,2,2,0,7.958333333333332,0,4.1,1,1,0.0,0.0,1.6,0.0,54.0,2.4,0.0,0.0,0.0,0.0,0.0,-1.0,1
0,0,20,0,0.0,556,140,2,0,3.9,38.8,2021-12-02T19:30:00Z,90,17,0,0,0,0,14,5,50139,0,2,0.0,2,2760,5442,2682,45,False,0,Brentford,Spurs,2,4,0,4.229166666666667,2,4.1,-2,0,0.0,0.2,1.6,0.0,72.0,3.4,0.0,0.0,0.0,0.0,0.0,-0.6,1
0,0,18,0,0.0,556,143,2,0,2.5,25.0,2021-12-05T14:00:00Z,90,10,0,0,0,0,15,4,56488,2,2,0.0,2,5541,8274,2733,45,False,0,Brentford,Leeds,2,2,0,2.770833333333333,0,3.9,0,0,0.0,0.2,2.0,0.0,90.0,4.4,0.0,0.0,0.0,0.0,0.0,-0.8,1
0,0,9,0,0.0,556,152,1,0,1.0,10.4,2021-12-10T20:00:00Z,90,18,0,0,0,0,16,1,74457,1,2,0.0,2,15515,19606,4091,45,True,0,Brentford,Watford,2,2,0,5.25,0,2.5,1,1,0.0,0.2,1.8,0.0,90.0,4.8,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,16,0,0.0,556,182,2,0,1.9,19.2,2021-12-26T20:00:00Z,90,4,0,0,0,0,19,3,71468,0,2,0.0,2,2994,5660,2666,45,False,0,Brentford,Brighton,2,3,0,5.0,0,1.0,-2,0,0.0,0.2,1.6,0.0,90.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,13,0,0.0,556,192,1,0,1.5,14.8,2021-12-29T20:15:00Z,90,12,0,0,0,0,20,2,64393,1,0,0.0,2,-286,3674,3960,45,True,0,Brentford,Man City,2,5,0,3.0104166666666665,0,1.9,-1,1,0.0,0.2,1.4,0.0,90.0,3.6,0.0,0.0,0.0,0.0,0.0,-0.4,1
0,0,16,0,0.0,556,202,1,0,3.6,35.6,2022-01-02T14:00:00Z,90,2,0,0,0,0,21,4,146523,1,2,0.0,3,28816,35669,6853,45,True,0,Brentford,Aston Villa,2,3,0,7.739583333333332,0,1.5,1,1,0.0,0.0,1.6,0.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.8,1
0,0,10,0,0.0,556,176,4,0,2.3,23.2,2022-01-11T19:45:00Z,90,16,1,0,0,0,21,3,146523,1,4,0.0,-1,28816,35669,6853,45,False,0,Brentford,Southampton,2,2,0,9.239583333333334,0,3.6,-3,0,0.0,0.0,1.4,0.0,90.0,2.8,0.0,0.0,0.0,0.0,0.0,-0.2,1
